Label,response
Disgruntled Decks: Air Force Edition,A 2 EPR that was truly deserved.
Disgruntled Decks: Air Force Edition,A big empty plane with no seats and a bucket to shit in.
Disgruntled Decks: Air Force Edition,A big fat OPSEC fail.
Disgruntled Decks: Air Force Edition,A break in service.
Disgruntled Decks: Air Force Edition,A bucket of prop wash.
Disgruntled Decks: Air Force Edition,A contractor who is so badass that he grows a beard and tells war stories.
Disgruntled Decks: Air Force Edition,A court-martial for stealing panties and then trying to hide the evidence by eating all of them.
Disgruntled Decks: Air Force Edition,A decomposing Airman found inside a dorm wall locker.
Disgruntled Decks: Air Force Edition,A delightful old woman at an airport USO.
Disgruntled Decks: Air Force Edition,A DFAC entrée covered in cockroach eggs and curly black hairs.
Disgruntled Decks: Air Force Edition,A DITY move in an old covered wagon.
Disgruntled Decks: Air Force Edition,A dorm bathroom haunted by jizz demons and spooge spirits of amsturbations past.
Disgruntled Decks: Air Force Edition,A finance clerk telling you to take your complaint and shove it right up your ass.
Disgruntled Decks: Air Force Edition,A former Hooters waitress who's now a 2nd Lt.
Disgruntled Decks: Air Force Edition,A hangar filled with bird shit.
Disgruntled Decks: Air Force Edition,A hideously deformed Iraqi teenager winking at you with his one good eye.
Disgruntled Decks: Air Force Edition,A Human Weapon System.
Disgruntled Decks: Air Force Edition,A JTAC with a terrible stutter.
Disgruntled Decks: Air Force Edition,A lieutenant defending their stupid ideas like they're Billy-fucking-Mitchell!
Disgruntled Decks: Air Force Edition,A lubed-up Jimmy Doolittle pushing a naked President Roosevelt through the White House Rose Garden.
Disgruntled Decks: Air Force Edition,A malfunctioning fuel truck spraying an ejaculating bull elephant.
Disgruntled Decks: Air Force Edition,A MEPS adventure that ends with old man breath on the back of your nutsack.
Disgruntled Decks: Air Force Edition,A military working dog eating its handler.
Disgruntled Decks: Air Force Edition,A MSgt who still uses Myspace.
Disgruntled Decks: Air Force Edition,A National Defense Service Medal license plate that lets people know you're not fucking around.
