Label,response
Disgruntled Decks: Army Edition,A "high speed" specialist saving the 237th Sapper Co. from a disastrous mixture of live rounds and blanks.
Disgruntled Decks: Army Edition,A 48-year-old specialist who enlisted under mysterious circumstances.
Disgruntled Decks: Army Edition,A 70-year-old gut truck driver exchanging snacks for hand jobs.
Disgruntled Decks: Army Edition,A 9 ft tall sergeant major with titanium robot legs.
Disgruntled Decks: Army Edition,A balding sergeant first class with a terrible comb over.
Disgruntled Decks: Army Edition,A ball-clinching Swiss seat.
Disgruntled Decks: Army Edition,A barracks room covered in layers of black mold.
Disgruntled Decks: Army Edition,A bloated corpse with a great tan.
Disgruntled Decks: Army Edition,A BOLO list identifying 45 white Toyota® pickup trucks.
Disgruntled Decks: Army Edition,A Bradley Fighting Vehicle slowly crushing a donkey cart.
Disgruntled Decks: Army Edition,A camel spider wearing several pairs of tiny shoes.
Disgruntled Decks: Army Edition,A Chelsea Manning tuck job.
Disgruntled Decks: Army Edition,A cock-strong formation of 1-505 PIR Paratroopers howling "Go limp and take it!"
Disgruntled Decks: Army Edition,A college student asking if you've ever killed someone.
Disgruntled Decks: Army Edition,A combat lifesaver bag full of ping pong balls and speculums.
Disgruntled Decks: Army Edition,A company commander pinning his dick pics to the SHARP™ bulletin board.
Disgruntled Decks: Army Edition,A crusty sock that oddly smells like mashed potatoes.
Disgruntled Decks: Army Edition,A DA Civilian on a mobility scooter.
Disgruntled Decks: Army Edition,A depressing re-enlistment attended by only your mother and overweight commander.
Disgruntled Decks: Army Edition,A desolate outpost somewhere in Afghanistan.
Disgruntled Decks: Army Edition,A dog and pony show featuring actual dogs and ponies.
Disgruntled Decks: Army Edition,A fobbit telling war stories.
Disgruntled Decks: Army Edition,A general officer shooting lightning bolts from the tip of his OD green penis.
Disgruntled Decks: Army Edition,A Heat Cat-5 porta-shitter jerk session.
Disgruntled Decks: Army Edition,A Kevlar® helmet filled with baby raccoons.
Disgruntled Decks: Army Edition,A Midshipman witnessing a West Point pillow fight and immediately feeling better about themselves.
Disgruntled Decks: Army Edition,A mild traumatic brain injury.
Disgruntled Decks: Army Edition,A monkey fucking a football.
Disgruntled Decks: Army Edition,A morbidly obese staff officer.
Disgruntled Decks: Army Edition,A new female tanker christening her Abrams with a jar of clotted period blood.
Disgruntled Decks: Army Edition,A plump Iraqi child begging for candy then giving you the finger.
Disgruntled Decks: Army Edition,A recruiting video starring Caitlyn Jenner queefing plastic army men from her crudely-assembled vagina.
Disgruntled Decks: Army Edition,A roadside bomb.
Disgruntled Decks: Army Edition,A Seaman filled with semen.
Disgruntled Decks: Army Edition,A sensitive items inventory gone terribly wrong.
Disgruntled Decks: Army Edition,A sexually suggestive S.P.O.R.T.S. demonstration.
Disgruntled Decks: Army Edition,A smirking famale Ranger.
Disgruntled Decks: Army Edition,A staff officer referencing Clausewitz.
Disgruntled Decks: Army Edition,A steaming fart sack.
Disgruntled Decks: Army Edition,A Stetson and set of spurs.
Disgruntled Decks: Army Edition,A supply sergeant who is basically a drug dealer.
Disgruntled Decks: Army Edition,A Taliban insurgent wildly firing an AK-47 from the hip.
Disgruntled Decks: Army Edition,A threesome with your battle buddy and a musty Fleshlight®.
Disgruntled Decks: Army Edition,A toe-curling combatives orgasm.
Disgruntled Decks: Army Edition,A vodka IV drip courtesy of Doc.
Disgruntled Decks: Army Edition,A warrant offier vanishing in a puff of smoke.
Disgruntled Decks: Army Edition,A West Point pillow fight.
Disgruntled Decks: Army Edition,A wily supply specialist who cums FLIPLs and poops hand receipts.
Disgruntled Decks: Army Edition,Abandoning your post to join the Taliban.
Disgruntled Decks: Army Edition,Accurate sniper fire.
Disgruntled Decks: Army Edition,Accurately describing your chain of command as a less efficient Human Centipede.
Disgruntled Decks: Army Edition,Acting out a flashback during your daughter's ballet recital.
Disgruntled Decks: Army Edition,Afghan farm animals and the men who love them.
Disgruntled Decks: Army Edition,AFRICOM.
Disgruntled Decks: Army Edition,An A-10 liquefying Taliban insurgents with its 30mm autocannon.
Disgruntled Decks: Army Edition,An AFN movie marathon.
Disgruntled Decks: Army Edition,An ammo can filled with old Kevin Costner movies.
Disgruntled Decks: Army Edition,An automated head chopper offer machine developed by ISIS.
Disgruntled Decks: Army Edition,An endearing old woman saying "Thank you for your service."
Disgruntled Decks: Army Edition,An entire infantry platoon infected with drug-resistant gonorrhea.
Disgruntled Decks: Army Edition,An EO violation.
Disgruntled Decks: Army Edition,An excessively thorough UA meat gazer.
Disgruntled Decks: Army Edition,An FRG meeting that ends in a dependa battle royal.
Disgruntled Decks: Army Edition,An IED hidden inside a dead dog.
Disgruntled Decks: Army Edition,An Infantryman repeatedly saying "FUCK!"
Disgruntled Decks: Army Edition,An intel analyst who clearly has autism.
Disgruntled Decks: Army Edition,An intel sergeant disappearing into the desert to pleasure himself under the beautiful stars.
Disgruntled Decks: Army Edition,An Iraqui child lobbing a hand grenade.
Disgruntled Decks: Army Edition,An irate drill sergeant screaming "I will fuck your fucking soul" in the middle of a BCT graduation.
Disgruntled Decks: Army Edition,An ISIS brothel filled with smokin' hot pieces of goat ass.
Disgruntled Decks: Army Edition,An LT on LT slap fight.
Disgruntled Decks: Army Edition,An M1 Abrams Main Battle Tank jumping 14 buses like mother fucking Evel Knievel!
Disgruntled Decks: Army Edition,An M18 Claymore mine fastened to a stray dog.
Disgruntled Decks: Army Edition,An officer's cape.
Disgruntled Decks: Army Edition,Androgynous Ranger candidates.
Disgruntled Decks: Army Edition,Applying winged eyeliner with a camo stick.
Disgruntled Decks: Army Edition,Army Regulations.
Disgruntled Decks: Army Edition,Awkward mandatory training taught by an EO rep wearing blackface.
Disgruntled Decks: Army Edition,Bald eagle cum.
Disgruntled Decks: Army Edition,Base housing prostitutes.
Disgruntled Decks: Army Edition,Basic trainees.
Disgruntled Decks: Army Edition,Becoming visibly upset at the inaccuracies in The Hurt Locker.
Disgruntled Decks: Army Edition,Being operator as fuck.
