Label,response
Disgruntled Decks: Coast Guard/Coastie Edition,A 34-hour SAR mission.
Disgruntled Decks: Coast Guard/Coastie Edition,A clueless baby ensign.
Disgruntled Decks: Coast Guard/Coastie Edition,A company commander getting arrested for smuggling drugs and stolen weapons.
Disgruntled Decks: Coast Guard/Coastie Edition,A dignified burial at sea.
Disgruntled Decks: Coast Guard/Coastie Edition,A donkey show at the All Hands Club.
Disgruntled Decks: Coast Guard/Coastie Edition,A Fireman falling victim to scurvy.
Disgruntled Decks: Coast Guard/Coastie Edition,A floating garbage can full of smelly migrants.
Disgruntled Decks: Coast Guard/Coastie Edition,A friendly visit from CGIS.
Disgruntled Decks: Coast Guard/Coastie Edition,A googly-eyed company commander with a think Jamaican accent.
Disgruntled Decks: Coast Guard/Coastie Edition,A mentally challenged reserve commander who actually lost a boat.
Disgruntled Decks: Coast Guard/Coastie Edition,A morbidly obese DC1 arriving to muster on a mobility scooter.
Disgruntled Decks: Coast Guard/Coastie Edition,A saltwater wet down followed by a salty "wet down."
Disgruntled Decks: Coast Guard/Coastie Edition,A salty food service specialist dribbling queef juice all over your meatloaf.
Disgruntled Decks: Coast Guard/Coastie Edition,A stuttering "A" School instructor who can’t read good but wants to learn to do other stuff good too.
Disgruntled Decks: Coast Guard/Coastie Edition,Aborted boat babies going overboard.
Disgruntled Decks: Coast Guard/Coastie Edition,Alexander Hamilton's mummified corpse.
Disgruntled Decks: Coast Guard/Coastie Edition,An informative memo about the dangers of ball tapping.
Disgruntled Decks: Coast Guard/Coastie Edition,An officer getting trashed off of two appletinis and a shot of peppermint schnapps.
Disgruntled Decks: Coast Guard/Coastie Edition,An official memo banning the word "moist."
Disgruntled Decks: Coast Guard/Coastie Edition,An unusually attractive health services tech.
Disgruntled Decks: Coast Guard/Coastie Edition,Because chief said so!
Disgruntled Decks: Coast Guard/Coastie Edition,Bering Sea shrinkage.
Disgruntled Decks: Coast Guard/Coastie Edition,Binge watching Netflix® while on duty.
Disgruntled Decks: Coast Guard/Coastie Edition,Blaming shit on Reservists.
Disgruntled Decks: Coast Guard/Coastie Edition,Boondockers.
Disgruntled Decks: Coast Guard/Coastie Edition,Breaking a mother fucker with the iron wrist lock take down!
Disgruntled Decks: Coast Guard/Coastie Edition,Buying unhealthy amounts of cheap booze at Yorktown.
Disgruntled Decks: Coast Guard/Coastie Edition,Chief's expansive collection of 80's pornography.
Disgruntled Decks: Coast Guard/Coastie Edition,Chief's wife's back boobs.
Disgruntled Decks: Coast Guard/Coastie Edition,Cleaning stations.
Disgruntled Decks: Coast Guard/Coastie Edition,Clicking through mandatory training slides while watching butt porn on your iPhone®.
Disgruntled Decks: Coast Guard/Coastie Edition,Commandant Pappie's unnecessary war on unit ball caps.
Disgruntled Decks: Coast Guard/Coastie Edition,Constantly being put on the watch bill because nobody likes you.
Disgruntled Decks: Coast Guard/Coastie Edition,Dead marine mammals.
Disgruntled Decks: Coast Guard/Coastie Edition,Discovering a mysterious island inhabited solely by filthy monkey men.
Disgruntled Decks: Coast Guard/Coastie Edition,Douglas Munro seductively whispering "Did they get off?"
Disgruntled Decks: Coast Guard/Coastie Edition,Drowning the homeless at sea.
Disgruntled Decks: Coast Guard/Coastie Edition,Elusive positive page sevens.
Disgruntled Decks: Coast Guard/Coastie Edition,Embarking on a PATFORSWA adventure to float around in the heat and hand out lifejackets.
Disgruntled Decks: Coast Guard/Coastie Edition,Endlessly arguing with the Mexicans over jurisdiction.
Disgruntled Decks: Coast Guard/Coastie Edition,Fending off insults from other service branches.
Disgruntled Decks: Coast Guard/Coastie Edition,Fining recreational boaters for their inadequate number of lifejackets.
Disgruntled Decks: Coast Guard/Coastie Edition,Fishery Enforcement.
Disgruntled Decks: Coast Guard/Coastie Edition,Fuck fuck games on the Eagle.
Disgruntled Decks: Coast Guard/Coastie Edition,Fucking Academy grads!
Disgruntled Decks: Coast Guard/Coastie Edition,Going to open mast for making grimy boat porn.
Disgruntled Decks: Coast Guard/Coastie Edition,Handcuffing people in the dumbest fucking way possible.
Disgruntled Decks: Coast Guard/Coastie Edition,Hating your life because the Coast Guard never lets you do anything cool.
Disgruntled Decks: Coast Guard/Coastie Edition,Hispanic boaters who aren't smuggling drugs.
Disgruntled Decks: Coast Guard/Coastie Edition,Hitting "Reply All" to an email and crashing the entire network.
Disgruntled Decks: Coast Guard/Coastie Edition,Incomplete PRACs.
Disgruntled Decks: Coast Guard/Coastie Edition,Intoxicated spring breakers.
Disgruntled Decks: Coast Guard/Coastie Edition,Inviting the Church of Satan to perform an invocation at your change of command.
Disgruntled Decks: Coast Guard/Coastie Edition,Irregular bowel movements brought to you by Cape May's galley.
Disgruntled Decks: Coast Guard/Coastie Edition,Jayhawk barrel rolls.
Disgruntled Decks: Coast Guard/Coastie Edition,Knowingly jerking off next to a shipmate in the head.
Disgruntled Decks: Coast Guard/Coastie Edition,Looking forward to Boston's Gay Pride Parade.
Disgruntled Decks: Coast Guard/Coastie Edition,Marrying your "A" School instructor and the inevitable divorce that follows.
Disgruntled Decks: Coast Guard/Coastie Edition,Master chief's impressive beer gut.
Disgruntled Decks: Coast Guard/Coastie Edition,Never having a clean combination cover.
Disgruntled Decks: Coast Guard/Coastie Edition,Not actually knowing the words to Semper Paratus.
Disgruntled Decks: Coast Guard/Coastie Edition,Not giving a fuck because you just remembered you're not a petty officer.
Disgruntled Decks: Coast Guard/Coastie Edition,Painting rocks orange.
Disgruntled Decks: Coast Guard/Coastie Edition,Participating in a change of command while completely sloshed.
Disgruntled Decks: Coast Guard/Coastie Edition,Passing tape because of your stumpy gorilla neck.
Disgruntled Decks: Coast Guard/Coastie Edition,Performing morally depraved acts to get your travel voucher processed.
Disgruntled Decks: Coast Guard/Coastie Edition,Performing naked cartwheels on the TRACEN commander's lawn.
Disgruntled Decks: Coast Guard/Coastie Edition,Pissing yourself after spending 13 hours in the bilge.
Disgruntled Decks: Coast Guard/Coastie Edition,Pretending to know how to read a boat board.
Disgruntled Decks: Coast Guard/Coastie Edition,Provocatively removing your Air Force Blue shirt in the Chief's Mess.
Disgruntled Decks: Coast Guard/Coastie Edition,Racing into a hurricane to avoid a menopausing staff officer.
Disgruntled Decks: Coast Guard/Coastie Edition,RAMMING SPEED!
Disgruntled Decks: Coast Guard/Coastie Edition,Regrettably marrying a gigantic ham beast for the BAH.
Disgruntled Decks: Coast Guard/Coastie Edition,Remembering that you're part of the best damn lifesaving service on the planet!
Disgruntled Decks: Coast Guard/Coastie Edition,Rogue waves.
Disgruntled Decks: Coast Guard/Coastie Edition,Sevens.
Disgruntled Decks: Coast Guard/Coastie Edition,Shooting a harpoon into a bottlenose dolphin's adorable face.
Disgruntled Decks: Coast Guard/Coastie Edition,Shooting seagulls for fun.
Disgruntled Decks: Coast Guard/Coastie Edition,Shouting no-no words over comms.
Disgruntled Decks: Coast Guard/Coastie Edition,So. Many. Life jackets!
Disgruntled Decks: Coast Guard/Coastie Edition,Soiling your Mustang® suit.
Disgruntled Decks: Coast Guard/Coastie Edition,Some steamy company commander on-recruit action.
Disgruntled Decks: Coast Guard/Coastie Edition,Striking rate to get off the boat.
Disgruntled Decks: Coast Guard/Coastie Edition,Teaching Soldiers how to drive a boat.
Disgruntled Decks: Coast Guard/Coastie Edition,That one black guy who can swim.
Disgruntled Decks: Coast Guard/Coastie Edition,That one coxswain who likes to hit whitecaps.
Disgruntled Decks: Coast Guard/Coastie Edition,The Auxiliary saying asinine bullshit over the radio.
Disgruntled Decks: Coast Guard/Coastie Edition,The Coast Guard Core Values.
Disgruntled Decks: Coast Guard/Coastie Edition,The endless adventures of "A" School.
Disgruntled Decks: Coast Guard/Coastie Edition,The lead Seaman.
Disgruntled Decks: Coast Guard/Coastie Edition,The orgasmic taste of Chewy® Bars.
Disgruntled Decks: Coast Guard/Coastie Edition,The Polar Star!
Disgruntled Decks: Coast Guard/Coastie Edition,The ship store's disappointing selection of cheap candy and trash food.
Disgruntled Decks: Coast Guard/Coastie Edition,The Thadmiral's throbbing erection for all things law enforcement.
Disgruntled Decks: Coast Guard/Coastie Edition,Traveling full speed through a protected manatee habitat.
Disgruntled Decks: Coast Guard/Coastie Edition,Turning random objects into hammers.
Disgruntled Decks: Coast Guard/Coastie Edition,Wearing the parka with Trops like some sort of fuckng weirdo.
Disgruntled Decks: Coast Guard/Coastie Edition,Yelling "Do a backflip!" at a bridge jumper.
Disgruntled Decks: Coast Guard/Coastie Edition,Yelling "SEMPER PARATUS!" while swatting a wasp nest with a broom.
Disgruntled Decks: Coast Guard/Coastie Edition,Zealously berating Cadets for doing stupid Cadet things.
