Label,prompt
Disgruntled Decks: Marine Corps/Jarhead Edition,An enormous statue commemorating ______ was erected in front of the Lee Harvey Oswald School of Marksmanship Excellence.
Disgruntled Decks: Marine Corps/Jarhead Edition,Congratulations! You joined the Marine Corps! Get ready for ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Describe the Marine Corps with one card.
Disgruntled Decks: Marine Corps/Jarhead Edition,Doc is funny. Doc tells good stories. Doc once told a story about finding ______ in someone's asshole.
Disgruntled Decks: Marine Corps/Jarhead Edition,Friday's linerty safety brief warns Marines to avoid ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Gender integration for all combat jobs has caused promotions to be mostly based on ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,General Mattis' iTunes™ playlist is a disturbing collection of songs about ______ and ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Give it 20 years and the Corps will be nothing but _______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Gunny on Gunny violence: a serious scourge plaguing our Corps. How do we stop it?
Disgruntled Decks: Marine Corps/Jarhead Edition,Gunny told me if I don't cut back on ______ then I'm for sure getting ninja punched.
Disgruntled Decks: Marine Corps/Jarhead Edition,How to be a Marine Recruiter: - Lie to dumb kids; - Have sex with dumb kids; - ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,I'm so damn sick of MREs! I would rather eat ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Infantry platoon - rational decisions making abilities = ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Interrogators are now using ______ and ______ as their new go-to torture methods.
Disgruntled Decks: Marine Corps/Jarhead Edition,June is LGBT Pride Month. What is the Marine Corps doing to celebrate?
Disgruntled Decks: Marine Corps/Jarhead Edition,Marine Corps coloring books filled with pictures of ______ and ______ are now being issued to all Recruits.
Disgruntled Decks: Marine Corps/Jarhead Edition,Marines are to ______ as Sailors are to ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Of course Mad Dog Mattis never got married! He was too busy with _____.
Disgruntled Decks: Marine Corps/Jarhead Edition,Reveille! Reveille! Reveille! Drop your cocks and grab ______!
Disgruntled Decks: Marine Corps/Jarhead Edition,Selfless service is best exemplified by a Marine's dedication to ______ and ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Smug Naval Academy grads believe they're the best at ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,Step 1: Ship to boot camp. Step 2: ______. Step 3: NJP'd.
Disgruntled Decks: Marine Corps/Jarhead Edition,Terminal Lance comics need more ______!
Disgruntled Decks: Marine Corps/Jarhead Edition,That dumb shit new boot got a moto tattoo across his back that says ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,The deplorable state of morale in the Corps can be attributed to a combination of _______ and ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,The Grunt Diet: - 1 part ______; - 2 parts ______; - And a dash of ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,The key to being the ideal Marine is ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,The Marine Corps ensurs ______ is hand delivered to needy children around the world.
Disgruntled Decks: Marine Corps/Jarhead Edition,The new Amphibious Assault Vehicle is really just a pontoon boat filled with ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,The only thing worse than mindlessly reading MCDP-1 Warfighting is ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,There's no argument. The most lethal thing on the battlefield is ______ in the hands of a Marine.
Disgruntled Decks: Marine Corps/Jarhead Edition,This is my rifle. There are many like it but this one is ______.
Disgruntled Decks: Marine Corps/Jarhead Edition,What caused you to lose ANOTHER meritorious board to a wook?
Disgruntled Decks: Marine Corps/Jarhead Edition,What do you think Cpl Wassef Ali Hassoun is doing right now?
Disgruntled Decks: Marine Corps/Jarhead Edition,What does the Commandant of the Marine Corps daydream about during congressional hearings?
Disgruntled Decks: Marine Corps/Jarhead Edition,What is the greatest achievement of the Lance Corporal Underground?
Disgruntled Decks: Marine Corps/Jarhead Edition,What made your grandmother knit "A hardcore death dealer sleeps here" into a quilt she made for you?
Disgruntled Decks: Marine Corps/Jarhead Edition,What made your rack smell like homeless people were fucking in it?
Disgruntled Decks: Marine Corps/Jarhead Edition,What puts the "party" in working party?
Disgruntled Decks: Marine Corps/Jarhead Edition,What's more predictable than an Osprey crash?
Disgruntled Decks: Marine Corps/Jarhead Edition,Why's Gunny drunk again?!?
Disgruntled Decks: Marine Corps/Jarhead Edition,Your Marine Corps Ball date blows your Gunny in the bathroom. What are you doing to numb the pain?
Disgruntled Decks: Marine Corps/Jarhead Edition,Your new platoon sergeant is moto as fuck and won't stop talking about ______.
