Label,response
Disgruntled Decks: Marine Corps/Jarhead Edition,A "Proud Parent of Cannon Fodder" bumper sticker.
Disgruntled Decks: Marine Corps/Jarhead Edition,A 4 lb. turd log splash that causes blue shitter water to coat your ass cheeks.
Disgruntled Decks: Marine Corps/Jarhead Edition,A 98-year-old WWII Vet who still hates the Japanese.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Benghazi-themed costume party.
Disgruntled Decks: Marine Corps/Jarhead Edition,A bootpack filled with stupid ass boot stuff.
Disgruntled Decks: Marine Corps/Jarhead Edition,A bunch of fucking POGs acting like a bunch of fucking POGs.
Disgruntled Decks: Marine Corps/Jarhead Edition,A burly wookie's camel toe sweat stain.
Disgruntled Decks: Marine Corps/Jarhead Edition,A captain quoting Sun Tzu like a pretentious cocksucker.
Disgruntled Decks: Marine Corps/Jarhead Edition,A captain's welfare Beamer.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Chinese cyber attack on Pornhub that cripples morale across the force.
Disgruntled Decks: Marine Corps/Jarhead Edition,A chokeslam/NJP combo for telling your drill instructor to fuck his mother.
Disgruntled Decks: Marine Corps/Jarhead Edition,A clueless Lt watching TED talks on leadership.
Disgruntled Decks: Marine Corps/Jarhead Edition,A dark green Marine who's hung like a 120mm mortar tube.
Disgruntled Decks: Marine Corps/Jarhead Edition,A donkey-borne iED.
Disgruntled Decks: Marine Corps/Jarhead Edition,A fighting hole tugjob.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Gate 2 Street handjob from an 85-year-old Okinawan mama-san.
Disgruntled Decks: Marine Corps/Jarhead Edition,A grunt screaming "MOTHER FUCKER" for no particular reason.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Joint Chiefs bukkake biscuit party.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Memorial Day parade ruined by two drunk Marines fist fighting an elderly woman.
Disgruntled Decks: Marine Corps/Jarhead Edition,A miscarried deployment pregnancy.
Disgruntled Decks: Marine Corps/Jarhead Edition,A pimply-face grunt who smells like cheap cologne and grandma pussy.
Disgruntled Decks: Marine Corps/Jarhead Edition,A plan to kill everyone you meet.
Disgruntled Decks: Marine Corps/Jarhead Edition,A plate carrier made from beaver pelts sewn together with old lady pubes.
Disgruntled Decks: Marine Corps/Jarhead Edition,A POG turned Sith Lord.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Predator delivering fiery death from above.
Disgruntled Decks: Marine Corps/Jarhead Edition,A product line of cordite-scented sex toys endorsed by "Fruity" Rudy Reyes.
Disgruntled Decks: Marine Corps/Jarhead Edition,A promising post-Corps career at McDonald's.
Disgruntled Decks: Marine Corps/Jarhead Edition,A questionable Terminal Lance comic that praises global jihad.
Disgruntled Decks: Marine Corps/Jarhead Edition,A re-enlistment promise that shrivels up and dies.
Disgruntled Decks: Marine Corps/Jarhead Edition,A sagging pair of lopsided dependa tits.
Disgruntled Decks: Marine Corps/Jarhead Edition,A salty puddle of Camp Lejeune ball sweat.
Disgruntled Decks: Marine Corps/Jarhead Edition,A school circle of Geiger Tigers.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Seaman filled with semen.
Disgruntled Decks: Marine Corps/Jarhead Edition,A slimy fucking walrus-looking piece of shit.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Smart Car pacekd with five Marines and a case of Natty Light.
Disgruntled Decks: Marine Corps/Jarhead Edition,A SSgt whi is functionally illiterate.
Disgruntled Decks: Marine Corps/Jarhead Edition,A sucking chest wound.
Disgruntled Decks: Marine Corps/Jarhead Edition,A suicide awarenes skit that uses penis puppetry.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Taliban wrestling tournament.
Disgruntled Decks: Marine Corps/Jarhead Edition,A terrorist puking blood into your mouth.
Disgruntled Decks: Marine Corps/Jarhead Edition,A thermite grenade stuffed inside a life-sized mannequin of Harry Potter.
Disgruntled Decks: Marine Corps/Jarhead Edition,A throbbing moto boner.
Disgruntled Decks: Marine Corps/Jarhead Edition,A totally respectable marriage while on boot camp leave.
Disgruntled Decks: Marine Corps/Jarhead Edition,A vegan MRE made from raw bell peppers and raccoon fur.
Disgruntled Decks: Marine Corps/Jarhead Edition,A Vietnam Vet who can still fuck you up.
Disgruntled Decks: Marine Corps/Jarhead Edition,A water buffalo filled to the brim with pumpkin spice latte and white girl cooze.
Disgruntled Decks: Marine Corps/Jarhead Edition,A weepy jerk sesh using tears of loneliness while everyone else is on Christmas leave.
Disgruntled Decks: Marine Corps/Jarhead Edition,A well-hung Afghan child.
Disgruntled Decks: Marine Corps/Jarhead Edition,A wookie with an MCMAP Black Belt.
Disgruntled Decks: Marine Corps/Jarhead Edition,A working party composed of best friends making memories and having lots of laughs!
Disgruntled Decks: Marine Corps/Jarhead Edition,Accidentally propositioning your commander on Grindr.
Disgruntled Decks: Marine Corps/Jarhead Edition,Accidentally setting the barracks on fire with a hairspray flamethrower.
Disgruntled Decks: Marine Corps/Jarhead Edition,Actually calling cadence like soe goddamn weirdo.
Disgruntled Decks: Marine Corps/Jarhead Edition,Afghan sheep who can't say no.
Disgruntled Decks: Marine Corps/Jarhead Edition,Amphibious operations.
Disgruntled Decks: Marine Corps/Jarhead Edition,An anatomically correct SECDEF blow-up doll with adjustable vibrating booty hole settings.
Disgruntled Decks: Marine Corps/Jarhead Edition,An excessively thorough pecker checker.
Disgruntled Decks: Marine Corps/Jarhead Edition,An intel analyst with a bad case of the Asperger's.
Disgruntled Decks: Marine Corps/Jarhead Edition,An MRE poop that possesses the density of a small neutron star.
Disgruntled Decks: Marine Corps/Jarhead Edition,An overly enthusiastic platoon commander.
Disgruntled Decks: Marine Corps/Jarhead Edition,An SIQ chit for having Down Syndrome.
Disgruntled Decks: Marine Corps/Jarhead Edition,Androgyunous MARSOC candidates.
Disgruntled Decks: Marine Corps/Jarhead Edition,Another sexual assault on a Japanese civilian.
Disgruntled Decks: Marine Corps/Jarhead Edition,Another surprising Osprey crash.
Disgruntled Decks: Marine Corps/Jarhead Edition,Arriving 15 minutes prior to the 15 minutes prior to the 15 minutes prior.
Disgruntled Decks: Marine Corps/Jarhead Edition,ASVAB waivers.
Disgruntled Decks: Marine Corps/Jarhead Edition,Baby oiled Midshipmen playing shirtless volleyball.
Disgruntled Decks: Marine Corps/Jarhead Edition,Bag nasties.
Disgruntled Decks: Marine Corps/Jarhead Edition,Barney-style.
Disgruntled Decks: Marine Corps/Jarhead Edition,Barracks duty on a holiday weekend.
Disgruntled Decks: Marine Corps/Jarhead Edition,Barracks rats.
Disgruntled Decks: Marine Corps/Jarhead Edition,Because Gunny said so!
Disgruntled Decks: Marine Corps/Jarhead Edition,Becoming a broke-dick POG in record time.
Disgruntled Decks: Marine Corps/Jarhead Edition,Being as useful as tits on a bull.
Disgruntled Decks: Marine Corps/Jarhead Edition,Being MARSOC as fuck.
Disgruntled Decks: Marine Corps/Jarhead Edition,Belt-fed erections.
Disgruntled Decks: Marine Corps/Jarhead Edition,Big truck and tiny cock!
Disgruntled Decks: Marine Corps/Jarhead Edition,Blaming IEDs on the Jews.
Disgruntled Decks: Marine Corps/Jarhead Edition,Blown out wooks.
Disgruntled Decks: Marine Corps/Jarhead Edition,Boot bands.
Disgruntled Decks: Marine Corps/Jarhead Edition,Bountiful barracks butt stuff.
Disgruntled Decks: Marine Corps/Jarhead Edition,Breaching a door using a small Afghan child as a hasty battering ram.
Disgruntled Decks: Marine Corps/Jarhead Edition,Buying new cammies because Gunny said you look like a bag of smashed assholes.
Disgruntled Decks: Marine Corps/Jarhead Edition,Cacner-ridden children becoming honorary Marines.
Disgruntled Decks: Marine Corps/Jarhead Edition,Captain-level stupidity.
Disgruntled Decks: Marine Corps/Jarhead Edition,Carelessly scorching the innocent with Willie Pete.
Disgruntled Decks: Marine Corps/Jarhead Edition,Carving dicks in stuff with a KA-BAR.
Disgruntled Decks: Marine Corps/Jarhead Edition,Charred human remains.
Disgruntled Decks: Marine Corps/Jarhead Edition,Cherry Point.
Disgruntled Decks: Marine Corps/Jarhead Edition,Child-borne IEDs.
Disgruntled Decks: Marine Corps/Jarhead Edition,Chris Kyle's magic necklace made from shell casings and dried Iraqi foreskins.
Disgruntled Decks: Marine Corps/Jarhead Edition,Chugging several canteens filled with hobo cum.
Disgruntled Decks: Marine Corps/Jarhead Edition,Cleaning your boots with boiled hotdog water.
Disgruntled Decks: Marine Corps/Jarhead Edition,Combat Jews wearing camo yarmulkes.
Disgruntled Decks: Marine Corps/Jarhead Edition,Confirmed kills.
Disgruntled Decks: Marine Corps/Jarhead Edition,Cool war trophies and stuff.
Disgruntled Decks: Marine Corps/Jarhead Edition,Crossing piss streams over the face of a dead haji.
Disgruntled Decks: Marine Corps/Jarhead Edition,Dead Iraqi children.
Disgruntled Decks: Marine Corps/Jarhead Edition,DEATH BEFORE DISHONOR!
Disgruntled Decks: Marine Corps/Jarhead Edition,Death by PowerPoint®.
Disgruntled Decks: Marine Corps/Jarhead Edition,Declining SGLI coverage.
Disgruntled Decks: Marine Corps/Jarhead Edition,Decorating the platoon Christmas tree with tasteless pornaments.
Disgruntled Decks: Marine Corps/Jarhead Edition,Dedicating your Medal of Honor speech to Harambe the fallen gorilla.
Disgruntled Decks: Marine Corps/Jarhead Edition,Deflecting fuckery with your DD 214.
Disgruntled Decks: Marine Corps/Jarhead Edition,Denied leave.
Disgruntled Decks: Marine Corps/Jarhead Edition,Destroying a piece of barracks ass like a JDAM Afghan orphanage.
