Label,response
Disgruntled Decks: Navy Edition,A 3-hour SECRET flight brief for a 45-minute flight. #WasteMyFuckingTime
Disgruntled Decks: Navy Edition,A bed bug-infested rack.
Disgruntled Decks: Navy Edition,A billion different uniforms and accessories.
Disgruntled Decks: Navy Edition,A Boatswain's punch.
Disgruntled Decks: Navy Edition,A bucket of fishy tampons stuffed inside your rackmate's pillowcase.
Disgruntled Decks: Navy Edition,A bunch of stupid pilots doing stupid pilot shit.
Disgruntled Decks: Navy Edition,A canteen-spitter combo.
Disgruntled Decks: Navy Edition,A cringey license plate that reads "USN4LYF."
Disgruntled Decks: Navy Edition,A CS friend hooking you up with extra meatloaf and shit.
Disgruntled Decks: Navy Edition,A Dependapotamus vs. TRICAREatops hotdog eating sontest.
Disgruntled Decks: Navy Edition,A destroyer performing a max AOB turn while unfurling 90-foot American flags.
Disgruntled Decks: Navy Edition,A dignified burial at sea.
Disgruntled Decks: Navy Edition,A dumb shit ensign attempting to pull rank on Chief.
Disgruntled Decks: Navy Edition,A FOD Walkdown of Skipper's stateroom.
Disgruntled Decks: Navy Edition,A Gay Chicken win streak.
Disgruntled Decks: Navy Edition,A half month's pay times two.
Disgruntled Decks: Navy Edition,A Marine desperately trying to flush stolen panties down the shitters.
Disgruntled Decks: Navy Edition,A mouth like a Sailor.
Disgruntled Decks: Navy Edition,A Navy-wide pamphlet entitled "Needleguns and You: Surviving Your First Command as an Undesignated Seaman."
Disgruntled Decks: Navy Edition,A Nuke with an arm growing out of his head.
Disgruntled Decks: Navy Edition,A pilot with an unequal number of takeoffs and landings.
Disgruntled Decks: Navy Edition,A proud new member of the Liberty Attire Enforcement Team.
Disgruntled Decks: Navy Edition,A race baiting NC1.
Disgruntled Decks: Navy Edition,A rogue HT welding berthing hatches shut.
Disgruntled Decks: Navy Edition,A rotting pile of Veterans corpses in the basement of a VA hospital.
Disgruntled Decks: Navy Edition,A School relationships.
Disgruntled Decks: Navy Edition,A SEAL platoon twerking to trap music.
Disgruntled Decks: Navy Edition,A Seaman full of semen.
Disgruntled Decks: Navy Edition,A SECDET member forgetting his rifle in the galley.
Disgruntled Decks: Navy Edition,A sleazy recruiter driving an '85 panel van packed with teenage girls and several cases of Four Loko.
Disgruntled Decks: Navy Edition,A wave of thirst crashing down on every female Sailor.
Disgruntled Decks: Navy Edition,Acadmey grads losing classified material.
Disgruntled Decks: Navy Edition,Advancement results without your name on them.
Disgruntled Decks: Navy Edition,Air DET delivering a pallet of freshly stacked ISIS corpses.
Disgruntled Decks: Navy Edition,All conditions normal.
Disgruntled Decks: Navy Edition,An aggressively aerobatic VERTREP that causes all assholes to simultaneously pucker.
Disgruntled Decks: Navy Edition,An AO telling you that he kills people.
Disgruntled Decks: Navy Edition,An elaborate advancement exam cheating ring.
Disgruntled Decks: Navy Edition,An enormoous metal tube filled with Seamen.
Disgruntled Decks: Navy Edition,An ensign's cunt wife demanding to be saluted at the gate.
Disgruntled Decks: Navy Edition,An EOD chief slinging his cock over his shoulder.
Disgruntled Decks: Navy Edition,An EOD on SEAL on SWCC suck pile.
Disgruntled Decks: Navy Edition,An inspection uniform soaked in Taco Bell grease.
Disgruntled Decks: Navy Edition,An outbreak of vaginal malaria in the female berthing spaces.
Disgruntled Decks: Navy Edition,An SCBA mask that smells like the inside of a wet bag of horse nuts.
Disgruntled Decks: Navy Edition,Any naval officer.
Disgruntled Decks: Navy Edition,Armchair Admirals.
Disgruntled Decks: Navy Edition,Assholes and Admirals.
Disgruntled Decks: Navy Edition,ASVAB waivers.
Disgruntled Decks: Navy Edition,Bahrain's "American Alley."
Disgruntled Decks: Navy Edition,Balls-to-8 watch.
Disgruntled Decks: Navy Edition,Bar fights with Coasties.
Disgruntled Decks: Navy Edition,BCGs.
Disgruntled Decks: Navy Edition,Being as useful as a screen door on a submarine.
Disgruntled Decks: Navy Edition,Being voluntold to man the rails.
Disgruntled Decks: Navy Edition,Believeing your recruiter when he told you SEALs would offer you a chance to switch your rate in boot camp.
Disgruntled Decks: Navy Edition,Belt buckles with your ship's logo.
Disgruntled Decks: Navy Edition,Berthing Fight Club.
Disgruntled Decks: Navy Edition,BMs.
Disgruntled Decks: Navy Edition,Boatswain's Mate pipe practice.
Disgruntled Decks: Navy Edition,Borderline retarded ensigns.
Disgruntled Decks: Navy Edition,Brace for shock!
Disgruntled Decks: Navy Edition,Bullshit flight pay for LCAC crews.
