Label,prompt
Evil Apples,Before going to sleep I always check under the bed for ______.
Evil Apples,Da Vinci's "The Last Supper" contains a hidden image of ______.
Evil Apples,Folks over at Build-A-Bear are rolling out a new kind of bear that will be stuffed with ______.
Evil Apples,Grandmother's house always smells like ______.
Evil Apples,Grandpa's secret to maintaining an erection was _______.
Evil Apples,I blacked out and woke up covered in ______.
Evil Apples,I know you're still mad but is ______ out of the question?
Evil Apples,I like sex like I like ______: hot and out of control.
Evil Apples,I regret losing my virginity to ______.
Evil Apples,I took the day off so I could concentrate on ______.
Evil Apples,I woke up in a cold sweat after an eerily realistic nightmare about _______.
Evil Apples,It's not a real bachelor party without ______!
Evil Apples,Marriage is like ______: it's alawys over sooner than you think.
Evil Apples,Most of my favorite bedroom activities involve ______.
Evil Apples,My boss caught me daydreaming about ______ at work.
Evil Apples,My boss heard me talking about ______ and now I have to have a meeting with HR.
Evil Apples,My greatest fear is ______.
Evil Apples,My high school diary has a BUNCH of entries about ______.
Evil Apples,My love for you is like ______: peaceful and deep.
Evil Apples,My Strange Addiction: ______. Thursdays at 8pm on TLC.
Evil Apples,My wife and I both love ______. That's why our marriage is so strong.
Evil Apples,My worst enemy once tried to defeat me with ______.
Evil Apples,No one listened to the scientist who warned us about ______.
Evil Apples,Nothing excites a group of Catholic Priests more than ______.
Evil Apples,Nothing is hotter to me than when a woman isn't afraid of ______.
Evil Apples,Nothing says "America" like ______.
Evil Apples,Nothing scares the 1% more than ______.
Evil Apples,Oh no! Little Timmy died from ______.
Evil Apples,Only YOU can prevent ______.
Evil Apples,Pope Francis just changed the rules again - now ______ is totally cool with God.
Evil Apples,Scientists predict that within the next 50 years there will be ______ in every home.
Evil Apples,Slaying the dragon was actually pretty easy. The hardest part of the quest turned out to be ______.
Evil Apples,Superman's only weakness turned out to be ______.
Evil Apples,Teenagers are calling it "______" and it's NOT what you think!
Evil Apples,Tell your doctor that you suffer from ______ if you want the REALLY good drugs.
Evil Apples,The best first dates usually end with ______.
Evil Apples,The first message we received from another planet was just a request for ______.
Evil Apples,The first porno I watched prominently featured ______.
Evil Apples,There's been a murder and ______ is the only suspect.
Evil Apples,There's just nothing like ______ first thing in the morning.
Evil Apples,There's just something about ______ that always puts a smile on my face.
Evil Apples,These days you can just throw together a banjo and some lyrics about ______ and you've got a perfectly good country song.
Evil Apples,They say ______ brings you closer to God.
Evil Apples,Urban Dictionary defines ______ as "the darkest place you can imagine".
Evil Apples,USA: Number 1 in obesity and ______.
Evil Apples,We didn't learn about ______ in Sex Ed so I had to find out the hard way!
Evil Apples,Welcome to ______ World. Wear a fucking poncho.
Evil Apples,What describes my "type"?
Evil Apples,What do I dream about at night?
Evil Apples,What do you see yourself doing 5 years from now?
Evil Apples,What have I lied to each of you about?
Evil Apples,What is my obsession?
Evil Apples,What made my butt feel so weird?
Evil Apples,White male. Aged 42. Cause of death: ______.
Evil Apples,Why are my parents disappointed in me?
Evil Apples,World War III was caused by ______.
Evil Apples,You call it ______. I call it making love.
Evil Apples,You know me. I'm the ______ one in the group.
