Label,response
Evil Apples,A GREAT BIG BOWL OF FUCKADOODLES
Evil Apples,A pretty little pink butthole
Evil Apples,Adolf Hitler
Evil Apples,African Killer Bees
Evil Apples,ALL the drugs!
Evil Apples,Appalachian swamp cannibals
Evil Apples,Area 51
Evil Apples,ASSHOLES
Evil Apples,Barack Obama's left nut
Evil Apples,Barack Obama's right nut
Evil Apples,BDSM
Evil Apples,Chipotle diarrhea
Evil Apples,Creationism
Evil Apples,Diet Cocaine™
Evil Apples,Donkey Kong's long strong dong
Evil Apples,FIRE TORNADOS!
Evil Apples,Fleshlights
Evil Apples,Fox News
Evil Apples,Helen Keller
Evil Apples,Irritable Bowel Syndrome
Evil Apples,Jeff!!!!!!!!!!
Evil Apples,Jehovah's Witnesses
Evil Apples,Jewish mothers
Evil Apples,JonBenét Ramsey
Evil Apples,Kim Jong Un
Evil Apples,Luke Skywalker
Evil Apples,Magnum™ condoms
Evil Apples,Mike Hunt
Evil Apples,Neil deGrasse Tyson
Evil Apples,Osama Bin Laden
Evil Apples,Planned Parenthood
Evil Apples,Russian mail order brides
Evil Apples,Scientologists
Evil Apples,Shark Week
Evil Apples,Sharknado
Evil Apples,Socialist Liberal Hippie Tree-Hugger Democrats
Evil Apples,The Adventures of Shits-His-Pants Boy
Evil Apples,The Alabama Hot Pocket: shitting inside her vagina nad then squishing your dick in there
Evil Apples,The Antichrist
Evil Apples,The Mayor of Fuck City
Evil Apples,The Red Herring: convincing a guy you don't have your period but then you DO!
Evil Apples,The Tickle King
Evil Apples,Toxic Shock Syndrome
Evil Apples,Voldemort
Evil Apples,Walmart sushi
Evil Apples,Yoda's little green wiener
Evil Apples,Zeus's butthole
