Label,response
Fantasy Pack,A CGI dragon.
Fantasy Pack,A dwarf who won't leave you alone until you compare penis sizes.
Fantasy Pack,A gay sorcerer who turns everyone gay.
Fantasy Pack,A ghoul.
Fantasy Pack,A Hitachi Magic Wand.
Fantasy Pack,A magical kingdom with dragons and elves and no black people.
Fantasy Pack,A weed elemental who gets everyone high.
Fantasy Pack,Accidentally conjuring a legless horse that can't stop ejaculating.
Fantasy Pack,Bathing naked in a moonlit grove.
Fantasy Pack,Dinosaurs who wear armor and you ride them and they kick ass.
Fantasy Pack,Eternal darkness.
Fantasy Pack,Gender equality.
Fantasy Pack,Going on an epic adventure and learning a valuable lesson about friendship.
Fantasy Pack,Handcuffing a wizard to a radiator and dousing him with kerosene.
Fantasy Pack,Hodor.
Fantasy Pack,How hot Orlando Bloom was in Lord of the Rings.
Fantasy Pack,Kneeing a wizard in the balls.
Fantasy Pack,Make-believe stories for autistic white men.
Fantasy Pack,Reading The Hobbit under the covers while mom and dad scream at each other downstairs.
Fantasy Pack,Shitting in a wizard's spell book and jizzing in his hat.
Fantasy Pack,Shooting a wizard with a gun.
Fantasy Pack,The all-seeing Eye of Sauron.
Fantasy Pack,The card Neil Gaiman wrote: "Three elves at a time."
Fantasy Pack,True love's kiss.
