Label,response
Food Pack,A belly full of hard-boiled eggs.
Food Pack,A joyless vegan party.
Food Pack,A sobering quantity of chili cheese fries.
Food Pack,A table for one at The Cheesecake Factory.
Food Pack,Being emotionally and physically dominated by Gordon Ramsay.
Food Pack,Clamping down on a gazelle’s jugular and tasting its warm life waters.
Food Pack,Committing suicide at the Old Country Buffet.
Food Pack,Father’s forbidden chocolates.
Food Pack,Going vegetarian and feeling so great all the time.
Food Pack,Jizz Twinkies.
Food Pack,Kale farts.
Food Pack,Kevin Bacon Bits.
Food Pack,Licking the cake batter off of grandma’s fingers.
Food Pack,Not knowing what to believe anymore about butter.
Food Pack,Oreos for dinner.
Food Pack,Real cheese flavor.
Food Pack,Soup that’s better than pussy.
Food Pack,Sucking down thousands of pounds of krill every day.
Food Pack,Swishing the wine around and sniffing it like a big fancy man.
Food Pack,The Dial-A-Slice Apple Divider from Williams-Sonoma.
Food Pack,The Hellman’s Mayonnaise Corporation.
Food Pack,The hot dog I put in my vagina ten days ago.
Food Pack,The inaudible screams of carrots.
Food Pack,What to do with all of this chocolate on my penis.
