Label,response
Fun in the Oven,A 103° fever.
Fun in the Oven,A Baby Bjorn.
Fun in the Oven,A banana and two cherries.
Fun in the Oven,A boy.
Fun in the Oven,A breast pump.
Fun in the Oven,A broken condom.
Fun in the Oven,A bun in the oven.
Fun in the Oven,A changing table at a gas station.
Fun in the Oven,A choking hazard.
Fun in the Oven,A Costco-sized container of wet naps.
Fun in the Oven,A dental damn.
Fun in the Oven,A diaper full of melted candy bars.
Fun in the Oven,A Diaper Genie.
Fun in the Oven,A dirty martini.
Fun in the Oven,A family outing.
Fun in the Oven,A girl.
Fun in the Oven,A grown man wearing diapers and sucking on a bottle.
Fun in the Oven,A high chair.
Fun in the Oven,A home water birth.
Fun in the Oven,A life.
Fun in the Oven,A lotus birth.
Fun in the Oven,A moment so special you realize it was all worth it.
Fun in the Oven,A needle as long as your forearm.
Fun in the Oven,A pack of unfiltered cigarettes.
Fun in the Oven,A penis.
Fun in the Oven,A poopy diaper.
Fun in the Oven,A positive pregnancy test.
Fun in the Oven,A prenatal massage.
Fun in the Oven,A rush of oxytocin.
Fun in the Oven,A shotgun wedding.
Fun in the Oven,A sippy cup.
Fun in the Oven,A sound night's sleep.
Fun in the Oven,A surrogate wish list.
Fun in the Oven,A trail of Cheerios leading to the hall closet.
Fun in the Oven,A turkey baster.
Fun in the Oven,A vasectomy.
Fun in the Oven,A virgin birth.
Fun in the Oven,A wet nurse.
Fun in the Oven,Alcohol.
Fun in the Oven,Aliens.
Fun in the Oven,An awkward middle name.
Fun in the Oven,An epidural.
Fun in the Oven,An episiotomy.
Fun in the Oven,An unexpected stripper.
Fun in the Oven,Baby butt cream.
Fun in the Oven,Baby proofing the house.
Fun in the Oven,Baby sign language.
Fun in the Oven,Baby's first step.
Fun in the Oven,Baby's first word.
Fun in the Oven,Bath time.
Fun in the Oven,Being 9½ months pregnant.
Fun in the Oven,Being 99% sure the baby is yours.
Fun in the Oven,Being able to eat whatever you want… except a long list of things.
Fun in the Oven,Being knocked up.
Fun in the Oven,Being mistaken for the nanny.
Fun in the Oven,Bieng covered in partially digested breast milk… all the time.
Fun in the Oven,Bodily functions.
Fun in the Oven,Breastfeeding in public.
Fun in the Oven,Caffeine.
Fun in the Oven,Captain Fetus.
Fun in the Oven,Celebrity baby names.
Fun in the Oven,Chafed nipples.
Fun in the Oven,Checking for GMOs on every food label.
Fun in the Oven,Child abuse.
Fun in the Oven,Choosing a baby name based on its availability as a website.
Fun in the Oven,Choosing disposable diapers.
Fun in the Oven,Choosing not to know the baby's gender.
Fun in the Oven,Circumcision.
Fun in the Oven,Cleaning the pacifier by wiping it with your mouth.
Fun in the Oven,Comfortable sweatpants.
Fun in the Oven,Contraception.
Fun in the Oven,Cryopreserved cord blood.
Fun in the Oven,Cutting the umbilical cord.
Fun in the Oven,Dad singing lullabies.
Fun in the Oven,Dad.
Fun in the Oven,Dancing all night.
Fun in the Oven,Date night.
Fun in the Oven,Deciding whether babies are allowed in the "man cave".
Fun in the Oven,Eating for two.
Fun in the Oven,Eating solid foods.
Fun in the Oven,Eating the placenta.
Fun in the Oven,Elimination communication (poop talk).
Fun in the Oven,Encapsulating the placenta.
Fun in the Oven,Epic farts.
Fun in the Oven,Explaining unconvetional family situations.
Fun in the Oven,Explosive poop.
Fun in the Oven,False labor.
Fun in the Oven,Feeling like you've finally created something worthwhile.
Fun in the Oven,Feeling the baby kick for the first time.
Fun in the Oven,Feeling tired.
Fun in the Oven,Filling out preschool applications while still pregnant.
Fun in the Oven,Finding an OB/GYN that understands "your needs".
Fun in the Oven,Finding out where babies really come from.
Fun in the Oven,Finding out who the baby daddy is on a talk show.
Fun in the Oven,Finding yourself in a delicate way.
Fun in the Oven,Finding yourself in a family way.
Fun in the Oven,Following the "helpful"advice of uncle Rick.
Fun in the Oven,Formula made in China.
Fun in the Oven,Fornication.
Fun in the Oven,Fries dipped in a chocolate milkshake.
Fun in the Oven,Gagging on a horse-pill sized prenatal vitamin.
Fun in the Oven,Gerber baby food.
Fun in the Oven,Gestational diabetes.
Fun in the Oven,Getting pee in your face while changing a diaper.
Fun in the Oven,Getting pregnant the first time you have sex.
Fun in the Oven,Getting your friends to help with a post-baby Meal Train.
Fun in the Oven,Giving a positive reaction to a baby shower gift you don't want.
Fun in the Oven,Giving all the kids a present on everyone's birthday so no one gets jealous.
Fun in the Oven,Going back to work to pay for preschool.
Fun in the Oven,Going into labor.
Fun in the Oven,Going on vacation.
Fun in the Oven,Going to the ER in a panic only to discover nothing is wrong.
Fun in the Oven,Googling "breastfeeding" and finding more than you bargained for.
Fun in the Oven,Having a beer to stimulate milk production.
Fun in the Oven,Having a stranger touch your belly.
Fun in the Oven,Having another baby.
Fun in the Oven,Having just one glass of champagne.
Fun in the Oven,Having more sex while pregnant than you were before.
Fun in the Oven,Having sex too soon after giving birth.
Fun in the Oven,Having surprise twins… or triplets!
Fun in the Oven,Having your mom stay for a week to help with the new baby.
Fun in the Oven,Hemorrhoids?
Fun in the Oven,Holding the baby for the first time.
Fun in the Oven,Homemade baby food.
Fun in the Oven,Hoping you go into labor before Mecury goes retrograde.
Fun in the Oven,Hormonal changes.
Fun in the Oven,Hot maternity lingerie.
Fun in the Oven,In utero baby hiccups.
Fun in the Oven,Inappropriate boners.
Fun in the Oven,Inappropriate questions about your weight before you've told anyone you're pregnant.
Fun in the Oven,Inducing labor.
Fun in the Oven,Intersex gender.
Fun in the Oven,Itchy homemade baby blankets.
Fun in the Oven,Justifying my life choices to well-meaning strangers.
Fun in the Oven,Kangaroo care.
Fun in the Oven,Keeping your favorite baby stroller…even after it has been recalled.
Fun in the Oven,Knowing what your baby is saying even when it sounds like gibberish to everyone else.
Fun in the Oven,Lame baby shower games.
Fun in the Oven,Lead based toys.
Fun in the Oven,Learning another language so your baby can grow up bilingual.
Fun in the Oven,Letting the pregnant lady cut ahead of you in the bathroom line.
Fun in the Oven,Lochia. (don't ask)
Fun in the Oven,Looking forward to the first family Christmas photo with the new baby.
Fun in the Oven,Losing my virginity.
Fun in the Oven,LSD.
Fun in the Oven,Making a decision about what to do with the placenta.
Fun in the Oven,Maternity fashion.
Fun in the Oven,Milky dribble.
Fun in the Oven,Mistaking diaper cream for sunscreen.
Fun in the Oven,Mittelschmerz.
Fun in the Oven,Mom.
Fun in the Oven,Mommy's little helper.
Fun in the Oven,Mood swings.
Fun in the Oven,Morning sickness.
Fun in the Oven,Mother's intuition.
Fun in the Oven,Mother's love?
Fun in the Oven,My mother-in-law's advice.
Fun in the Oven,Naming the baby after a celebrity that suffers a scandal a year later.
Fun in the Oven,Natural childbirth.
Fun in the Oven,Neck cheese.
Fun in the Oven,Night-vision baby monitors.
Fun in the Oven,Not being able to take the baby… anywhere!
Fun in the Oven,Not being sure whether that's the baby kicking… or gas.
Fun in the Oven,On the playa… six months pregnant.
Fun in the Oven,One million YouTube views of "Doo Doo on Dada".
Fun in the Oven,Onesies branded with cultural references the baby will never get.
Fun in the Oven,Organic everything.
Fun in the Oven,Ovaries… the female gonads.
Fun in the Oven,Peeing?
Fun in the Oven,Phantom pregnancy.
Fun in the Oven,Pickles and ice cream.
Fun in the Oven,Post-partum depression.
Fun in the Oven,Posting the baby's video sonogram on the internet.
Fun in the Oven,Pregnancy euphemisms.
Fun in the Oven,Pregnancy gas.
Fun in the Oven,Projectile vomit.
Fun in the Oven,Prom night.
Fun in the Oven,Pulling out.
Fun in the Oven,Pumping breast milk.
Fun in the Oven,Puréed peas.
Fun in the Oven,Putting a condom on a banana.
Fun in the Oven,Putting a rolled up towel next to you so you don't smother your co-sleeping baby.
Fun in the Oven,Putting it up for adoption.
Fun in the Oven,Putting the car seat in the front to use the carpool lane.
Fun in the Oven,Realizing "cribs" is not just a TV show.
Fun in the Oven,Realizing the hospital doesn't allow video cameras in the delivery room.
Fun in the Oven,Realizing the only two phone numbers you know are your spouse's and OB/GYN's.
Fun in the Oven,Recreational drugs.
Fun in the Oven,Remembering how much fun a rattle can be… at first.
Fun in the Oven,Requesting a paternity test.
Fun in the Oven,Requesting an epidural too late.
Fun in the Oven,Same-sex parents.
Fun in the Oven,Scheduling a C-section a week early.
Fun in the Oven,Secretly driving the baby without a car seat.
Fun in the Oven,Seeing your feet again.
Fun in the Oven,Skin as smooth as a baby's bottom.
Fun in the Oven,Sleeping through the night.
Fun in the Oven,Soft cheeses.
Fun in the Oven,Somehow managing to fall asleep with a fragile infant next to you.
Fun in the Oven,Spending the baby's college fund.
Fun in the Oven,Spermicide.
Fun in the Oven,Strained carrots.
Fun in the Oven,Stretch marks.
Fun in the Oven,Sucking snot out of the baby's nose.
Fun in the Oven,Sunbathing your belly to prevent jaundice in the baby.
Fun in the Oven,Sushi.
Fun in the Oven,Swaddling.
Fun in the Oven,Swimming in utero.
Fun in the Oven,Swollen ankles.
Fun in the Oven,Taking a 9+ month menstruation vacation.
Fun in the Oven,Taking an extended paternity leave.
Fun in the Oven,Talc-free baby powder.
Fun in the Oven,Teenage pregnancy.
Fun in the Oven,Telling people the baby's first word was "mom" when it was really "muh".
Fun in the Oven,Temper tantrums.
Fun in the Oven,Ten fingers and ten toes… whew!
Fun in the Oven,Terrible kids TV shows.
Fun in the Oven,That new baby smell.
Fun in the Oven,That pregnancy glow.
Fun in the Oven,That thing where your doula is also your sister.
Fun in the Oven,The broken promise to abstain until marriage.
Fun in the Oven,The comforting embrace of the womb.
Fun in the Oven,The cool touch of a rectal thermometer.
Fun in the Oven,The feeling you get when the baby looks back at you with "your eyes".
Fun in the Oven,The hot nanny.
Fun in the Oven,The latest in stroller technology.
Fun in the Oven,The rhythm method.
Fun in the Oven,The stork.
Fun in the Oven,The terrible twos.
Fun in the Oven,The torrid romance of scheduling sex around ovulation.
Fun in the Oven,The water breaking at an inopportune time.
Fun in the Oven,Throwing a gender revealing party.
Fun in the Oven,Throwing Cheerios on the floor.
Fun in the Oven,Throwing the baby out with the bathwater.
Fun in the Oven,TMI.
Fun in the Oven,Toddlers in tiaras.
Fun in the Oven,Tongue thrusts. (reverse swallowing)
Fun in the Oven,Trying to feel at home in the delivery room.
Fun in the Oven,Trying to find the baby on a sonogram.
Fun in the Oven,Unidentifiable rashes.
