Label,response
Geek Pack,A fully-dressed female videogame character.
Geek Pack,A grumpy old Harrison Ford who'd rather be doing anything else.
Geek Pack,Achieving 500 actions per minute.
Geek Pack,Charging up all the way.
Geek Pack,Eating a pizza that's lying in the street to gain health.
Geek Pack,Endless ninjas.
Geek Pack,Getting bitch slapped by Dhalsim. 
Geek Pack,Getting bitten by a radioactive spider and then battling leukimia for 30 years.
Geek Pack,KHAAAAAAAAN!
Geek Pack,Loading from a previous save.
Geek Pack,Offering sexual favors for an ore and a sheep.
Geek Pack,Running out of stamina.
Geek Pack,Separate drinking fountains for dark elves.
Geek Pack,Ser Jorah Mormont's cerulean-blue balls.
Geek Pack,Sharpening a foam broadsword on a foam whetstone.
Geek Pack,Stuffing my balls into a Sega Genesis and pressing the power button.
Geek Pack,Taking 2d6 emotional damage.
Geek Pack,Tapping Serra Angel.
Geek Pack,The Cock Ring of Alacrity.
Geek Pack,The collective wail of every Magic player suddenly realizing that they've spent hundreds of dollars on pieces of cardboard.
Geek Pack,The depression that ensues after catching 'em all.
Geek Pack,Yoshi's huge egg-laying cloaca.
