Label,response
Gen Con 2018 Midterm Election Pack,A law that allows factories to dump toxic waste into children's mouths.
Gen Con 2018 Midterm Election Pack,A living wage and affordable health care.
Gen Con 2018 Midterm Election Pack,A politician who doesn't blow monkey ass.
Gen Con 2018 Midterm Election Pack,Crowdfunding my daughter's bone marrow transplant.
Gen Con 2018 Midterm Election Pack,Donald Trump's latest fucking thing.
Gen Con 2018 Midterm Election Pack,Fentanyl.
Gen Con 2018 Midterm Election Pack,Fucking over future generations.
Gen Con 2018 Midterm Election Pack,ICE.
Gen Con 2018 Midterm Election Pack,Not thinking about the children in cages.
Gen Con 2018 Midterm Election Pack,Overturning Roe v. Wade.
Gen Con 2018 Midterm Election Pack,Propping up Ruth Bader Ginsburg's corpse and moving her jaw up and down.
Gen Con 2018 Midterm Election Pack,Pseudointellectual centrist bullshit.
Gen Con 2018 Midterm Election Pack,Rising to power on a wave of ethnic nationalism.
Gen Con 2018 Midterm Election Pack,Totally ineffective political satire.
