Label,prompt
Hilarious!,ACSA guidelines now prohibit ___ on aeroplanes.
Hilarious!,Alternative Medicine is now embracing the curative powers of ___.
Hilarious!,And the South African Entertainment Award for ___ goes to ___.
Hilarious!,Anthroopologists have recently discovered a primitive tribe that worships ___.
Hilarious!,Carte Blanche investegates ___.
Hilarious!,Don't bother ___ if you can't handle ___.
Hilarious!,Guys? I know I agreed to go along but now I think we have to stop ___.
Hilarious!,How am I maintaining my relationship status?
Hilarious!,I am soooo aroused! I have a large ___ in my pussy.
Hilarious!,I bet you can't have just one ___!
Hilarious!,I camouflage my tiny penis with ___.
Hilarious!,I drink to forget ___.
Hilarious!,I have a great ___ at my place. DDo you want to come over so we can ___.
Hilarious!,I know! We can blackmail the Gupta family with ___.
Hilarious!,I learned the hard way that you can't cheer up a grieving friend with ___.
Hilarious!,I wish I hadn't lost the instruction manual for ___.
Hilarious!,In KZN there are whisperings that Nkandla has a secret room devoted to ___.
Hilarious!,It's a pity that kids these days are all getting involved with ___.
Hilarious!,KykNET's new reality show features eight has-been celebrities cooking with ___.
Hilarious!,Life for the Bushmen was forever changed when the white men introduced them to ___.
Hilarious!,Life was difficult for the Bushmen before ___.
Hilarious!,Lifetime® presents ___ - the story of ___.
Hilarious!,Maybe she's born with it. Maybe it's ___.
Hilarious!,Next on SuperSport 1HD: the world championship of ___.
Hilarious!,Rumour has it that Jacob Zuma's favourite dish is ___ suffed with ___.
Hilarious!,Science will never explain the origin of ___.
Hilarious!,South African dogs smell like ___?
Hilarious!,STOP! The game ends here.
Hilarious!,Studies show that lab rats navigate mazes 50% faster after being exposed to ___.
Hilarious!,The class field trip was completely ruined by ___.
Hilarious!,The Guptas have been selling ___ to the children of Jozi.
Hilarious!,The Hawks Special Unite interrogate suspect by repeatedly subjecting them to ___.
Hilarious!,The latest Suzelle DIY video is about making ___ with only wire and ___.
Hilarious!,The Operations Executive got suspended for displaying ___.
Hilarious!,The South African Government has declared that access to ___ is a basic human right.
Hilarious!,The South African Rugby Union has banned ___ becuase it resulted in giving players an unfair advantage.
Hilarious!,The students at the University of the Western Cape have developed a more economic ___.
Hilarious!,They said that we were insane to try mixing ___ with ___. They thought wrong!
Hilarious!,This is an absolutely hilarious video. Please share it! #___
Hilarious!,Today's Special: ___ with an extra measure of ___.
Hilarious!,Today's to-do list: 1) Bake muffins. 2) Wipe off the counters. 3) Clean up that ___ stain.
Hilarious!,War! What is it good for?
Hilarious!,What are my parents hiding from me?
Hilarious!,What brought the orgy to a grinding halt?
Hilarious!,What caused my last relationship to end?
Hilarious!,What did I bring back from Zimbabwe?
Hilarious!,What does Steve Hofmeyr prefer?
Hilarious!,What don't you want to find in your Chinese food?
Hilarious!,What gets better with age?
Hilarious!,What gives you uncontrollable gas?
Hilarious!,What has been making life difficult at the nudist colony?
Hilarious!,What has been seen cannot be unssen! I just witnessed ___.
Hilarious!,What helps Julius Malema unwind?
Hilarious!,What is Pravin Gordhan's guilty pleasure?
Hilarious!,What never fails to liven up a party?
Hilarious!,What will always get you laid?
Hilarious!,What will i bring back in time to convince people I am a powerful politician?
Hilarious!,What's a girl's best friend?
Hilarious!,What's my secret power?
Hilarious!,What's Mzansi using to inspire inner city students to succeed?
Hilarious!,What's that smell?
Hilarious!,What's that sound?
Hilarious!,What's the gift that keeps on giving?
Hilarious!,What's the latest tabloid freak-of-the-week?
Hilarious!,What's the new popular diet everybody talks about?
Hilarious!,What's the next Happy Meal® toy?
Hilarious!,What's the secret ingredient in potijiekos?
Hilarious!,White people like ___.
Hilarious!,Who stole the cookies from the cookie jar?
Hilarious!,Why am I always broke?
Hilarious!,Why can't i sleep at night?
Hilarious!,Why do I feel sticky all over my body?
Hilarious!,Why do I hurt all over?
