Label,response
Hilarious!,A 15cm long dick.
Hilarious!,A balanced breakfast.
Hilarious!,A big hoopla about nothing.
Hilarious!,A bleached asshole.
Hilarious!,A box of magic dice.
Hilarious!,A brain tumor.
Hilarious!,A cheeky coloured woman.
Hilarious!,A clandestine crotch scratch.
Hilarious!,A defective condom.
Hilarious!,A disappointing birthday party.
Hilarious!,A drive-by shooting.
Hilarious!,A fetus.
Hilarious!,A foul mouth.
Hilarious!,A good sniff.
Hilarious!,A gorilla smoking a pipe.
Hilarious!,A great white shark with halitosis.
Hilarious!,A hippo in a thong.
Hilarious!,A hot mess.
Hilarious!,A human cannonball.
Hilarious!,A Leon Schuster candid camera prank.
Hilarious!,A lifetime of sadness.
Hilarious!,A mangy dog.
Hilarious!,A micropenis.
Hilarious!,A middle-aged man rollerblading in a mankini.
Hilarious!,A miniature Doberman biting the rim of your anus.
Hilarious!,A moment of silence.
Hilarious!,A moment of silence.
Hilarious!,A murder in the making.
Hilarious!,A penis horn on a unicorn.
Hilarious!,A pick-up line that works every damn time.
Hilarious!,A porn pirate's life.
Hilarious!,A prehensile tongue that is 12cm long.
Hilarious!,A proper gentleman.
Hilarious!,A racial fascist.
Hilarious!,A really cool hat.
Hilarious!,A salty surprise.
Hilarious!,A sangoma curse.
Hilarious!,A sausage festival.
Hilarious!,A sink full of pee.
Hilarious!,A snotklap.
Hilarious!,A soiled baby diaper fight.
Hilarious!,A squirt gun full of cat pee.
Hilarious!,A stray pube in your food.
Hilarious!,A Taxi-bus following road rules.
Hilarious!,A thermonuclear detonation.
Hilarious!,A time travel paradox.
Hilarious!,A very awkward voicemail.
Hilarious!,A Vuvuzela.
Hilarious!,A whale-mating display.
Hilarious!,A windmill decorated with decomposing corpses.
Hilarious!,Absobloodylutely nothing!
Hilarious!,Abusing the elderly in the old age home.
Hilarious!,Accidentally peeing a little bit when you laugh.
Hilarious!,Accidentally seeing your parents having anal sex.
Hilarious!,Actaully having a great hair day.
Hilarious!,Active listening.
Hilarious!,Actually taking candy from a baby.
Hilarious!,Addicted to antidepressants.
Hilarious!,Afrikaner Mafia.
Hilarious!,Agriculture.
Hilarious!,AIDS.
Hilarious!,Alcoholism.
Hilarious!,All-you-can-eat buffalo wings for R45.00.
Hilarious!,Altar boys.
Hilarious!,Amazing Abs.
Hilarious!,Amputees.
Hilarious!,An actor actaully having a heart attack.
Hilarious!,An adorable pet rat.
Hilarious!,An angle-grinder lobotomy.
Hilarious!,An asymmetric boob job.
Hilarious!,An erection that lasts for hours.
Hilarious!,An expanding ray.
Hilarious!,An explosively flatulent cow.
Hilarious!,An honest lawyer.
Hilarious!,An Oedipus complex.
Hilarious!,An over-sized Pit bull on steroids.
Hilarious!,An unfulfilling handjob.
Hilarious!,Anal beads.
Hilarious!,Another goddamn candid camera movie.
