Label,response
Humanity Hates the Holidays "Love" Edition,A "Happy Valentine's Day" Card from AshleyMadison.com.
Humanity Hates the Holidays "Love" Edition,A gas station teddy bear.
Humanity Hates the Holidays "Love" Edition,A peanut butter and KY Jelly sandwich.
Humanity Hates the Holidays "Love" Edition,A sex doll that just wants to be friends.
Humanity Hates the Holidays "Love" Edition,Abortion Baby Shower.
Humanity Hates the Holidays "Love" Edition,Accidentally hitching a ride on the bang bus.
Humanity Hates the Holidays "Love" Edition,Accidentally sexting your mom.
Humanity Hates the Holidays "Love" Edition,Ashley Madison & Chill.
Humanity Hates the Holidays "Love" Edition,Awkwardly confessing your love via text.
Humanity Hates the Holidays "Love" Edition,Being a sidechick on Valentine's Day.
Humanity Hates the Holidays "Love" Edition,Bleeding Dick.
Humanity Hates the Holidays "Love" Edition,Bringing your sidekick to your Valentine's Date.
Humanity Hates the Holidays "Love" Edition,Buying candy and stuffed animals on sale on February 15th.
Humanity Hates the Holidays "Love" Edition,Claiming Russell Stover™ as your Valentine.
Humanity Hates the Holidays "Love" Edition,Clown Fucking.
Humanity Hates the Holidays "Love" Edition,Congratulating someone on the results of their unprotected sex.
Humanity Hates the Holidays "Love" Edition,Convoncing your mom to Google "Lemon Party".
Humanity Hates the Holidays "Love" Edition,Dad's used fleshlight.
Humanity Hates the Holidays "Love" Edition,Dating a senior.
Humanity Hates the Holidays "Love" Edition,Designated Ugly Fat Friend.
Humanity Hates the Holidays "Love" Edition,Diaper Fetishes.
Humanity Hates the Holidays "Love" Edition,Downloading Grindr™ on Valentine's Day to "check it out".
Humanity Hates the Holidays "Love" Edition,Eating an entire box of chocolates.
Humanity Hates the Holidays "Love" Edition,Fake male orgasms.
Humanity Hates the Holidays "Love" Edition,Finding your mother's special lingerie…on your dad.
Humanity Hates the Holidays "Love" Edition,Giving out Valentine handjobs.
Humanity Hates the Holidays "Love" Edition,Gluten-free edible panties.
Humanity Hates the Holidays "Love" Edition,Grabbing her by the pussy.
Humanity Hates the Holidays "Love" Edition,Haivng sex on the display beds at Sears.
Humanity Hates the Holidays "Love" Edition,Having a surprise baby on November 14th.
Humanity Hates the Holidays "Love" Edition,Hearing your dad offer to give your mom his special cream pie.
Humanity Hates the Holidays "Love" Edition,Heat-Seeking Love Missile.
Humanity Hates the Holidays "Love" Edition,Helping someone move and finding a giant bag of sex toys.
Humanity Hates the Holidays "Love" Edition,Inappropriate Valentine's Day cards in your kid's classroom.
Humanity Hates the Holidays "Love" Edition,Jelly Bean Shits.
Humanity Hates the Holidays "Love" Edition,Jerking off to Fraggle Rock.
Humanity Hates the Holidays "Love" Edition,Leaving a sex partner so dissatisfied that you regain your virginity.
Humanity Hates the Holidays "Love" Edition,Looking at my sister's face under a blacklight.
Humanity Hates the Holidays "Love" Edition,Losing your v-card on V-Day.
Humanity Hates the Holidays "Love" Edition,Love Muscle.
Humanity Hates the Holidays "Love" Edition,Making her squirt farther than a Super Soaker™.
Humanity Hates the Holidays "Love" Edition,Milking the family snake.
Humanity Hates the Holidays "Love" Edition,Moms riding motorcycles.
Humanity Hates the Holidays "Love" Edition,Mr. Happy.
Humanity Hates the Holidays "Love" Edition,My brother's special sock.
Humanity Hates the Holidays "Love" Edition,OkCupid™.
Humanity Hates the Holidays "Love" Edition,Ordering enough Valentine's Day takeout for 2 people to avoid the delivery guy's pity.
Humanity Hates the Holidays "Love" Edition,Overindulging on gummy bears.
Humanity Hates the Holidays "Love" Edition,Panties so moist they could drown a beaver.
Humanity Hates the Holidays "Love" Edition,Placing burning cigarettes in your spouse's purse.
Humanity Hates the Holidays "Love" Edition,Practicing Cosmopolitan's 50 naughty V-Day moves.
Humanity Hates the Holidays "Love" Edition,Proposing to your sidechick accidentally.
Humanity Hates the Holidays "Love" Edition,Re-inventing what it means to "Doggy-Style".
Humanity Hates the Holidays "Love" Edition,Ripping out anal beads like you're starting a lawnmower.
Humanity Hates the Holidays "Love" Edition,Semen-flavored truffles.
Humanity Hates the Holidays "Love" Edition,Sending yourself flowers.
Humanity Hates the Holidays "Love" Edition,Seven minutes in heaven.
Humanity Hates the Holidays "Love" Edition,Single's awareness day.
Humanity Hates the Holidays "Love" Edition,Stop & Frisk Role-Playing.
Humanity Hates the Holidays "Love" Edition,Stripper's Clothes.
Humanity Hates the Holidays "Love" Edition,Surprise Anal.
Humanity Hates the Holidays "Love" Edition,Switching out Valentines for dog shit.
Humanity Hates the Holidays "Love" Edition,The desparate girl who wanted to be a mom so bad that she robbed a sperm bank.
Humanity Hates the Holidays "Love" Edition,The hospital baby swap.
Humanity Hates the Holidays "Love" Edition,The morning after pill.
Humanity Hates the Holidays "Love" Edition,Throwing rolls of pennies at strippers.
Humanity Hates the Holidays "Love" Edition,Trying to take her bra off with one hand.
Humanity Hates the Holidays "Love" Edition,Turbo thots.
Humanity Hates the Holidays "Love" Edition,Using a suicide hotline for phone sex.
Humanity Hates the Holidays "Love" Edition,Walking in on your sister using your electric toothbrush.
Humanity Hates the Holidays "Love" Edition,Whitening your teeth with Dad's help.
Humanity Hates the Holidays "Love" Edition,Your boyfriend revealing Cupid isn't the only fairy on Valentine's Day.
Humanity Hates the Holidays "Love" Edition,Your father's porn collection.
