Label,response
Humanity Hates The Holidays,A cotton headed ninny muggins.
Humanity Hates The Holidays,A fully cooked turkey as a hat.
Humanity Hates The Holidays,A gingerbread man living in a home made of his own flesh.
Humanity Hates The Holidays,A Harlem White Christmas.
Humanity Hates The Holidays,A lactating reindeer.
Humanity Hates The Holidays,A Macy's Thanksgiving Day wardrobe malfunction.
Humanity Hates The Holidays,A Muslim in the White House.
Humanity Hates The Holidays,A transgender Barbie™ doll.
Humanity Hates The Holidays,Accidentally gifting your wife's lingerie to your mom.
Humanity Hates The Holidays,Adolf Hitler singing "O Tannenbaum" in hell.
Humanity Hates The Holidays,An official Red Ryder Carbine Action Two Hundred Shot Range Model Air Rifle.
Humanity Hates The Holidays,An uncanny correlation between a family's financial situation and Santa's generosity.
Humanity Hates The Holidays,Being "touched" by an angel.
Humanity Hates The Holidays,Being a virgin and giving birth on Christmas.
Humanity Hates The Holidays,Being nice in December so you can be a douche for the rest of the year.
Humanity Hates The Holidays,Being thankful for your new friends and then giving them the gift of smallpox.
Humanity Hates The Holidays,Bill Cosby standing by the punch bowl.
Humanity Hates The Holidays,Calling it 'X-mas' just to annoy people.
Humanity Hates The Holidays,Celebrating genocide by eating turkey with friends and family.
Humanity Hates The Holidays,Chinese food and movie theater tickets.
Humanity Hates The Holidays,Christmahanakwanzika.
Humanity Hates The Holidays,Ebenezer Splooge.
Humanity Hates The Holidays,Explaining 'safety in numbers' to 6 million Jews.
Humanity Hates The Holidays,Feats of strength.
Humanity Hates The Holidays,Feeding the homeless meat pies made of their fallen brethren.
Humanity Hates The Holidays,Getting groin-tickled by Santa's white beard.
Humanity Hates The Holidays,Getting invited back to Santa's workshop.
Humanity Hates The Holidays,Getting trampled on Black Friday.
Humanity Hates The Holidays,Giving a homeless person a gingerbread house.
Humanity Hates The Holidays,Grandma pinching all four of your cheeks.
Humanity Hates The Holidays,Grandpa's Christmas sausage.
Humanity Hates The Holidays,Having dyslexia and writing a list to Satan.
Humanity Hates The Holidays,Hiding hooch around the house.
Humanity Hates The Holidays,Jared from Subway®.
Humanity Hates The Holidays,Jesus Juice.
Humanity Hates The Holidays,Jews for Jesus.
Humanity Hates The Holidays,Kristmas at the Kardashians'.
Humanity Hates The Holidays,Kristmas with the Klan.
Humanity Hates The Holidays,Leaving your child home alone to fend for himself.
Humanity Hates The Holidays,Mistaking poison oak for mistletoe.
Humanity Hates The Holidays,Mrs. Claus getting gangbanged by all of the other reindeer.
Humanity Hates The Holidays,Penis shaped cookies and "milk."
Humanity Hates The Holidays,People who wear shirts that say female body inspector.
Humanity Hates The Holidays,Plan B in your Christmas stocking.
Humanity Hates The Holidays,Playing inappropriate card games with your family.
Humanity Hates The Holidays,Putting Christ in Christmas.
Humanity Hates The Holidays,Re-gifted fruitcake.
Humanity Hates The Holidays,Reindeer semen.
Humanity Hates The Holidays,Rudolph's pent up sexual frustration.
Humanity Hates The Holidays,Santa cumming down your chimney.
Humanity Hates The Holidays,STDs: gotta catch 'em all.
Humanity Hates The Holidays,Stockings filled with Vaseline®.
Humanity Hates The Holidays,Telling kids that the Tootsie Rolls® are actually processed reindeer crap.
Humanity Hates The Holidays,That awkward family who thinks it's "cybersex Monday."
Humanity Hates The Holidays,That awkward present that vibrates in the box.
Humanity Hates The Holidays,That moment you realize the elf's workshop is really a Bangladeshi sweatshop.
Humanity Hates The Holidays,That one funny uncle with a welcoming lap who always dresses as Santa.
Humanity Hates The Holidays,The "Little Drummer Boy" switching to the rusty trombone.
Humanity Hates The Holidays,The Diary of Anne Spank: An XXX Parody.
Humanity Hates The Holidays,The disappointment of a Jewish child on the 25th.
Humanity Hates The Holidays,The Star Wars Holiday Special.
Humanity Hates The Holidays,The Ultimate Yule Log Play this card and win the round. The gift that keeps on giving.
Humanity Hates The Holidays,Unwrapping Go-Bots® because you're poor.
Humanity Hates The Holidays,Unwrapping Justin Timberlake's dick in a box.
Humanity Hates The Holidays,Using child labor to make toys for the first world.
Humanity Hates The Holidays,Vibrating stockings.
Humanity Hates The Holidays,Waking up Christmas morning to find your parents unwrapping each other.
Humanity Hates The Holidays,Wearing a belt made out of mistletoe.
Humanity Hates The Holidays,When your SJW cousin calls you insensitive because he thinks your bowl of mixed nuts is a political statement against same-sex interracial couples.
Humanity Hates The Holidays,Wondering why people celebrate Christmas when Jesus was Jewish.
Humanity Hates The Holidays,Yellow snow.
Humanity Hates The Holidays,Your family asking if you are seeing anyone yet.
Humanity Hates The Holidays,Your uncle's obvious "fuck me" eyes.
