Label,prompt
Humanity Hates Trump: Expansion Pack 1,Breaking News: CNN Reports that Donald Trump has been assassinated by _________ for his actions in/on _________.
Humanity Hates Trump: Expansion Pack 1,Disney Presents: _________ on ice!
Humanity Hates Trump: Expansion Pack 1,Donald Trump Is sometimes known by his vigilante alter ego: "_________: Destroyer of _________!"
Humanity Hates Trump: Expansion Pack 1,High school students today just don't have a good grasp of _________.
Humanity Hates Trump: Expansion Pack 1,I would build a wall around ________(s).
Humanity Hates Trump: Expansion Pack 1,In Trump tower you'll find 60 stories of _________(s) and __________(s).
Humanity Hates Trump: Expansion Pack 1,Make _________(s) great again.
Humanity Hates Trump: Expansion Pack 1,Monica Lewinsky said she won't vote for another Clinton because of __________(s).
Humanity Hates Trump: Expansion Pack 1,New studies show _________(s) causes autism.
Humanity Hates Trump: Expansion Pack 1,Next season on Celebrity Apprentice: _________.
Humanity Hates Trump: Expansion Pack 1,No more _________ at Starbucks.
Humanity Hates Trump: Expansion Pack 1,The concept of Global warming was created by _________.
Humanity Hates Trump: Expansion Pack 1,The Japanese Government has spent billions of yen researching _________.
Humanity Hates Trump: Expansion Pack 1,They kill us. I beat _________(s) all the time. All the time.
Humanity Hates Trump: Expansion Pack 1,Trump uses a mixture of ________ and _________ to hold his hair in place.
Humanity Hates Trump: Expansion Pack 1,What does Trump do for fun?
Humanity Hates Trump: Expansion Pack 1,What is the secret to winning the hunger games?
Humanity Hates Trump: Expansion Pack 1,What's better than an orgasm?
Humanity Hates Trump: Expansion Pack 1,Why has America gone downhill?
