Label,response
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,A $20 bill with Harriet Tubman's face on it.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,A really solid tuck job.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,A Very Hillary Christmas Special.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,An 80-year-old woman with her 20-year-old lover.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,An all-girl orgy comprised entirely of feminists.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Anyone but Hillary.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Arthur Weasley's muggle porn.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Asking Apple to unlock Hillary's iPhone.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bacon panties to stop rape in the Middle East.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Barbara Bush's bush.. NOT located in the Rose Garden.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Being an overweight bitch.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bill becoming First Lady.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bill Clinton in the Supreme (Food) Court.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bill Clinton's Ashley Madison account.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bill Clinton's flaccid penis.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bill Clinton's sexual assault victims.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bill Clintons love child.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bill's saxophone (only thing of Bill's that gets blown).
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Blowing the election Monica Lewinsky style.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bruce Jenner's car having tranny issues.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Bruises from "falling down some stairs".
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Calling your white friend "my nigga".
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Chelsea's first period.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Chillary.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,CNN's shocking new study that shows women aren't treated equally with men.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Congress examining your emails and finding out you're subscribed to www.muffdivers.com.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Craigslist sex ad.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Daddy loving you a little too much.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Depriving white men of the right to vote for 150 years and just seeing what happens.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Donald Trump's Presidential Seal: The bald spread eagle.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Donald Trump's worn out toupee.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Donating your breast milk for vegan consumption.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Drones hurting more innocent children than Jared from Subway.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,E.coli-infested burritos from Chipotle.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Female President on her period.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Growing up black.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Guys who take off their wedding rings before they flirt with you at a bar.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hagrid and Madame Maxime roleplay.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Having an affair with the Grand Master of the KKK.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Having unprotected sex to honor the anniversary of Roe v. Wade.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hillary Clinton telling the truth about anything.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hillary for Prison 2016.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hillary's dildo collection.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hillary's front-butt locked in a chastity belt.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Joe Biden whispering sweet nothings in your ear.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Keeping up with the Obamas.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Keeping women in their rightful place… the kitchen.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Kill Bill.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Kunte Kinte whipping and nae naeing.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Letting your step child out of the cage.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Living with the fact that you're a white person who regularly download songs from "Glee."
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Losing the 2016 election and applying for the celebrity apprentice.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Loudmouth lesbians.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Monica voting Republican because democrats left a bad taste in her mouth.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Monica: Putting the "BJ" in Bill Jefferson Clinton.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Nancy Reagan spoon feeding baby food to the Gipper.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Obama's celebrity black book.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Pro-Choice or Pro-Hanger.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Realizing halfway through a great date that you forgot to tweeze those nipple hairs.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Reminding yourself not to start a conversation about your to-do list after your mind wanders during sex.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Resting bitch face.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Saddam Hussein reenacting the Godfather with a group of Saddam Hussein lookalikes.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Shitting in the Oval Office trash can.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Sucking Wall Street's dick for 30 years.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Talking sexy social justice with Maya Angelou until your caged bird sings.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Taylor Swift's sloppy seconds.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Thawed out placenta.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,The assassination of Hillary's sex life.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,The disconcertingly placed hotel room mirror that allows you to finally know how your face looks when you poop.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,The First Presidential queef.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,The look on your boyfriend's face when he said "anal is no big deal" so you pulled out a strap-on.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,The new Special K diet: eating the box.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,The underwear sniff test.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Transgender and minority women.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Ultimate BITCH CARD
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Using April Fools as a barometer to figure out which of your friends are actually funny.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Wearing the pantsuits in your relationship.
