Label,response
JadedAid: A Card Game to Save Humanitarians,A bad blood-to-stool ratio
JadedAid: A Card Game to Save Humanitarians,A bottomless pit of need
JadedAid: A Card Game to Save Humanitarians,A career in contract compliance
JadedAid: A Card Game to Save Humanitarians,A Celebrity Deathmatch between Jeff Sachs and Bill Easterly
JadedAid: A Card Game to Save Humanitarians,A child's unwashed hands
JadedAid: A Card Game to Save Humanitarians,A fire drill in the Ronald Reagan Building
JadedAid: A Card Game to Save Humanitarians,A gift of live chickens and a stalk of plantains
JadedAid: A Card Game to Save Humanitarians,A hand job from a monkey
JadedAid: A Card Game to Save Humanitarians,A loan shark in micro lender's clothing
JadedAid: A Card Game to Save Humanitarians,A market-driven approach
JadedAid: A Card Game to Save Humanitarians,A one-way feedback loop
JadedAid: A Card Game to Save Humanitarians,A photogenic child with flies and a distended belly
JadedAid: A Card Game to Save Humanitarians,A really solid shit
JadedAid: A Card Game to Save Humanitarians,A research grant to find evidence that evidence-based research for policy makers is used by policy makers to make evidence-based policy
JadedAid: A Card Game to Save Humanitarians,A sinking boat full of brown people
JadedAid: A Card Game to Save Humanitarians,A vial of Bono's tears
JadedAid: A Card Game to Save Humanitarians,A white SUV
JadedAid: A Card Game to Save Humanitarians,A year's salary from the Shuttleworth Foundation to do whatever the fuck you want
JadedAid: A Card Game to Save Humanitarians,Actually giving a shit
JadedAid: A Card Game to Save Humanitarians,AIDS
JadedAid: A Card Game to Save Humanitarians,An educated angry African
JadedAid: A Card Game to Save Humanitarians,An external drive full of ripped TV shows
JadedAid: A Card Game to Save Humanitarians,An iPhone at the bottom of a pit latrine
JadedAid: A Card Game to Save Humanitarians,An unpronounceable acronym
JadedAid: A Card Game to Save Humanitarians,Another goddamn cookstove
JadedAid: A Card Game to Save Humanitarians,Antimalarial-induced hallucinations
JadedAid: A Card Game to Save Humanitarians,Asian ass
JadedAid: A Card Game to Save Humanitarians,Avoiding missionaries
JadedAid: A Card Game to Save Humanitarians,Ayn Rand
JadedAid: A Card Game to Save Humanitarians,Being a gay Mormon in Uganda
JadedAid: A Card Game to Save Humanitarians,Beyonic's cashless utopia
JadedAid: A Card Game to Save Humanitarians,Bicycle-powered water pumps pedaled by malnourished 8-year-olds
JadedAid: A Card Game to Save Humanitarians,Bleeding-heart humanitarianism
JadedAid: A Card Game to Save Humanitarians,Bombing in the name of freedom
JadedAid: A Card Game to Save Humanitarians,Botflies in my boxers
JadedAid: A Card Game to Save Humanitarians,Brain parasites as a behavior change methodology
JadedAid: A Card Game to Save Humanitarians,Bribes paid in M-PESA
JadedAid: A Card Game to Save Humanitarians,Bribing the local ethics review board
JadedAid: A Card Game to Save Humanitarians,Broken condoms
JadedAid: A Card Game to Save Humanitarians,Bush meat
JadedAid: A Card Game to Save Humanitarians,Carefully curating a social media presence to look cool
JadedAid: A Card Game to Save Humanitarians,China!
JadedAid: A Card Game to Save Humanitarians,Coming to terms with the fact that your intervention is the problem
JadedAid: A Card Game to Save Humanitarians,Contracting AIDS from a cute rebel leader
JadedAid: A Card Game to Save Humanitarians,Dennis Rodman diplomacy
JadedAid: A Card Game to Save Humanitarians,Diplomatic pouch privileges
JadedAid: A Card Game to Save Humanitarians,Disneyland Darfur
JadedAid: A Card Game to Save Humanitarians,Disruptive Innovation
JadedAid: A Card Game to Save Humanitarians,Ebola juices
JadedAid: A Card Game to Save Humanitarians,Emergency Sex
JadedAid: A Card Game to Save Humanitarians,Ending peace and harmony by introducing democracy and elections
JadedAid: A Card Game to Save Humanitarians,Fecal sludge
JadedAid: A Card Game to Save Humanitarians,Feeling superior to tourists for knowing how to say more than "thank you" in the local language
JadedAid: A Card Game to Save Humanitarians,George Clooney's wife
JadedAid: A Card Game to Save Humanitarians,Getting high with indigenous communities
JadedAid: A Card Game to Save Humanitarians,Getting upgraded to business class
JadedAid: A Card Game to Save Humanitarians,Getting your vibrator confiscated a the airport
JadedAid: A Card Game to Save Humanitarians,Giardia burps
JadedAid: A Card Game to Save Humanitarians,Gin o'clock
