Label,response
JadedAid: Peace Corps Expansion Pack,A conveniently timed coup d'état
JadedAid: Peace Corps Expansion Pack,A failed attempt to promote quinoa cultivation
JadedAid: Peace Corps Expansion Pack,A good old-fashioned ethnic conflict
JadedAid: Peace Corps Expansion Pack,A long-awaited care package
JadedAid: Peace Corps Expansion Pack,Adeptly dodging marriage proposals
JadedAid: Peace Corps Expansion Pack,An unathorized trip to the capital
JadedAid: Peace Corps Expansion Pack,Being mistaken for the C.I.A.
JadedAid: Peace Corps Expansion Pack,Chasing your dinner
JadedAid: Peace Corps Expansion Pack,Christmas in a Muslim country
JadedAid: Peace Corps Expansion Pack,Complaining that 50 cents spent on lunch was a rip-off
JadedAid: Peace Corps Expansion Pack,Cultural "penetration"
JadedAid: Peace Corps Expansion Pack,Deciding what to ferment next
JadedAid: Peace Corps Expansion Pack,Defining "safer sex" as casual hookups under a mosquito net
JadedAid: Peace Corps Expansion Pack,Drinking G&Ts for the quinine
JadedAid: Peace Corps Expansion Pack,Fighting communism one naïve American at a time
JadedAid: Peace Corps Expansion Pack,Having the courage to give up
JadedAid: Peace Corps Expansion Pack,Hiring a maid and justifying it as local job creation
JadedAid: Peace Corps Expansion Pack,Hooking up at pre-service training
JadedAid: Peace Corps Expansion Pack,Income generation projects that violate local labor laws
JadedAid: Peace Corps Expansion Pack,Lesbian until Close of Service
JadedAid: Peace Corps Expansion Pack,Malaria. Again.
JadedAid: Peace Corps Expansion Pack,Mastering how to covertly download porn at the internet café
JadedAid: Peace Corps Expansion Pack,Milking unusual animals
JadedAid: Peace Corps Expansion Pack,Millennium Drinking Goals
JadedAid: Peace Corps Expansion Pack,Nothing.
JadedAid: Peace Corps Expansion Pack,Peeing in a minefield
JadedAid: Peace Corps Expansion Pack,Playing the white card
JadedAid: Peace Corps Expansion Pack,Post-evacuation fellatio
JadedAid: Peace Corps Expansion Pack,Raising awareness about your awareness raising campaign
JadedAid: Peace Corps Expansion Pack,Realizing a consultant makes 4x your monthly pay in one day
JadedAid: Peace Corps Expansion Pack,Recreational Larium
JadedAid: Peace Corps Expansion Pack,Reusable menstraul products
JadedAid: Peace Corps Expansion Pack,Slaughtering a goat with a hammer and a kitchen knife
JadedAid: Peace Corps Expansion Pack,Squatting at just the right angle
JadedAid: Peace Corps Expansion Pack,Telling donors the truth
JadedAid: Peace Corps Expansion Pack,Terminating your service due to pregnancy
JadedAid: Peace Corps Expansion Pack,The cholera diet plan
JadedAid: Peace Corps Expansion Pack,The complex sounds of goats
JadedAid: Peace Corps Expansion Pack,The day it started to itch
JadedAid: Peace Corps Expansion Pack,The joy and jealousy of finding out you're not the only foreigner in town
JadedAid: Peace Corps Expansion Pack,The parasitic worm pulled from my butt
JadedAid: Peace Corps Expansion Pack,The sweet smell of burning trash
JadedAid: Peace Corps Expansion Pack,Useless language skills
JadedAid: Peace Corps Expansion Pack,White Savior Barbie
