Label,response
Jew Pack/Chosen People Pack,A big brain full of facts and sadness.
Jew Pack/Chosen People Pack,A headache that's definitely cancer.
Jew Pack/Chosen People Pack,A lifetime of internalized guilt.
Jew Pack/Chosen People Pack,A little bit of schmutz right there.
Jew Pack/Chosen People Pack,A three-foot-tall corned beef sandwich.
Jew Pack/Chosen People Pack,Bags of money.
Jew Pack/Chosen People Pack,Being chosen by God to win a free iPod Nano.
Jew Pack/Chosen People Pack,Chopping off a bit of the penis.
Jew Pack/Chosen People Pack,Demolishing that ass like a Palestinian village.
Jew Pack/Chosen People Pack,Hiding from the Nazis.
Jew Pack/Chosen People Pack,Holding up the line at Walgreens by trying to use an expired coupon.
Jew Pack/Chosen People Pack,Pork products.
Jew Pack/Chosen People Pack,Resurrecting an army of six million Jews and conquering Germany.
Jew Pack/Chosen People Pack,Sacrificing Isaac to the Lord.
Jew Pack/Chosen People Pack,Some kind of concentrated encampment for people.
Jew Pack/Chosen People Pack,Suddenly remembering that the Holocaust happened.
Jew Pack/Chosen People Pack,The blood of Christian babies.
Jew Pack/Chosen People Pack,The ethical implications of enjoying a Woody Allen film in light of the allegations against him.
Jew Pack/Chosen People Pack,The part of Anne Frank's diary where she talks about her vagina.
Jew Pack/Chosen People Pack,Thy neighbor's wife.
Jew Pack/Chosen People Pack,Torturing Jews until they say they're not Jews anymore.
Jew Pack/Chosen People Pack,Usury.
Jew Pack/Chosen People Pack,Wandering the desert for 40 years.
Jew Pack/Chosen People Pack,What it means to be a Jewish woman in contemporary society.
Jew Pack/Chosen People Pack,Whoopi Goldberg.
