Label,prompt
Kids Against Maturity,A ______ in the hand is worth two in the bush.
Kids Against Maturity,All day I dream about ______.
Kids Against Maturity,All dogs go to ______.
Kids Against Maturity,All we are saying is give ______a chance.
Kids Against Maturity,Beauty and the ______.
Kids Against Maturity,Brussel sprouts taste like ______.
Kids Against Maturity,Cat in the ______.
Kids Against Maturity,Charlie and the chocolate ______.
Kids Against Maturity,Cloudy with a chance of ______.
Kids Against Maturity,Diary of a wimpy _____.
Kids Against Maturity,Do not ______ on my parade.
Kids Against Maturity,Does a bear ______ in the woods?
Kids Against Maturity,During the family vacation I found a ______ washed up on the beach.
Kids Against Maturity,EEWWWW! There is ______ in my shoes.
Kids Against Maturity,Fast food restaurants have decided to add ______ to make kids meals healthier for kids.
Kids Against Maturity,For Halloween I dressed as ______.
Kids Against Maturity,For my birthday ______ jumped out of my cake.
Kids Against Maturity,Grandma got run over by a ______.
Kids Against Maturity,Grandpa says "When I was your age we would ______ for fun".
Kids Against Maturity,Green eggs and ______.
Kids Against Maturity,Happy Birthday to ______.
Kids Against Maturity,Harry Potter™ and the Goblet of ______.
Kids Against Maturity,Help! My dog just ______.
Kids Against Maturity,Hey everybody! I just won the ______ eating contest.
Kids Against Maturity,Hobbit's feet smell like ______.
Kids Against Maturity,How much ______ can a woodchuck chuck?
Kids Against Maturity,How much is that ______ in the window?
Kids Against Maturity,How the ______ stole Christmas.
Kids Against Maturity,Humpty Dumpty sat on ______.
Kids Against Maturity,I asked for ______ for Christmas.
Kids Against Maturity,I bumped my head so hard I woke up and thought I was ______!
Kids Against Maturity,I flushed my dead ______ down the toilet.
Kids Against Maturity,I found ______ in my cupcake.
Kids Against Maturity,I found ______ in Papa Smurf's beard.
Kids Against Maturity,I got catfished by a _______ again!
Kids Against Maturity,I got stuck in time out for _______.
Kids Against Maturity,I just built a rocket ship out of ______.
Kids Against Maturity,I like to brush my teeth with  ______.
Kids Against Maturity,I love you to the _____ and back.
Kids Against Maturity,I pledge allegiance to the ______.
Kids Against Maturity,I posted a picture of ______ and crashed the internet.
Kids Against Maturity,I sneezed so hard ______ came out my nose.
Kids Against Maturity,I spy with my little eye something _______.
Kids Against Maturity,I went to my parent's closet to look for Christmas presents only to find ______.
Kids Against Maturity,I will huff and puff and blow your ______ down.
Kids Against Maturity,If you rub a unicorn horn you will receive ______.
Kids Against Maturity,It's a bird! It's a plane! No it's ______!
Kids Against Maturity,Just a spoon full of ______ helps the medicine go down.
Kids Against Maturity,Kill two birds with one ______.
Kids Against Maturity,Lady and the ______.
Kids Against Maturity,Last night I found ______ in my bed.
Kids Against Maturity,Let's go to the movies and see ______.
Kids Against Maturity,Liar liar pants on ______.
