Label,prompt
Kids Create Absurdity,Did you hear about the new boy band? They are called _______ on the Block.
Kids Create Absurdity,Eating ______ makes me stronger.
Kids Create Absurdity,Follow the ______ brick road.
Kids Create Absurdity,Go ______ in a bucket and smell it.
Kids Create Absurdity,Got any ______? I'll trade you for it.
Kids Create Absurdity,How did these ______ get broken?
Kids Create Absurdity,I accidentally downloaded ______ onto my iPhone.
Kids Create Absurdity,I always put bacon on my ______ for breakfast.
Kids Create Absurdity,I am always embarrassed when I ______.
Kids Create Absurdity,I am going to name my new dog _______.
Kids Create Absurdity,I am going to try out for my schools ______ team.
Kids Create Absurdity,I am going to wear a ______ to prom.
Kids Create Absurdity,I am not allowed to use my computer unless I ______ first.
Kids Create Absurdity,I am totally awesome at ______.
Kids Create Absurdity,I can't believe I accidentally ______ in front of everyone at the school play.
Kids Create Absurdity,I can't believe my teacher gave me ______ to do over school vacation.
Kids Create Absurdity,I can't wait to go to Camp ______ this summer!
Kids Create Absurdity,I dropped my cellphone in the ______ and now it won't work anymore.
Kids Create Absurdity,I hope I don't ______ on the roller coaster.
Kids Create Absurdity,I jumped into the ocean and found ______.
Kids Create Absurdity,I just got some ______ stuck in my braces.
Kids Create Absurdity,I like spaghetti and ______.
Kids Create Absurdity,I like to dip my french fries in ______ and eat them.
Kids Create Absurdity,I like to fill my water ballons up with ______.
Kids Create Absurdity,I like to take pictures of ______ on my phone.
Kids Create Absurdity,I love my babysitter! She always brings us ______ when she comes over.
Kids Create Absurdity,I love the beach and the feeling of ______ between my toes.
Kids Create Absurdity,I love you to the ______ and back.
Kids Create Absurdity,I think hot dogs taste like ______.
Kids Create Absurdity,I took a selfie with ______ on the bus.
Kids Create Absurdity,I use ______ as bait when I go fishing.
Kids Create Absurdity,I was late to class and forgot my ______.
Kids Create Absurdity,I was on a hayride and ______ jumped out and scared me.
Kids Create Absurdity,I was sent to the principals office for ______.
Kids Create Absurdity,I went fishing and caught ______.
Kids Create Absurdity,I wished for ______ on my birthday last year
Kids Create Absurdity,I'm the only one of my friends without ______.
Kids Create Absurdity,Instant oatmeal. Just add ______.
Kids Create Absurdity,It's raining cats and ______.
Kids Create Absurdity,Kids Create Absurdity makes me want to ______.
Kids Create Absurdity,Last night I dreamt about _______.
Kids Create Absurdity,Look up at the sky and wish upon a _______.
Kids Create Absurdity,My babysitter says I can't have a snack until I clean up all of my _______.
Kids Create Absurdity,My best friends always pick their ______ in class.
Kids Create Absurdity,My birthday party is going to be epic because ______ is coming.
Kids Create Absurdity,My dentist always yells at me for not brushing my ______.
Kids Create Absurdity,My dogs breath smells like ______.
Kids Create Absurdity,My favorite book is about ______.
Kids Create Absurdity,My friends and I like to play hide and go ______.
Kids Create Absurdity,My imaginary friend likes to _______ when we hang out.
Kids Create Absurdity,My school bus driver smells like ______.
Kids Create Absurdity,My two favorite pizza toppings are olives and ______.
Kids Create Absurdity,Snug as a bug in a ______.
Kids Create Absurdity,The back to school list had ______ on it.
Kids Create Absurdity,The monkeys at the zoo always throw ______ at me when I walk by.
Kids Create Absurdity,The new iPhone is called iPhone ______.
Kids Create Absurdity,The new national holiday is called ______ Day.
Kids Create Absurdity,The secret password is: ______.
Kids Create Absurdity,The story of my life is ______.
Kids Create Absurdity,There's a new ______ in town.
Kids Create Absurdity,They opened up a Disney called ______.
Kids Create Absurdity,They wrote an article about me in the paper because I grew the worlds longest ______.
Kids Create Absurdity,This Halloween I am going to dress up as ______.
Kids Create Absurdity,We go together like apples and ______.
Kids Create Absurdity,We played baseball with ______.
Kids Create Absurdity,What do you get when you mix a pig and a cow?
Kids Create Absurdity,What is the one thing you don't want your parents to find in your backpack?
Kids Create Absurdity,What perfume are you wearing?
Kids Create Absurdity,What was that gross thing you found in your school lunch?
Kids Create Absurdity,What would you do for one hundred dollars?
Kids Create Absurdity,What would you give the president for a birthday gift?
Kids Create Absurdity,What's for dinner?
Kids Create Absurdity,What's that on your face?
Kids Create Absurdity,When I go to college I am going to study ______.
Kids Create Absurdity,When it snows I like to build ______.
Kids Create Absurdity,Who do you think you are?
Kids Create Absurdity,Who will be the next President?
Kids Create Absurdity,Why did the chicken cross the road?
Kids Create Absurdity,Why didn't you pass your homework in on time?
Kids Create Absurdity,Why does my breath smell so bad?
