Label,prompt
KinderPerfect: A Timeout For Parents (Kickstarter Set),Daddy's worst nightmare.
KinderPerfect: A Timeout For Parents (Kickstarter Set),How we got your little brother.
KinderPerfect: A Timeout For Parents (Kickstarter Set),I caught the kids getting into ______.
KinderPerfect: A Timeout For Parents (Kickstarter Set),I think about ______ while breastfeeding.
KinderPerfect: A Timeout For Parents (Kickstarter Set),I'm an asshole parent because ______.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Junior's favorite cock block.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Our code name for sex is ______.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Please don't put ______ in your mouth.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Signs that you are THAT family.
KinderPerfect: A Timeout For Parents (Kickstarter Set),The best birthday parties have ______.
KinderPerfect: A Timeout For Parents (Kickstarter Set),The best part of being a Stay at Home Parent is ______.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Trying to get pregnant? Try ______!
KinderPerfect: A Timeout For Parents (Kickstarter Set),We were late at school today because of ______.
KinderPerfect: A Timeout For Parents (Kickstarter Set),What is that smell?
KinderPerfect: A Timeout For Parents (Kickstarter Set),What the f**k is that?
KinderPerfect: A Timeout For Parents (Kickstarter Set),Why does daddy drink?
KinderPerfect: A Timeout For Parents (Kickstarter Set),Why is daddy in time out again?
KinderPerfect: A Timeout For Parents (Kickstarter Set),Why is mommy locked in the bathroom?
