Label,response
KinderPerfect: More Expansion Pack,A dead battery in the noisy toy
KinderPerfect: More Expansion Pack,A diaper-eating dog
KinderPerfect: More Expansion Pack,A kid's birthday party that costs more than our wedding
KinderPerfect: More Expansion Pack,A pee-free toilet seat
KinderPerfect: More Expansion Pack,A sandbox fight club
KinderPerfect: More Expansion Pack,A toddler mute button
KinderPerfect: More Expansion Pack,An everlasting iPad battery
KinderPerfect: More Expansion Pack,Asking Alexa for parenting advice
KinderPerfect: More Expansion Pack,Bedtime battles
KinderPerfect: More Expansion Pack,Bribing your kids with candy to brush their teeth
KinderPerfect: More Expansion Pack,Cleaning puke out of your cleavage
KinderPerfect: More Expansion Pack,Convincing yourself the drive-thru is a healthy dinner option
KinderPerfect: More Expansion Pack,Diaper blowouts
KinderPerfect: More Expansion Pack,Disapproving looks from childless couples
KinderPerfect: More Expansion Pack,Discussing poop with parents you've just met
KinderPerfect: More Expansion Pack,Doing snow angels on Walmart's dirty floor
KinderPerfect: More Expansion Pack,Drinking a whole bottle of wine to unwind
KinderPerfect: More Expansion Pack,Eating chocolate in the closet
KinderPerfect: More Expansion Pack,Faking a poop just to sit in silence
KinderPerfect: More Expansion Pack,Fighting over the last Girl Scout cookie
KinderPerfect: More Expansion Pack,Figuring out you could probably survive a week on the crap in your car
KinderPerfect: More Expansion Pack,Forgetting their after-school activity . . . Again
KinderPerfect: More Expansion Pack,Forgetting which twin is which
KinderPerfect: More Expansion Pack,Getting your period the one weekend your parents have the kids
KinderPerfect: More Expansion Pack,Giving in to ice cream for dinner just to quiet the kids
KinderPerfect: More Expansion Pack,Giving the sick kid Tylenol and sending them to daycare anyway
KinderPerfect: More Expansion Pack,Grocery store tantrums
KinderPerfect: More Expansion Pack,Having a favorite child
KinderPerfect: More Expansion Pack,Helping them look for their candy that you ate last night
KinderPerfect: More Expansion Pack,Knowing which kid farted by their distinct smell
KinderPerfect: More Expansion Pack,Letting your kid watch someone else read them books on YouTube
KinderPerfect: More Expansion Pack,Literally hiding from my kids
KinderPerfect: More Expansion Pack,Mixing up pajama day with picture day
KinderPerfect: More Expansion Pack,Noise canceling headphones and a bottle wine
KinderPerfect: More Expansion Pack,Not giving a sh*t while chaperoning
KinderPerfect: More Expansion Pack,Oh sh*t . . . twins!
KinderPerfect: More Expansion Pack,Packing lunches that never get eaten
KinderPerfect: More Expansion Pack,Pants with elastic wastbands
KinderPerfect: More Expansion Pack,Pee-soaked mattress
KinderPerfect: More Expansion Pack,Peeing with an audience
KinderPerfect: More Expansion Pack,Phonetically spelled hate mail from my 5 year old
KinderPerfect: More Expansion Pack,Playing hide and go poop
KinderPerfect: More Expansion Pack,Pretending we like other people's children
KinderPerfect: More Expansion Pack,Putting ketchup on literally everything
KinderPerfect: More Expansion Pack,Reading the same book over and over and over and over again
KinderPerfect: More Expansion Pack,Realizing the pre-kids you was so wrong about everything
KinderPerfect: More Expansion Pack,Redecorating with spill proof fabrics
KinderPerfect: More Expansion Pack,Running into an ex just as your kid goes full tantrum
KinderPerfect: More Expansion Pack,Saying thank you when handed a booger
KinderPerfect: More Expansion Pack,School tuition payments larger than our monthly mortgage
KinderPerfect: More Expansion Pack,Secretly looking forward to going to work on Mondays
KinderPerfect: More Expansion Pack,Sending the kid to daycare even when you have the day off
KinderPerfect: More Expansion Pack,Setting all the clocks forward an hour so they go to bed early
KinderPerfect: More Expansion Pack,Someone making millions unwrapping toys on YouTube
KinderPerfect: More Expansion Pack,Taking 3 hours to go on a 15 minute errand
KinderPerfect: More Expansion Pack,Telling my kids everything is spicy so I don't have to share
KinderPerfect: More Expansion Pack,That dumbass who parks in the drop off lane
KinderPerfect: More Expansion Pack,The constant aroma of baby vomit and explosive diarrhea
KinderPerfect: More Expansion Pack,The fight over whose farts smell the worst
KinderPerfect: More Expansion Pack,The impossible-to-find Christmas present
KinderPerfect: More Expansion Pack,The inappropriate honesty of a 5 year old
KinderPerfect: More Expansion Pack,The Man Flu
KinderPerfect: More Expansion Pack,Trying to take them to school on a Saturday
KinderPerfect: More Expansion Pack,Underwear negotiations
KinderPerfect: More Expansion Pack,Unicorn stickers everywhere
KinderPerfect: More Expansion Pack,Using a record number of wipes in a single diaper change
KinderPerfect: More Expansion Pack,Using spit as a cleaning aid
KinderPerfect: More Expansion Pack,Using your sleeve as a snot rag
KinderPerfect: More Expansion Pack,Vomit laundry
KinderPerfect: More Expansion Pack,Waiting in line for 3 hours to meet a Disney character for 3 seconds
KinderPerfect: More Expansion Pack,Watching cartoons after the kids are in bed
KinderPerfect: More Expansion Pack,Wiping another ass
