Label,prompt
KinderPerfect: Tween Expansion Pack,Graduation should put an end to ______.
KinderPerfect: Tween Expansion Pack,How you found out you're no longer the cool parent.
KinderPerfect: Tween Expansion Pack,I can't wait for my kids to outgrow _______.
KinderPerfect: Tween Expansion Pack,I'm afraid to talk to my kids about ______.
KinderPerfect: Tween Expansion Pack,No one warned me about tweens and ______.
KinderPerfect: Tween Expansion Pack,Other parents worry about ______ but I stress over _______.
KinderPerfect: Tween Expansion Pack,Parenting is all fun and games until ______.
KinderPerfect: Tween Expansion Pack,The best part of having a teenager is _______.
KinderPerfect: Tween Expansion Pack,The fastest route to parental PTSD.
KinderPerfect: Tween Expansion Pack,The fastest way to embarrass your kids is to tell their friends about ______.
KinderPerfect: Tween Expansion Pack,The real reason they don’t want to go to school today.
KinderPerfect: Tween Expansion Pack,The school counselor wants to talk to us about _______.
KinderPerfect: Tween Expansion Pack,Today's annoying attitude is brought to you by _______.
KinderPerfect: Tween Expansion Pack,Why I don't snoop in their room anymore.
KinderPerfect: Tween Expansion Pack,Why our kid is slamming doors today.
KinderPerfect: Tween Expansion Pack,Why our kids cannot have co-ed sleepovers.
KinderPerfect: Tween Expansion Pack,Why we are the meanest parents on earth.
