Label,prompt
Kiwis Against Morality,An unconsentual ______ during a game a league.
Kiwis Against Morality,Being the first country to give women the vote has resulted in ______.
Kiwis Against Morality,Brian Tamaki lustfully eyeing up ______ in the church bathrooms.
Kiwis Against Morality,Can't believe Bill English put ______ on his pizza.
Kiwis Against Morality,Chris Warner saying: "Please tell me that is not your ______."
Kiwis Against Morality,Domestic Violence is not ok! But it is okay to ask for ______.
Kiwis Against Morality,Hopeful Christians predecessor and the new head of Gloriavale. Please welcome ______.
Kiwis Against Morality,I left Hamilton because I heard about ______'s obsession with ______.
Kiwis Against Morality,I'd love to throw a dildo at the face of ______ on live TV.
Kiwis Against Morality,I'm only in these Buy and Sell pages for ______.
Kiwis Against Morality,Left ______ outside the dairy. Nekk minnit ______!
Kiwis Against Morality,Popping ______ off the Rainbow Warrior.
Kiwis Against Morality,Setting ______ on fire at the Hyde Street keg party.
Kiwis Against Morality,Sharron with the bright pink comb over just bowled in here asking to speak to ______.
Kiwis Against Morality,The worldwide conspiracy to leave NZ off of maps is a direct result of ______.
Kiwis Against Morality,The worst thing about growing up in Aotearoa is definitely ______'s ______.
Kiwis Against Morality,Throwing ______ at Steven Joyce.
Kiwis Against Morality,Turning a box of Cody's into a ______ charge.
Kiwis Against Morality,When all anyone seems interested in is that you're from the land of ______.
Kiwis Against Morality,When the ghost of your mate who died drink driving offers you _______.
Kiwis Against Morality,When Winston turns down the National party for ______.
Kiwis Against Morality,When you find ______ in the $20 family pack you bought at the fish and chip shop.
Kiwis Against Morality,Yo yo here we go ______ on the Erin Simpson show
Kiwis Against Morality,You just can't beat the Mad Butcher's ______.
