Label,prompt
Kiwis Versus Morality,Always blow on ______. Safer communities together!!
Kiwis Versus Morality,An nonconsensual ______ during a game of league.
Kiwis Versus Morality,Being the first country to give women the vote has resulted in ______.
Kiwis Versus Morality,Brian Tamaki lustfully eyeing up ______ in the church bathrooms.
Kiwis Versus Morality,Briscoe sale! 50% off of ______
Kiwis Versus Morality,Buying excessive amounts of ______ on $5 week.
Kiwis Versus Morality,Can't believe Bill English put ______ on his pizza.
Kiwis Versus Morality,Chris Warner saying: "Please tell me that is not ______."
Kiwis Versus Morality,David Farrier uncovering a secret ______ ring.
Kiwis Versus Morality,Domestic violence is not ok! But it is okay to ask for ______.
Kiwis Versus Morality,Ernest Rutherford is famous for splitting open ______.
Kiwis Versus Morality,Every Kiwi knows what comes next: Tutira mai nga iwi ______
Kiwis Versus Morality,Fair Go is finally investigating ______'s relationship with _______
Kiwis Versus Morality,Finally opening Stan Walkers 'little black box' just to find ______.
Kiwis Versus Morality,Finding ______ in your butt crack after a day at the beach.
Kiwis Versus Morality,Gapping it faster than Mark Lundy driving away from ______.
Kiwis Versus Morality,Gerry Brownlee was caught snacking on ______.
Kiwis Versus Morality,God defend ______.
Kiwis Versus Morality,Hopeful Christian's successor and the new head of Gloriavale. Please welcome ______.
Kiwis Versus Morality,Huntly is the ______ capital of New Zealand
Kiwis Versus Morality,I hate being knocked off of my surfboard by ______.
Kiwis Versus Morality,I have offered ______ as koha at this powhiri
Kiwis Versus Morality,I left Hamilton because I heard about ______'s obsession with ______.
Kiwis Versus Morality,I would suck off ______ to pay off my student loan.
Kiwis Versus Morality,I'd love to throw a dildo at the face of ______ on live TV.
Kiwis Versus Morality,I'm only in these Buy and Sell pages for _______.
Kiwis Versus Morality,In this week's My Food Bag I found ______.
Kiwis Versus Morality,It's about time we deported ______ to Australia.
Kiwis Versus Morality,Jacinda Arden moonlighted as ______ before becoming prime minister.
Kiwis Versus Morality,John Key was caught tugging ______
Kiwis Versus Morality,Kiwis love ______. That's our tucker!
Kiwis Versus Morality,Left ______ outside the dairy. Nekk minnit ______!
Kiwis Versus Morality,Lynley Dodd's new book "Hairy Maclary from ______"
Kiwis Versus Morality,Maori wouldn't have mind if Pakeha had traded blankets and muskets and ______
Kiwis Versus Morality,Meet Kieran Reid's successor to the captaincy ______.
Kiwis Versus Morality,Never shake ______.
Kiwis Versus Morality,Next up on Dancing with the Stars? ______
Kiwis Versus Morality,Popping ______ off the Rainbow Warrior.
Kiwis Versus Morality,Rotorua smells worse than ______
Kiwis Versus Morality,Setting ______ on fire at the Hyde Street keg party.
Kiwis Versus Morality,Smashing ______ right between the goalpost.
Kiwis Versus Morality,Te Papa's latest exhibit is the rare ______.
Kiwis Versus Morality,The Blues have as much chance of winning as ______ has at getting laid.
Kiwis Versus Morality,The only thing I can do in the bedroom is ______.
Kiwis Versus Morality,The only thing John Campbell truly finds MARVELLOUS is in fact ______.
Kiwis Versus Morality,The worlwide conspiracy to leave NZ off of maps is a direct result of ______.
Kiwis Versus Morality,The worst tihing about growing up in Aotearoa is definitely ______'s ______.
Kiwis Versus Morality,They've announced they'll finally be arming New Zealand police with ______.
Kiwis Versus Morality,This summer has been hotter than ______.
Kiwis Versus Morality,This week on "Good Sorts" we celebrate ______.
Kiwis Versus Morality,Throwing ______ at Steven Joyce.
Kiwis Versus Morality,Tossing _____ into the hangi pit.
Kiwis Versus Morality,What actually sunk the Rainbow Warrior was ______.
Kiwis Versus Morality,What is keeping Winston Petes alive?
Kiwis Versus Morality,When Jim the Weatherman sticks ______ in front of the camera.
Kiwis Versus Morality,When the ghost of your mate who died drink driving offers you ______.
Kiwis Versus Morality,When you find ______ in the $20 family pack you bought at the fish and chip shop.
Kiwis Versus Morality,Wouldn't it be nice if the world was ______.
Kiwis Versus Morality,Yo yo here we go on the ______ show.
Kiwis Versus Morality,You can't beat ______ on a Good Day!!
Kiwis Versus Morality,You just can't beat the Mad Butcher's ______.
