Label,prompt
Not Parent Approved Expansion Pack #1,Elect me school president and I will get rid of ______ forever!
Not Parent Approved Expansion Pack #1,Genius is one percent inspiration and ninety-nine percent ______.
Not Parent Approved Expansion Pack #1,I found a mysterious clump of Play-Doh® in the shape of ______.
Not Parent Approved Expansion Pack #1,I had a dream Wonder Woman™ and I were ______.
Not Parent Approved Expansion Pack #1,I think I might nickname myself ______.
Not Parent Approved Expansion Pack #1,I'm going to name my band ______.
Not Parent Approved Expansion Pack #1,It's a good thing I am allergic to ______.
Not Parent Approved Expansion Pack #1,Some days you wake up with an unexplainable desire for ______.
Not Parent Approved Expansion Pack #1,The day I woke uyp and realized I was too old for ______.
Not Parent Approved Expansion Pack #1,The hills are alive with the sound of ______.
Not Parent Approved Expansion Pack #1,The sweet sensation of ______.
Not Parent Approved Expansion Pack #1,What is Grandpa hiding from us?
Not Parent Approved Expansion Pack #1,Why hasn't anyone created an emoji for ______.
