Label,response
Not Parent Approved Expansion Pack #2,A dozen spiders crawling up your leg.
Not Parent Approved Expansion Pack #2,A golden ticket to Willy Wonka's Chocolate Factory.
Not Parent Approved Expansion Pack #2,A lip-synch battle to the death.
Not Parent Approved Expansion Pack #2,A one-way ticket to Mars.
Not Parent Approved Expansion Pack #2,A secret Valentine.
Not Parent Approved Expansion Pack #2,An app that instantly makes your parents stop nagging you.
Not Parent Approved Expansion Pack #2,An endless loop of Elmo singing "Elmo's World®."
Not Parent Approved Expansion Pack #2,Bad B.O. on the first day of school.
Not Parent Approved Expansion Pack #2,Being forced to clean up all the gum stuck to the bottom of a desk.
Not Parent Approved Expansion Pack #2,Bikini Bottom.
Not Parent Approved Expansion Pack #2,Breaking the world record for the longest poop known to mankind.
Not Parent Approved Expansion Pack #2,Calling shotgun.
Not Parent Approved Expansion Pack #2,Chocolate covered cockroaches.
Not Parent Approved Expansion Pack #2,Computer Engineer Barbie®.
Not Parent Approved Expansion Pack #2,Cookie dough on a cone.
Not Parent Approved Expansion Pack #2,Corn dogs.
Not Parent Approved Expansion Pack #2,Doing flips into a giant bowl of rainbow-colored cotton candy.
Not Parent Approved Expansion Pack #2,Donald Duck whispering "marshmallow."
Not Parent Approved Expansion Pack #2,Donald Trump hair.
Not Parent Approved Expansion Pack #2,Dressing up like Lady Gaga.
Not Parent Approved Expansion Pack #2,Dwayne "The Rock" Johnson.
Not Parent Approved Expansion Pack #2,Eating breakfast for dinner everyday.
Not Parent Approved Expansion Pack #2,Four hours in the mall with Mom's credit card.
Not Parent Approved Expansion Pack #2,Hacking up a loogie.
Not Parent Approved Expansion Pack #2,Hummus.
Not Parent Approved Expansion Pack #2,Jumping rope with a bunch of worms tied together.
Not Parent Approved Expansion Pack #2,Making friends with the neighbors just because they have a pool.
Not Parent Approved Expansion Pack #2,Mistaking a glue stick for Chapstick®.
Not Parent Approved Expansion Pack #2,Mistakingly waving at someone who isn't waving at you.
Not Parent Approved Expansion Pack #2,My dad taking the wrong cat for surgery.
Not Parent Approved Expansion Pack #2,My first kiss.
Not Parent Approved Expansion Pack #2,ONLY WRITING IN ALL CAPS.
Not Parent Approved Expansion Pack #2,Pickles.
Not Parent Approved Expansion Pack #2,Prank calling my dad.
Not Parent Approved Expansion Pack #2,Putting tape on your nose to make a pig snout.
Not Parent Approved Expansion Pack #2,Resenting getting kicked out of the room when Game of Thrones comes on.
Not Parent Approved Expansion Pack #2,Running around barefoot in the rain.
Not Parent Approved Expansion Pack #2,Running away with the circus.
Not Parent Approved Expansion Pack #2,Serena Williams.
Not Parent Approved Expansion Pack #2,Singing "Supercalifragilisticexpialidocious" in German.
Not Parent Approved Expansion Pack #2,Sleeping in every day.
Not Parent Approved Expansion Pack #2,Smelling someone before you see them.
Not Parent Approved Expansion Pack #2,Spam.
Not Parent Approved Expansion Pack #2,Starbucks®.
Not Parent Approved Expansion Pack #2,Sweet revenge.
Not Parent Approved Expansion Pack #2,That boring friend who stalks you everyday.
Not Parent Approved Expansion Pack #2,The dessert section in Trader Joe's®.
Not Parent Approved Expansion Pack #2,The easter bunny attacking you in your sleep.
Not Parent Approved Expansion Pack #2,The Ice Bucket Challenge.
Not Parent Approved Expansion Pack #2,The inventor of the toilet.
Not Parent Approved Expansion Pack #2,The last days of school.
Not Parent Approved Expansion Pack #2,The most painful splinter.
Not Parent Approved Expansion Pack #2,Tofurky®.
Not Parent Approved Expansion Pack #2,Waking up to Mom pulling your toes and cracking them.
Not Parent Approved Expansion Pack #2,Watching me whip and nae-nae.
Not Parent Approved Expansion Pack #2,Wearing an invisibility cloak into the principal's office.
Not Parent Approved Expansion Pack #2,Witnessing a little girl turning into an apricot.
