Label,response
Not Parent Approved,A bad hair day.
Not Parent Approved,A bad report card.
Not Parent Approved,A broken Xbox®.
Not Parent Approved,A cage filled with hairless guinea pigs.
Not Parent Approved,A carpool full of kids with bad body odor.
Not Parent Approved,A casual sprinkle of pee on the toilet seat.
Not Parent Approved,A collection of haunted action figures that come to life at night.
Not Parent Approved,A doctor with a gigantic needle.
Not Parent Approved,A fear of hieghts when climbing a rock wall.
Not Parent Approved,A head swarming with lice.
Not Parent Approved,A hockey puck to the face.
Not Parent Approved,A house of mirrors filled with creepy clowns.
Not Parent Approved,A lap full of vomit.
Not Parent Approved,A laser light show.
Not Parent Approved,A leg cast in summer.
Not Parent Approved,A million Likes on Facebook®.
Not Parent Approved,A misplaced backpack.
Not Parent Approved,A missing hamster.
Not Parent Approved,A mouth full of sea water.
Not Parent Approved,A school solo with zero applause.
Not Parent Approved,A soccer ball to the crotch.
Not Parent Approved,A specially trained robot that tortures annoying family members.
Not Parent Approved,A star on the Hollywood Walk of Fame.
Not Parent Approved,A Star Wars® backpack with matching lunch box and undies.
Not Parent Approved,A Superman™ cape.
Not Parent Approved,A talking dog.
Not Parent Approved,A week of nonstop cartoon marathons.
Not Parent Approved,A whole lotta nothing.
Not Parent Approved,Abduction by aliens.
Not Parent Approved,Accidentally dropping an iPhone® in the toilet.
Not Parent Approved,Allergies that cause your face to swell up like a balloon.
Not Parent Approved,Always losing at Hangman.
Not Parent Approved,An amateur fireworks show that ends badly.
Not Parent Approved,An army of Barbie® dolls chasing you in the night.
Not Parent Approved,An epic lack of artistic talent.
Not Parent Approved,An epic tantrum full of swear words.
Not Parent Approved,An itchy butt during a spelling bee.
Not Parent Approved,Answering my parents with a grunt.
Not Parent Approved,Apps that cost too much.
Not Parent Approved,Arcade games.
Not Parent Approved,Awkward family photos posted online.
Not Parent Approved,Barack Obama.
Not Parent Approved,Beat It by Michael Jackson.
Not Parent Approved,Becoming a Kung Fu master.
Not Parent Approved,Becoming a YouTube™ star.
Not Parent Approved,Becoming famous.
Not Parent Approved,Being a know-it-all.
Not Parent Approved,Being angry all the time.
Not Parent Approved,Being forced to take a nap.
Not Parent Approved,Being forced to watch Food Network® all night with your parents.
Not Parent Approved,Being ignored.
Not Parent Approved,Being really unprepared for Picture Day.
Not Parent Approved,Beyoncé.
Not Parent Approved,Biting your toenails.
Not Parent Approved,Boogers that slide down your throat when you sniff.
Not Parent Approved,Boogie® Boards.
Not Parent Approved,Book reports.
Not Parent Approved,Bowling.
Not Parent Approved,Break dancing.
Not Parent Approved,Breaking out in hives.
Not Parent Approved,Breaking out in song (loudly).
Not Parent Approved,Bringing sword duels back.
Not Parent Approved,Burping a whole sentence.
Not Parent Approved,Burping ballerinas dancing in your dreams.
Not Parent Approved,Butt acne.
Not Parent Approved,Cankles.
Not Parent Approved,Cartoon Network®.
Not Parent Approved,Cat hair in my quesadilla.
Not Parent Approved,Chocolate chip pancakes with happy faces in whipped cream.
Not Parent Approved,Chuck E. Cheese's®.
Not Parent Approved,Cleaning my room for the first time all year.
Not Parent Approved,Climbing a tree.
Not Parent Approved,Coaches in short shorts.
Not Parent Approved,Copying homework.
Not Parent Approved,Coughing up green phlegm.
Not Parent Approved,Craving popularity.
Not Parent Approved,Crazy monster masks.
Not Parent Approved,Crumbs from the dessert I snuck into my room last year.
Not Parent Approved,Crushing on a lunch lady.
Not Parent Approved,Crying until your eyes turn red and everyone notices.
Not Parent Approved,Cupcakes that taste like dog biscuits.
Not Parent Approved,Curse words.
Not Parent Approved,Daydreaming.
Not Parent Approved,Disney® TV stars.
Not Parent Approved,Dissecting frogs.
Not Parent Approved,Doing the Funky Chicken Dance.
Not Parent Approved,Dreaming I left the house without my underwear on.
Not Parent Approved,Drool on a pillow.
Not Parent Approved,Ear hair.
Not Parent Approved,Eating boogers.
Not Parent Approved,Eating Lucky Charms® daily.
Not Parent Approved,Emoticons.
Not Parent Approved,Endless car rides.
Not Parent Approved,Endless roller coaster lines.
Not Parent Approved,Epic explosions in inappropriate places.
Not Parent Approved,Everyone finding out that your secret wish is to be a Viking.
Not Parent Approved,Extremely tight gym shorts.
Not Parent Approved,Facebook®.
Not Parent Approved,Failing to get rid of bad karma
Not Parent Approved,Faking a fever.
Not Parent Approved,Faking good manners.
Not Parent Approved,Family vacations.
Not Parent Approved,Farts that smell like your last meal.
Not Parent Approved,Farts that stay in your pants.
Not Parent Approved,Fashion models falling on their faces on the runway.
Not Parent Approved,Fast food mystery meat.
Not Parent Approved,Finding a worm in your food.
Not Parent Approved,Finding an ancient banana under the front seat.
Not Parent Approved,Finding nasty stuff at the bottom of a borrowed sleeping bag.
