Label,response
PAX Prime 2013,A fully-dressed female videogame character.
PAX Prime 2013,A madman who lives in a policebox and kidnaps women.
PAX Prime 2013,Achieving the manual dexterity and tactical brilliance of a 12-year-old Korean boy.
PAX Prime 2013,Allowing nacho cheese to curdle in your beard while you creep in League of Legends.
PAX Prime 2013,An angry stone head that stomps on the floor every three seconds.
PAX Prime 2013,Being an attractive elf trapped in an unattractive human's body.
PAX Prime 2013,Bowser's aching heart.
PAX Prime 2013,Buying virtual clothes for a Sim family instead of real clothes for a real family.
PAX Prime 2013,Charles Barkley Shut Up and Jam!
PAX Prime 2013,Eating a pizza that's lying in the street to gain health.
PAX Prime 2013,Filling every pouch of a UtiliKilt™ with pizza.
PAX Prime 2013,Full HD.
PAX Prime 2013,Getting into a situation with an owlbear.
PAX Prime 2013,Google Glass + e-cigarette: Ultimate Combo!
PAX Prime 2013,Grand Theft Auto: Fort Lauderdale.
PAX Prime 2013,Legendary Creature - Robert Khoo.
PAX Prime 2013,Mario Kart rage.
PAX Prime 2013,Nude-modding Super Mario World.
PAX Prime 2013,Offering sexual favors for an ore and a sheep.
PAX Prime 2013,Reading the comments.
PAX Prime 2013,Rolling a D20 to save a failing marriage.
PAX Prime 2013,SNES cartridge cleaning fluid.
PAX Prime 2013,Tapping Serra Angel.
PAX Prime 2013,Temporary invincibility.
PAX Prime 2013,The boner hatch in the Iron Man suit.
PAX Prime 2013,The Cock Ring of Alacrity.
PAX Prime 2013,The collective wail of every Magic player suddenly realizing that they've spent hundreds of dollars on pieces of cardboard.
PAX Prime 2013,The decade of legal inquests following a single hour of Grand Theft Auto.
PAX Prime 2013,The gravity gun.
PAX Prime 2013,The Sarlacc.
PAX Prime 2013,Turn-of-the-century sky racists.
PAX Prime 2013,Unlocking a new sex position.
PAX Prime 2013,Winning the approval of Cooking Mama that you never got from actual mama.
PAX Prime 2013,Yoshi's huge egg-laying cloaca.
