Label,response
Period Pack,A diverse group of female friends casually discussing the side effects of birth control.
Period Pack,A woman president.
Period Pack,Always© Infinity Extra Heavy Overnight Pads with Wings.
Period Pack,An emotionally draining friendship.
Period Pack,Carrying a fetus to term.
Period Pack,Catching a whiff of my vag.
Period Pack,Dancing carefree in white linen pants.
Period Pack,Destroying a pair of underwear.
Period Pack,Drinking Beyoncé's DivaCup and becoming immortal.
Period Pack,Driving my daughter to her abortion.
Period Pack,Eating three sleeves of Chips Ahoy!
Period Pack,Feeling bloaty and crampy.
Period Pack,Feeling lots of feelings.
Period Pack,Full bush.
Period Pack,How bloody that dick's about to be.
Period Pack,Masturbating with a Sonicare.
Period Pack,Period globs.
Period Pack,Playing with my pussy while I watch TV.
Period Pack,Post-partum depression.
Period Pack,Pulling out a never-ending tampon.
Period Pack,Pussy lips of all shapes and sizes.
Period Pack,Ringing out a sopping wet maxi pad into Donald Trump's mouth.
Period Pack,The vagina hole.
Period Pack,Using a Smucker's Uncrustable™ as a maxi pad.
