Label,response
Potheads Against Sanity,Act surprised when a doctor removes a small kitchen appliance from my anus.
Potheads Against Sanity,Ask the mice in my walls to dress me like Cinderella.
Potheads Against Sanity,Bake brownies that make everyone hallucinate.
Potheads Against Sanity,Bark at the watermelon.
Potheads Against Sanity,Bitch-slap a sasy barbershop quartet.
Potheads Against Sanity,Castrate a slug.
Potheads Against Sanity,Charge a bull for my bar tab.
Potheads Against Sanity,Chastise the dog for licking itself.
Potheads Against Sanity,Check the neighbor's livestock for stool abnormalities.
Potheads Against Sanity,Cherish chewable THC candies.
Potheads Against Sanity,Chew on a friend's wart.
Potheads Against Sanity,Create a cheese that can only solidify in your crotch.
Potheads Against Sanity,Dance with a lamp shade on my privates.
Potheads Against Sanity,Dance with an imaginary bong.
Potheads Against Sanity,Dare the cat to jump over a piece of pie.
Potheads Against Sanity,Do laundry in the dishwasher.
Potheads Against Sanity,Doodle on a cheese doodle.
Potheads Against Sanity,Drink heavily while riding a unicycle.
Potheads Against Sanity,Eat a cucumber suggestively.
Potheads Against Sanity,Eat a loaded brownie.
Potheads Against Sanity,Eat nothing but condiments for 16 days.
Potheads Against Sanity,Floss your teeth with a tampon string.
Potheads Against Sanity,Fornicate with a slutty piece of furniture.
Potheads Against Sanity,Give the ol' "brown eye" an opportunity to wink.
Potheads Against Sanity,Grab his left nut to make the right one jealous.
Potheads Against Sanity,Hallucinate that I am a cartoon sponge.
Potheads Against Sanity,Hump hemp.
Potheads Against Sanity,Imagine you are a marigold.
Potheads Against Sanity,Juggle barbecue tongs.
Potheads Against Sanity,Juggle fetal pigs.
Potheads Against Sanity,Knit thermal underwaer for purcupines.
Potheads Against Sanity,Lactate.
Potheads Against Sanity,Laugh at a dish towel.
Potheads Against Sanity,Laugh at the nearest chair.
Potheads Against Sanity,Lick a frozen pole until my tongue sticks.
Potheads Against Sanity,Lick everything in sight.
Potheads Against Sanity,Lick postage stamps professionally.
Potheads Against Sanity,Lick the dog's underpants.
Potheads Against Sanity,Lisp as if my life depends on it.
Potheads Against Sanity,Make chipmunks jealous with how many nuts I can fit in my mouth.
Potheads Against Sanity,Make freshly squeezed orange juice with my firm butt cheeks.
Potheads Against Sanity,Marinate submarine sandwiches in subway station.
Potheads Against Sanity,Menstruate golf balls.
Potheads Against Sanity,Mix cement in my underpants.
Potheads Against Sanity,Moon a Prime Minister.
Potheads Against Sanity,Mow the lawn naked.
Potheads Against Sanity,Paint your ass like a clown's face.
Potheads Against Sanity,Park my car in a hammock.
Potheads Against Sanity,Passionately kiss a manhole cover.
Potheads Against Sanity,Perform a lobotomy on a head of lettuce.
Potheads Against Sanity,Perform obscene sock puppet shows.
Potheads Against Sanity,Perform Pap Smears on my stuffed-animals.
Potheads Against Sanity,Pick my best friend's nose with a chopstick.
Potheads Against Sanity,Play hide-and-seek with imaginary serial killers.
Potheads Against Sanity,Play hockey with Martians.
Potheads Against Sanity,Pour flour into an oscillating fan.
Potheads Against Sanity,Practice voodoo on a potato.
Potheads Against Sanity,Pretend I am Godzilla and stomp on doll houses.
Potheads Against Sanity,Pretend that a plate of cupcakes are your childen.
Potheads Against Sanity,Pull out my teeth with pliers.
Potheads Against Sanity,Pull the fire alarm at a library.
Potheads Against Sanity,Re-stain your patio with pig's blood.
Potheads Against Sanity,Recite my parent's wedding vows while flogging myself.
Potheads Against Sanity,Replace the mistletoe with reefer.
Potheads Against Sanity,Ride a walrus to my 10th year high school reunion.
Potheads Against Sanity,Roll a joint full of oregano.
Potheads Against Sanity,Roll around in a giant crisper drawer.
Potheads Against Sanity,Sell high-tops to hippies.
Potheads Against Sanity,Sell seashells by the seashore.
Potheads Against Sanity,Share a bong at a campfire sing-along.
Potheads Against Sanity,Shoot tube socks out of a tuba.
Potheads Against Sanity,Sit in porridge that is too hot.
Potheads Against Sanity,Ski off a kitchen table.
Potheads Against Sanity,Slice and dice an armoire into bark dust.
Potheads Against Sanity,Smoke a joint with someone double-jointed.
Potheads Against Sanity,Smoke salmon throug a bong.
Potheads Against Sanity,Squirt skim milk out of my nose after drinking 2%.
Potheads Against Sanity,Suck pudding out of everyone's orifices.
Potheads Against Sanity,Suck the blood out used bandages.
Potheads Against Sanity,Swim naked in a bathtub full of tapioca pudding.
Potheads Against Sanity,Swim the crawl stroke on a waterbed.
Potheads Against Sanity,Tattoo a green cross on my forehead.
Potheads Against Sanity,Test my stuffed animals for STDs.
Potheads Against Sanity,Testify that I am a spoon.
Potheads Against Sanity,Tottoo "THC" on your forehead.
Potheads Against Sanity,Try to run faster than popping corn.
Potheads Against Sanity,Twirl batons that are human femur bones.
Potheads Against Sanity,Urinate purple.
Potheads Against Sanity,Use dirty underwear to perform a puppet show.
Potheads Against Sanity,Use salad tongs to pleasure strangers in a soup kitchen.
Potheads Against Sanity,Use the drapes as toilet paper.
Potheads Against Sanity,Vacuum the drapes.
Potheads Against Sanity,Walk a pirate's plank into a gian bowl of gelatin.
Potheads Against Sanity,Warn the corn that the carrots are invading the crisper drawer.
Potheads Against Sanity,Wear lip gloss on my anus.
Potheads Against Sanity,Wear my grandparent's dentures to a wedding.
Potheads Against Sanity,Wear nothing but Christmas tree ornaments to a mayor's inauguration ceremony.
Potheads Against Sanity,Wear nothing but edible pasties while grocery shopping.
Potheads Against Sanity,Whistle at the bacon.
Potheads Against Sanity,Write obscenities on everyone's foreheads in caramel.
Potheads Against Sanity,Yodel with elderly potheads.
