Label,response
Reject Pack 3,A child's love of sticks.
Reject Pack 3,A man two times the size of a man half his size.
Reject Pack 3,Abandoning all concepts and categories and seeing the world as it truly is.
Reject Pack 3,Achieving total fitness and turning into a mental cube.
Reject Pack 3,Being blind but having super strength but having Alzheimer's Disease by being invisible.
Reject Pack 3,Computers.
Reject Pack 3,Fashion…  heard of if?
Reject Pack 3,Getting my mind boggled by a gang of mind bogglers.
Reject Pack 3,Letting these hoes know.
Reject Pack 3,Passing fart and making toilet.
Reject Pack 3,Running afoul of the Sultan's Janissaries.
Reject Pack 3,Struggling to swallow a live bat.
Reject Pack 3,Taking off my glasses and becoming beautiful.
Reject Pack 3,The tiny man who lives inside the ATM and hands out all the money.
Reject Pack 3,The tiny man who only eats coffee beans and diarrheas into my thermos every morning.
Reject Pack 3,Using electric eels to solve the world's energy crisis.
Reject Pack 3,You there! French boy!
