Label,response
Reject Pack,A giant squid in a wedding gown.
Reject Pack,A heart that is two sizes too small and that therefore cannot pump an adequate amount of blood.
Reject Pack,A sexy naked interactive theater thing.
Reject Pack,Asshole pomegranates that are hard to eat.
Reject Pack,Becoming so rich that you shed your body and turn to vapor.
Reject Pack,Carribbean Jesus.
Reject Pack,Corn.
Reject Pack,Crawling into a vagina.
Reject Pack,Dividing by zero.
Reject Pack,Ejaculating a pound of tinsel.
Reject Pack,Faking a jellyfish sting so someone will pee on you.
Reject Pack,Ladles.
Reject Pack,My dick in your mouth.
Reject Pack,Playing an ocarina to summon Ultra-Congress from the sea.
Reject Pack,Super yoga.
Reject Pack,The John D. and Catherine T. MacArthur Foundation.
