Label,prompt
Rotten Apples: The Tasteless Adult Party Game,All you need is ______.
Rotten Apples: The Tasteless Adult Party Game,Am I the only one to admit that I hate ______?
Rotten Apples: The Tasteless Adult Party Game,Any movie can be improved by the presence of ______.
Rotten Apples: The Tasteless Adult Party Game,Aply liberally three times a day to reduce ______.
Rotten Apples: The Tasteless Adult Party Game,Beware of Greeks bearing ______.
Rotten Apples: The Tasteless Adult Party Game,Choosey mothers choose ______.
Rotten Apples: The Tasteless Adult Party Game,Don't hate me because I'm ______.
Rotten Apples: The Tasteless Adult Party Game,Don't tease me about ______. It's a very sensitive subject.
Rotten Apples: The Tasteless Adult Party Game,Eww! Gross! ______!
Rotten Apples: The Tasteless Adult Party Game,I can never choose between ______ and ______.
Rotten Apples: The Tasteless Adult Party Game,I can't be friends with people who are interested in _______.
Rotten Apples: The Tasteless Adult Party Game,I can't believe I ate ______.
Rotten Apples: The Tasteless Adult Party Game,I got my current job through ______.
Rotten Apples: The Tasteless Adult Party Game,I had a terrible nightmare about ______ and ______.
Rotten Apples: The Tasteless Adult Party Game,I had the time of my life and I owe it all to ______.
Rotten Apples: The Tasteless Adult Party Game,I have a complicated history with ______.
Rotten Apples: The Tasteless Adult Party Game,I have a secret talent. All I can say is that it has to do with _______.
Rotten Apples: The Tasteless Adult Party Game,I just don't want my obituary to include the phrase ______.
Rotten Apples: The Tasteless Adult Party Game,I knew it would be a legendary night once ______ showed up.
Rotten Apples: The Tasteless Adult Party Game,I love the smell of _____ in the morning.
Rotten Apples: The Tasteless Adult Party Game,I use to ______ in a way that would make you blush.
Rotten Apples: The Tasteless Adult Party Game,I used to get in trouble for playing with ______.
Rotten Apples: The Tasteless Adult Party Game,I wish ______ didn't remind me of ______.
Rotten Apples: The Tasteless Adult Party Game,I wish I could give ______ to ______.
Rotten Apples: The Tasteless Adult Party Game,I would do anything for love but I won't do ______.
Rotten Apples: The Tasteless Adult Party Game,I'd love to celebrate hump day with ______.
Rotten Apples: The Tasteless Adult Party Game,I'll admit it. I'm turned on by ______.
Rotten Apples: The Tasteless Adult Party Game,I'm not ashamed of ______.
Rotten Apples: The Tasteless Adult Party Game,I'm stressing more about ______ than I am about ______ right now. It should really be the opposite.
Rotten Apples: The Tasteless Adult Party Game,I've never lost my faith in ______.
Rotten Apples: The Tasteless Adult Party Game,If I had just one wish it would be for ______.
Rotten Apples: The Tasteless Adult Party Game,If you've got ______ flaunt it.
Rotten Apples: The Tasteless Adult Party Game,It's like ______ in a round hole.
Rotten Apples: The Tasteless Adult Party Game,Job interviews: not the best place for ______.
Rotten Apples: The Tasteless Adult Party Game,Just call me by the nickname I had in high school: "______".
Rotten Apples: The Tasteless Adult Party Game,Just say no to ______.
Rotten Apples: The Tasteless Adult Party Game,Know what I saw when I peeked at my neighbors? ______.
Rotten Apples: The Tasteless Adult Party Game,Make some room in your life for ______. It'll be worth it.
Rotten Apples: The Tasteless Adult Party Game,Man cannot live on ______ alone.
Rotten Apples: The Tasteless Adult Party Game,May _____ be with you.
Rotten Apples: The Tasteless Adult Party Game,Me Tarzan. You ______.
Rotten Apples: The Tasteless Adult Party Game,My ex broke up with me because of my fondness for _______.
Rotten Apples: The Tasteless Adult Party Game,My favorite thing to eat? ______.
Rotten Apples: The Tasteless Adult Party Game,My guidance counselor told me I should focus on ______ as a carrer choice.
Rotten Apples: The Tasteless Adult Party Game,My guilty pleasure? ______
Rotten Apples: The Tasteless Adult Party Game,My ideal first date would definitely include ______.
Rotten Apples: The Tasteless Adult Party Game,My most embarrassing memory has to do with ______.
Rotten Apples: The Tasteless Adult Party Game,My partner's "fantasy night" included ______. It was amazing.
Rotten Apples: The Tasteless Adult Party Game,My therapist told me to avoid ______.
Rotten Apples: The Tasteless Adult Party Game,New franchise idea: ______vs. ______
Rotten Apples: The Tasteless Adult Party Game,No one can resist ______.
Rotten Apples: The Tasteless Adult Party Game,Nothing brings me more joy than ______.
Rotten Apples: The Tasteless Adult Party Game,Nothing is certain except ______ and ______.
Rotten Apples: The Tasteless Adult Party Game,Nothing sexier with ______.
Rotten Apples: The Tasteless Adult Party Game,Nothing spells trouble like ______.
Rotten Apples: The Tasteless Adult Party Game,Playing hard and fast with ______.
Rotten Apples: The Tasteless Adult Party Game,Studies show the average man thinks about ______ every seven seconds.
Rotten Apples: The Tasteless Adult Party Game,The best advice my parents ever gave me was about dealing with ______.
Rotten Apples: The Tasteless Adult Party Game,The Eskimos may have fifty words for "snow" but they don't have one for _______.
Rotten Apples: The Tasteless Adult Party Game,The name of the winner for Best Picture? "______".
Rotten Apples: The Tasteless Adult Party Game,The new Quentin Tarantino movie takes an unusual look at ______.
Rotten Apples: The Tasteless Adult Party Game,The only thing that makes me feel validated as a human being is _______.
Rotten Apples: The Tasteless Adult Party Game,The root of all evil? ______.
Rotten Apples: The Tasteless Adult Party Game,The worst night of my life was the night I spent with ______.
Rotten Apples: The Tasteless Adult Party Game,There are times I think I would kill for _____.
Rotten Apples: The Tasteless Adult Party Game,There's a very fine line between _____ and ______.
Rotten Apples: The Tasteless Adult Party Game,There's nothing that can’t be cured by ______.
Rotten Apples: The Tasteless Adult Party Game,They told me it aws inappropriate to talk about ______ at my kid's parent-teacher conference.
Rotten Apples: The Tasteless Adult Party Game,This place smells like ______.
Rotten Apples: The Tasteless Adult Party Game,We go together like ______ and ______.
Rotten Apples: The Tasteless Adult Party Game,We have nothing to fear but _______.
Rotten Apples: The Tasteless Adult Party Game,We'll start with ______ and end with ______.
Rotten Apples: The Tasteless Adult Party Game,What do I really believe in? ______.
Rotten Apples: The Tasteless Adult Party Game,What do I rub for good luck? ______.
Rotten Apples: The Tasteless Adult Party Game,What do I search for on the internet? ______.
Rotten Apples: The Tasteless Adult Party Game,What do I want for my birthday? My birthday suit and ______.
Rotten Apples: The Tasteless Adult Party Game,What I did on my holiday? Lots and lots of ______.
Rotten Apples: The Tasteless Adult Party Game,What makes me cry? ______.
Rotten Apples: The Tasteless Adult Party Game,When I drink I can't keep myself from ______.
Rotten Apples: The Tasteless Adult Party Game,Why is the Dalai Lama always smiling? Because he knows ______.
Rotten Apples: The Tasteless Adult Party Game,You can make any experience better by adding ______ to the mix.
Rotten Apples: The Tasteless Adult Party Game,You know what annoys me? ______
Rotten Apples: The Tasteless Adult Party Game,You scratch ______ and I'll scratch ______.
