Label,response
Science Pack,A 0.7 waist-to-hip ratio.
Science Pack,A supermassive black hole.
Science Pack,Achieving reproductive success.
Science Pack,Being knowledgeable in a narrow domain that nobody understands or cares about.
Science Pack,David Attenborough watching us mate.
Science Pack,Developing secondary sex characteristics.
Science Pack,Driving into a tornado to learn about tornadoes.
Science Pack,Electroejaculating a capuchin monkey.
Science Pack,Evolving a labyrinthine vagina.
Science Pack,Explosive decompression.
Science Pack,Failing the Turing test.
Science Pack,Fun and interesting facts about rocks.
Science Pack,Getting really worried about global warming for a few seconds.
Science Pack,Infinity.
Science Pack,Insufficient serotonin.
Science Pack,Oxytocin release via manual stimulation of the nipples.
Science Pack,Photosynthesis.
Science Pack,Reconciling quantum theory with general relativity.
Science Pack,Slowly evaporating.
Science Pack,The quiet majesty of the sea turtle.
Science Pack,The Sun engulfing the Earth.
Science Pack,Uranus.
