Label,response
Seasons Greetings Pack,A choir of angels descending from the sky and jizzing all over dad's sweater.
Seasons Greetings Pack,A frozen homeless man shattering on your doorstep.
Seasons Greetings Pack,A toxic family environment.
Seasons Greetings Pack,Another shitty year.
Seasons Greetings Pack,Elf cum.
Seasons Greetings Pack,Finding out that Santa isn't real.
Seasons Greetings Pack,Gift wrapping a live hamster.
Seasons Greetings Pack,How cool it is that I love jesus and he loves me back.
Seasons Greetings Pack,How great of a blowjob Jesus could give.
Seasons Greetings Pack,How many drinks and Deborah has had.
Seasons Greetings Pack,Is snowman that contains the soul of my dead father.
Seasons Greetings Pack,My hot cousin.
Seasons Greetings Pack,My uncle who voted for Trump.
Seasons Greetings Pack,Piece of shit Christmas card with no money in them.
Seasons Greetings Pack,Pretending to be happy.
Seasons Greetings Pack,Snow falling gently on the frozen body of an orphan boy.
Seasons Greetings Pack,Socks.
Seasons Greetings Pack,Starting to see where ISIS is coming from.
