Label,response
TableTop Pack,A disappointing season of Tabletop that's just about tables.
TableTop Pack,A German-style board game where you invade Poland.
TableTop Pack,A marriage-destroying game of The Resistance.
TableTop Pack,A Wesley Crusher blow-up doll.
TableTop Pack,A zombie with a tragic backstory.
TableTop Pack,An owlbear.
TableTop Pack,Condensing centuries of economic exploitation into 90 minutes of gaming fun.
TableTop Pack,SIX GOD DAMN HOURS OF FUCKING DIPLOMACY.
TableTop Pack,Spending 8 years in the Himalayas becoming a master of dice-rolling and resource allocation.
TableTop Pack,The pooping position.
TableTop Pack,The porn set that Tabletop is filmed on.
TableTop Pack,Victory points.
