Label,prompt
That's What She Said Game,Donald Trump is changing the name of Air Force One to ______
That's What She Said Game,I broke up with my girlfriend when she came home with a tramp stamp that said ______
That's What She Said Game,I decided not to join the gym when their personal trainer told me ______
That's What She Said Game,I felt a little unsure when the flight attendant told me ______
That's What She Said Game,I got scared when the officer tapped on my window and said ______
That's What She Said Game,I knew my relationship was doomed when I found a note on the mirror that read ______
That's What She Said Game,I overheard the sweaty repairman say to my wife ______
That's What She Said Game,I took it as a sign when my fortune cookie said ______
That's What She Said Game,I was at my girlfriend's house "studying" when her mom interrupted and disturbingly said ______
That's What She Said Game,I was surprised when I heard the shepherd say to his sheep ______
That's What She Said Game,I went in for a loan and the banker told me ______
That's What She Said Game,I would definitely give a homeless person some money if their sign said ______
That's What She Said Game,Kanye West grabbed the mic from the award winner and shouted ______
That's What She Said Game,Miss Piggy ended things with Kermit when he told her ______
