Label,response
The Catholic Card Game: Base Deck,A blinged out consecration bracelet.
The Catholic Card Game: Base Deck,A camel trying to fit through the eye of the needle.
The Catholic Card Game: Base Deck,A chatty cloistered nun.
The Catholic Card Game: Base Deck,A Christian fish tattoo.
The Catholic Card Game: Base Deck,A Church coordinator that rules with an iron fist.
The Catholic Card Game: Base Deck,A church with a broken air conditioner.
The Catholic Card Game: Base Deck,A dating fast.
The Catholic Card Game: Base Deck,A fig tree.
The Catholic Card Game: Base Deck,A friend who only prays in Latin.
The Catholic Card Game: Base Deck,A glow in the dark Rosary.
The Catholic Card Game: Base Deck,A grumpy spiritual director.
The Catholic Card Game: Base Deck,A homeschool conference.
The Catholic Card Game: Base Deck,A homily that goes on forever.
The Catholic Card Game: Base Deck,A humongous scapu;ar.
The Catholic Card Game: Base Deck,A lazy sacristan.
The Catholic Card Game: Base Deck,A Mama's boy.
The Catholic Card Game: Base Deck,A Mass themed tie for Dad.
The Catholic Card Game: Base Deck,A mom who prays to St. Jude for her child.
The Catholic Card Game: Base Deck,A nun who gives massages.
The Catholic Card Game: Base Deck,A poorly made Christian movie.
The Catholic Card Game: Base Deck,A prayer bouquet.
The Catholic Card Game: Base Deck,A private audience with the Pope.
The Catholic Card Game: Base Deck,A rich Franciscan.
The Catholic Card Game: Base Deck,A semester in Rome.
The Catholic Card Game: Base Deck,A short penance.
The Catholic Card Game: Base Deck,A silent retreat.
The Catholic Card Game: Base Deck,A spiffy new cardigan.
The Catholic Card Game: Base Deck,A super mode3st wedding dress.
The Catholic Card Game: Base Deck,A technicolor coat.
The Catholic Card Game: Base Deck,A thumbs up from St. Catherine of Siena.
The Catholic Card Game: Base Deck,A vow of poverty.
The Catholic Card Game: Base Deck,A walking Rosary.
The Catholic Card Game: Base Deck,Abrahams facial reaction learning he has to circumcies himself.
The Catholic Card Game: Base Deck,Abstinence.
The Catholic Card Game: Base Deck,Accidentally doing the Sign of the Cross before a meeting at work.
The Catholic Card Game: Base Deck,Accidentally licking the priest's thumb.
The Catholic Card Game: Base Deck,Adam and Eve's wardrobe.
The Catholic Card Game: Base Deck,Adding a new icon to the collection.
The Catholic Card Game: Base Deck,Adventures in Odyssey.
The Catholic Card Game: Base Deck,An American saint.
The Catholic Card Game: Base Deck,An ATM at the back of the church.
The Catholic Card Game: Base Deck,An energetic church band.
The Catholic Card Game: Base Deck,An extra long confession.
The Catholic Card Game: Base Deck,An incorruptable pinky toe.
The Catholic Card Game: Base Deck,An overcrowded Chapel.
The Catholic Card Game: Base Deck,Anthony Hopkins.
The Catholic Card Game: Base Deck,Arguing about when the 12 days of Christmas actually occur.
The Catholic Card Game: Base Deck,Avoiding eye contact with the person with the collection basket.
The Catholic Card Game: Base Deck,Avoiding the sick during the sign of peace.
The Catholic Card Game: Base Deck,Baby Moses floating down the Nile.
The Catholic Card Game: Base Deck,Beautiful European churches.
The Catholic Card Game: Base Deck,Being a fish during the parting of the Red Sea.
The Catholic Card Game: Base Deck,Being afraid of snakes.
The Catholic Card Game: Base Deck,Being allergic to incense.
The Catholic Card Game: Base Deck,Being devoured by lions.
The Catholic Card Game: Base Deck,Being first in line to board Noah's Ark.
The Catholic Card Game: Base Deck,Being holier than thou.
The Catholic Card Game: Base Deck,Being in 6 weddings in one year.
The Catholic Card Game: Base Deck,Being in the state of Grace.
The Catholic Card Game: Base Deck,Being jealous of those that know more Bible verses.
The Catholic Card Game: Base Deck,Being married with 11 kids.
The Catholic Card Game: Base Deck,Being named John Paul along with every other boy in the class.
The Catholic Card Game: Base Deck,Being obsessed with babies.
The Catholic Card Game: Base Deck,Being one flesh.
The Catholic Card Game: Base Deck,Being the oldest of 9.
The Catholic Card Game: Base Deck,Being the only person in the choir under 65.
The Catholic Card Game: Base Deck,Being too of the world.
The Catholic Card Game: Base Deck,Bishop Robert Barron.
The Catholic Card Game: Base Deck,Blaming Eve.
The Catholic Card Game: Base Deck,Blaring trumpets.
The Catholic Card Game: Base Deck,Blessed is She brunch.
The Catholic Card Game: Base Deck,Bob the tomato.
The Catholic Card Game: Base Deck,Braided hair.
The Catholic Card Game: Base Deck,Breathing on my friends.
The Catholic Card Game: Base Deck,Bringing  a sword to the earth.
The Catholic Card Game: Base Deck,Canonization.
The Catholic Card Game: Base Deck,Carpentry.
The Catholic Card Game: Base Deck,Casually having a wall of crucifixes as decoration.
The Catholic Card Game: Base Deck,Catholic memes.
The Catholic Card Game: Base Deck,Catholic school uniforms.
The Catholic Card Game: Base Deck,Catholic School.
The Catholic Card Game: Base Deck,CatholicMatch®
The Catholic Card Game: Base Deck,Causing scandal to pious ears.
The Catholic Card Game: Base Deck,Chalice chippers.
The Catholic Card Game: Base Deck,Chanting during Mass.
The Catholic Card Game: Base Deck,Chewing gum before Mass.
The Catholic Card Game: Base Deck,Christian rap.
The Catholic Card Game: Base Deck,Christmas and Easter Catholics.
The Catholic Card Game: Base Deck,Circumcision.
The Catholic Card Game: Base Deck,Cold baptismal water.
