Label,response
The Catholic Card Game: Five Deck Expansion Pack,A cardboard cutout of Pope St. John Paul II.
The Catholic Card Game: Five Deck Expansion Pack,A fight between a Dominican and a Franciscan.
The Catholic Card Game: Five Deck Expansion Pack,A large priest.
The Catholic Card Game: Five Deck Expansion Pack,A monotone audiobook narrator.
The Catholic Card Game: Five Deck Expansion Pack,A motivating Scripture reading.
The Catholic Card Game: Five Deck Expansion Pack,A non-Thomist Dominican.
The Catholic Card Game: Five Deck Expansion Pack,A not so special payer intention.
The Catholic Card Game: Five Deck Expansion Pack,A promising philosophy degree.
The Catholic Card Game: Five Deck Expansion Pack,A rejected marriage proposal.
The Catholic Card Game: Five Deck Expansion Pack,A sexy chastity speaker.
The Catholic Card Game: Five Deck Expansion Pack,Actualizing my potential.
The Catholic Card Game: Five Deck Expansion Pack,An "I love my priest" bumper sticker.
The Catholic Card Game: Five Deck Expansion Pack,An amateur preacher.
The Catholic Card Game: Five Deck Expansion Pack,An artisinal podcast.
The Catholic Card Game: Five Deck Expansion Pack,An empty tomb.
The Catholic Card Game: Five Deck Expansion Pack,An ongoing homily series.
The Catholic Card Game: Five Deck Expansion Pack,Anima Technica Vacua.
The Catholic Card Game: Five Deck Expansion Pack,Asking God for a sign.
The Catholic Card Game: Five Deck Expansion Pack,Avant-garde jazz.
The Catholic Card Game: Five Deck Expansion Pack,Awkwardly receiving a gift I don't want.
The Catholic Card Game: Five Deck Expansion Pack,Baby Boomers.
The Catholic Card Game: Five Deck Expansion Pack,Beefing with Catholic speakers on Twitter.
The Catholic Card Game: Five Deck Expansion Pack,Being a dumb ox.
The Catholic Card Game: Five Deck Expansion Pack,Being a sheep.
The Catholic Card Game: Five Deck Expansion Pack,Being an aspiring beekeeper.
The Catholic Card Game: Five Deck Expansion Pack,Being attacked by swine.
The Catholic Card Game: Five Deck Expansion Pack,Being awake and sober.
The Catholic Card Game: Five Deck Expansion Pack,Being brutally honest about my feelings.
The Catholic Card Game: Five Deck Expansion Pack,Being forced against my will to listen to The Crunch.
The Catholic Card Game: Five Deck Expansion Pack,Being in adoration with a loud breather.
The Catholic Card Game: Five Deck Expansion Pack,Being shirtless in the confessional again.
The Catholic Card Game: Five Deck Expansion Pack,Being single in my 30s.
The Catholic Card Game: Five Deck Expansion Pack,Being too good at prayer.
The Catholic Card Game: Five Deck Expansion Pack,Being worth many sparrows.
The Catholic Card Game: Five Deck Expansion Pack,Blaming my problems on my thyroid.
The Catholic Card Game: Five Deck Expansion Pack,Blaming Ockam.
The Catholic Card Game: Five Deck Expansion Pack,Blesed Vegemite.
The Catholic Card Game: Five Deck Expansion Pack,Buying clams at Long John Silver's during Lent.
The Catholic Card Game: Five Deck Expansion Pack,Calling Jesus my mate.
The Catholic Card Game: Five Deck Expansion Pack,Casually chatting with St. Peter and St. Paul.
The Catholic Card Game: Five Deck Expansion Pack,Cathedrals.
The Catholic Card Game: Five Deck Expansion Pack,Cathilic Twitter.
The Catholic Card Game: Five Deck Expansion Pack,Catholic adult coloring books.
The Catholic Card Game: Five Deck Expansion Pack,Catholics that cuss.
The Catholic Card Game: Five Deck Expansion Pack,Celebrating Mothering Sunday AND Mother's Day.
The Catholic Card Game: Five Deck Expansion Pack,Censoring Game of Thrones.
The Catholic Card Game: Five Deck Expansion Pack,Clever Catholic shirts.
The Catholic Card Game: Five Deck Expansion Pack,Collecting taxes.
The Catholic Card Game: Five Deck Expansion Pack,Constantly functioning on 4 hours of sleep.
The Catholic Card Game: Five Deck Expansion Pack,Contemplating predetination.
The Catholic Card Game: Five Deck Expansion Pack,Coughing loudly to let the priest know to wrap it up.
The Catholic Card Game: Five Deck Expansion Pack,Dan Brown novels.
The Catholic Card Game: Five Deck Expansion Pack,Dancing Nuns.
The Catholic Card Game: Five Deck Expansion Pack,Deliverance ministry.
The Catholic Card Game: Five Deck Expansion Pack,Disapointed Jesus.
The Catholic Card Game: Five Deck Expansion Pack,Disney taking all my money.
The Catholic Card Game: Five Deck Expansion Pack,Disturbingly European Jesus.
The Catholic Card Game: Five Deck Expansion Pack,Drawing Jesus as an anime character.
The Catholic Card Game: Five Deck Expansion Pack,Drinking coffee out of a beer stein.
The Catholic Card Game: Five Deck Expansion Pack,Dunking the baby for baptism.
The Catholic Card Game: Five Deck Expansion Pack,Eating cereal as fast as you can an hour before Mass.
The Catholic Card Game: Five Deck Expansion Pack,Encountering me.
The Catholic Card Game: Five Deck Expansion Pack,Enjoying Christian films.
The Catholic Card Game: Five Deck Expansion Pack,Evangelizing to kangaroos.
The Catholic Card Game: Five Deck Expansion Pack,Evolution.
The Catholic Card Game: Five Deck Expansion Pack,Feminist men.
The Catholic Card Game: Five Deck Expansion Pack,Flying buttresses.
The Catholic Card Game: Five Deck Expansion Pack,Frantically cleaning before a priest comes over for dinner.
The Catholic Card Game: Five Deck Expansion Pack,Frantically texting my spiritual director asking for confession ASAP.
The Catholic Card Game: Five Deck Expansion Pack,Gently tossing Michael Vorris' "hair."
The Catholic Card Game: Five Deck Expansion Pack,Getting an S.T.D.
The Catholic Card Game: Five Deck Expansion Pack,Getting into Catholic speaking for the money.
The Catholic Card Game: Five Deck Expansion Pack,Getting much fatter after Fat Tuesday.
The Catholic Card Game: Five Deck Expansion Pack,Getting that retreat high.
The Catholic Card Game: Five Deck Expansion Pack,Giving amazing advice to all my friends.
The Catholic Card Game: Five Deck Expansion Pack,Giving up The Office for Lent.
The Catholic Card Game: Five Deck Expansion Pack,Going to Mass at noon.
The Catholic Card Game: Five Deck Expansion Pack,Having a nice ash… cross.
The Catholic Card Game: Five Deck Expansion Pack,Having a painful disease in my loins.
The Catholic Card Game: Five Deck Expansion Pack,Having a pint with Aquinas.
The Catholic Card Game: Five Deck Expansion Pack,Having a stroke.
The Catholic Card Game: Five Deck Expansion Pack,Having a superior complex.
The Catholic Card Game: Five Deck Expansion Pack,Having Catholic guilt.
The Catholic Card Game: Five Deck Expansion Pack,Having priests as friends.
The Catholic Card Game: Five Deck Expansion Pack,Having the appetite of Aquinas.
The Catholic Card Game: Five Deck Expansion Pack,Having two feast days.
The Catholic Card Game: Five Deck Expansion Pack,Having ugly feet.
The Catholic Card Game: Five Deck Expansion Pack,Heretical tweets.
The Catholic Card Game: Five Deck Expansion Pack,Hiding miraculous medals in a Protestant church.
The Catholic Card Game: Five Deck Expansion Pack,Hiring murderers as religious leaders.
The Catholic Card Game: Five Deck Expansion Pack,Humble bragging.
The Catholic Card Game: Five Deck Expansion Pack,Idolatry.
The Catholic Card Game: Five Deck Expansion Pack,Jesus coming down from Heaven riding on a slide.
The Catholic Card Game: Five Deck Expansion Pack,Jesus.
