Label,response
The Catholic Card Game: Generations Expansion Pack,Being afraid of the word sex.
The Catholic Card Game: Generations Expansion Pack,Being at every daily Mass.
The Catholic Card Game: Generations Expansion Pack,Being married for 50 years.
The Catholic Card Game: Generations Expansion Pack,Being obessed with board games.
The Catholic Card Game: Generations Expansion Pack,Being raised up on eagles wings.
The Catholic Card Game: Generations Expansion Pack,Bringing my parents back to Mass.
The Catholic Card Game: Generations Expansion Pack,Calling my body a Cathedral.
The Catholic Card Game: Generations Expansion Pack,Catholic Feminism.
The Catholic Card Game: Generations Expansion Pack,Chrism smelling laundry soap.
The Catholic Card Game: Generations Expansion Pack,Clericalism.
The Catholic Card Game: Generations Expansion Pack,Complaining.
The Catholic Card Game: Generations Expansion Pack,Dancing in the forest and playing in the fields.
The Catholic Card Game: Generations Expansion Pack,Dating strictly for marriage.
The Catholic Card Game: Generations Expansion Pack,Felt Joy Joy Joy banners.
The Catholic Card Game: Generations Expansion Pack,Growing up in Catholic school and not being better for it.
The Catholic Card Game: Generations Expansion Pack,Having an eligible daughter.
The Catholic Card Game: Generations Expansion Pack,Having carpel tunnel from too many Rosaries.
The Catholic Card Game: Generations Expansion Pack,Having the Tabernacle off to the side.
The Catholic Card Game: Generations Expansion Pack,Jan from the parish office.
The Catholic Card Game: Generations Expansion Pack,Living in an old rectory with other singles.
The Catholic Card Game: Generations Expansion Pack,Not wanting the "Catholic" label.
The Catholic Card Game: Generations Expansion Pack,Overpaying for a youth ministry degree.
The Catholic Card Game: Generations Expansion Pack,Parades for Our Lady.
The Catholic Card Game: Generations Expansion Pack,Playing irrelevant songs at Christmas Mass.
The Catholic Card Game: Generations Expansion Pack,Praying with my hands in the air (like I just don't care).
The Catholic Card Game: Generations Expansion Pack,Singing Salve Regina as a lullaby.
The Catholic Card Game: Generations Expansion Pack,Sitting at the end of the pew so late people can't get in.
The Catholic Card Game: Generations Expansion Pack,Starting another apostolate.
The Catholic Card Game: Generations Expansion Pack,Starting fights with other Catholics.
The Catholic Card Game: Generations Expansion Pack,Starting the collection during the Consecration.
The Catholic Card Game: Generations Expansion Pack,Taking liberties in the liturgy.
The Catholic Card Game: Generations Expansion Pack,Televangelists.
The Catholic Card Game: Generations Expansion Pack,The forgettable Gen Xers.
The Catholic Card Game: Generations Expansion Pack,The incredible lack of eligible men.
The Catholic Card Game: Generations Expansion Pack,The sacristan that knows where everything is.
The Catholic Card Game: Generations Expansion Pack,Thiniking the Latin Mass is outdated.
The Catholic Card Game: Generations Expansion Pack,Thinking I am so profound.
The Catholic Card Game: Generations Expansion Pack,Thinking the Novus Ordo is invalid.
The Catholic Card Game: Generations Expansion Pack,Traveling to Jerusalem.
The Catholic Card Game: Generations Expansion Pack,Vlogging.
The Catholic Card Game: Generations Expansion Pack,Watching the Mass on TV.
The Catholic Card Game: Generations Expansion Pack,Yoga to the Sorrowful Mysteries.
