Label,response
The Catholic Card Game: Life Teen Expansion Pack,A not so special prayer intention.
The Catholic Card Game: Life Teen Expansion Pack,Accidentally drinking holy water.
The Catholic Card Game: Life Teen Expansion Pack,Awkward silence in small groups.
The Catholic Card Game: Life Teen Expansion Pack,Baking a little cake.
The Catholic Card Game: Life Teen Expansion Pack,Being overwhelmed by all the devotions I should have.
The Catholic Card Game: Life Teen Expansion Pack,Being superior for not going to public school.
The Catholic Card Game: Life Teen Expansion Pack,Being the smartest kid in the youth group.
The Catholic Card Game: Life Teen Expansion Pack,Camping retreats in the wilderness.
The Catholic Card Game: Life Teen Expansion Pack,Catholic pickup lines.
The Catholic Card Game: Life Teen Expansion Pack,Chanting "I love Jesus yes I do."
The Catholic Card Game: Life Teen Expansion Pack,Choosing my confirmation Saint on a whim.
The Catholic Card Game: Life Teen Expansion Pack,Clothespins.
The Catholic Card Game: Life Teen Expansion Pack,Conga lines at conferences.
The Catholic Card Game: Life Teen Expansion Pack,Dating Jesus.
The Catholic Card Game: Life Teen Expansion Pack,Feeling weak after a haircut.
The Catholic Card Game: Life Teen Expansion Pack,Going to adoration for a first date.
The Catholic Card Game: Life Teen Expansion Pack,Going to youth group to see my crush.
The Catholic Card Game: Life Teen Expansion Pack,Having a dove for a pet.
The Catholic Card Game: Life Teen Expansion Pack,Having wet hair at Mass.
The Catholic Card Game: Life Teen Expansion Pack,Lazarus' morning breath.
The Catholic Card Game: Life Teen Expansion Pack,Looking for any excuse to show off my guitar skills.
The Catholic Card Game: Life Teen Expansion Pack,Looking good for Jesus.
The Catholic Card Game: Life Teen Expansion Pack,Loving my enemies.
The Catholic Card Game: Life Teen Expansion Pack,Matching youth group t-shirts.
The Catholic Card Game: Life Teen Expansion Pack,Mischievous altar servers.
The Catholic Card Game: Life Teen Expansion Pack,My lifeguard walks on water.
The Catholic Card Game: Life Teen Expansion Pack,My stomach growling in adoration.
The Catholic Card Game: Life Teen Expansion Pack,NCYC hats.
The Catholic Card Game: Life Teen Expansion Pack,Needing grace upon grace.
The Catholic Card Game: Life Teen Expansion Pack,No purple!
The Catholic Card Game: Life Teen Expansion Pack,Not having silly talk.
The Catholic Card Game: Life Teen Expansion Pack,Offering my second fruits.
The Catholic Card Game: Life Teen Expansion Pack,Only listening to Christian music.
The Catholic Card Game: Life Teen Expansion Pack,Pixie Sticks and Soda.
The Catholic Card Game: Life Teen Expansion Pack,Popping my knuckles when it suddenly gets quiet at church.
The Catholic Card Game: Life Teen Expansion Pack,Putting my leftovers in wicker baskets.
The Catholic Card Game: Life Teen Expansion Pack,Saturday night at a Steubenville Conference.
The Catholic Card Game: Life Teen Expansion Pack,Speed praying to be done faster.
The Catholic Card Game: Life Teen Expansion Pack,St. Therese of Lisieux.
The Catholic Card Game: Life Teen Expansion Pack,Talking about who among us is greatest.
The Catholic Card Game: Life Teen Expansion Pack,The bus breaking down on the way to retreat.
The Catholic Card Game: Life Teen Expansion Pack,The Cross Clap.
The Catholic Card Game: Life Teen Expansion Pack,The Vatican flag emoji.
The Catholic Card Game: Life Teen Expansion Pack,Watching people's shoes pass by during Communion.
The Catholic Card Game: Life Teen Expansion Pack,Women's sessions.
