Label,prompt
The Game Without Decency,An abundance of ______ is always the first sign of spring.
The Game Without Decency,Aunt Mary bored us for hours by showing us hundreds of photos of ______.
The Game Without Decency,Baseball's new drug scandal involves players hopped up on _______.
The Game Without Decency,Beware of Greeks bearing ______.
The Game Without Decency,Bobby was suspended from high school when they found ______ in his locker.
The Game Without Decency,Can you explain why we found ______ under your pillow?
The Game Without Decency,Can you help me understand the connection between ______ and ______?
The Game Without Decency,Can you pass the ______ to _______ already?
The Game Without Decency,Can you please help me find my ______?
The Game Without Decency,Can you tell me the best way to bring ______ to the masses?
The Game Without Decency,Can you tell me why the local nuns have been seen buying up ______?
The Game Without Decency,College kids have a new party game named after ______ where they huff ______.
The Game Without Decency,Congress introduced the 30th Amendment guaranteeing every American the right to ______.
The Game Without Decency,Did you even know that ______ invented ______?
The Game Without Decency,Did you see the last episode of Hoarders? ______ had the biggest collection of ______ I ever saw!
The Game Without Decency,Don't talk to me in the morning until I have my first cup of ______.
The Game Without Decency,Every night I say a little prayer for ______ on Earth.
The Game Without Decency,Everyone loved the erotic cake until it was revealed it was modeled on ______.
The Game Without Decency,Forget chocolate and peanut butter… try ______ and peanut butter instead!
The Game Without Decency,Grandma's homemade ______s are the best of all.
The Game Without Decency,I am fairly certain that ______ is not gluten free.
The Game Without Decency,I am storing all the ______ I can for the inevitable apocalypse.
The Game Without Decency,I can survive being stranded on a deserted island as long as I have ______.
The Game Without Decency,I cannot believe that middle school students regularly use _____ behind the school.
The Game Without Decency,I don't know where you go the idea that ______ would be effective birth control.
The Game Without Decency,I knew having both ______ and ______ at the party was a bad idea!
The Game Without Decency,I lost my virginity to ______ who seduced me with ______.
The Game Without Decency,I never knew ______ was an Olympic sport or that ______ was a champion in it.
The Game Without Decency,I think it's time we leave ______ in the past where it belongs.
The Game Without Decency,I think they are running out of superheroes now that they've introduced the Human ______.
The Game Without Decency,I was so excited to receive a box of ______ in the mail.
The Game Without Decency,I wish my mom would stop bragging about losing her virginity to ______.
The Game Without Decency,I'm bored reading ______'s weekly blog about ______.
The Game Without Decency,Imagine the surprise when future generations open the time capsule and find _______!
The Game Without Decency,Is it any wonder that people started googling ______ and ______?
The Game Without Decency,Is it really art? A sculpture of ______ made from ______!
The Game Without Decency,It was ______ in the library with the ______.
The Game Without Decency,It's been five years but no one in the family will talk about the ______incident.
The Game Without Decency,Kids were horrified to learn that their teddy bears were actually stuffed with ______.
The Game Without Decency,Last night I had the oddest dream about ______ and ______.
The Game Without Decency,Magic Time! Watch me turn ______ into ______!
The Game Without Decency,Many questioned the Smithsonian's decision to feature an exhibit devoted to ______.
The Game Without Decency,Martha Stewart always says that you can never have enough ______ around the house.
The Game Without Decency,Mom always told me to beware of ______ because they often lead to ______.
The Game Without Decency,Movie executives decided the next buddy cop franchise should pair ______ with ______.
The Game Without Decency,My favorite biblical story is when Jesus shares ______ with the crowd.
The Game Without Decency,My new startup features overnight delivery of ______.
The Game Without Decency,My perfet night at home starts with ______ and leads to ______.
The Game Without Decency,My sister's memoir will no doubt be called "A Life of ______."
The Game Without Decency,Nights aren't so lonely when you spent them snuggling with _______.
The Game Without Decency,No one cared about ______ until ______ was seen around town with it.
The Game Without Decency,Not a big fan of that new ______-flavored ice cream.
The Game Without Decency,Not a good idea to do a science project on the effect of ______ on frogs.
The Game Without Decency,Only ______ looks good modeling ______.
The Game Without Decency,So many people forget to bring ______ when they camp out in the woods.
The Game Without Decency,Susie got a tummy ache from eating too much ______.
The Game Without Decency,Thankfully TSA now allows ______ to be carried on to planes.
The Game Without Decency,The Amish don't need electricity as long as they have ______ and ______.
The Game Without Decency,The award for best ______ goes to ______.
The Game Without Decency,The award-winning documentary on ______captivated us all.
The Game Without Decency,The Chinese cannot get enough of importing American _______.
The Game Without Decency,The Christmas tree looked so much better with _______ perched on top.
The Game Without Decency,The dating site found my perfect mate based on our shared love of ______.
The Game Without Decency,The ER could not belive they had to remove ______ from ______'s rectum.
The Game Without Decency,The family reunion got awkward when we brought up grandma's love of ______.
The Game Without Decency,The magazine cover featured ______ as well as ______.
The Game Without Decency,The most controversial Super Bowl ad last year featured ______ and ______.
The Game Without Decency,The most popular Instagram post of the month was ______ covered in ______.
The Game Without Decency,The newest reality TV star amazed everyone by making a sculpture of ______ out of ______.
The Game Without Decency,The newest scientific discipline is the study of ______.
The Game Without Decency,The police arrested ______ for illegal use of ______.
The Game Without Decency,The secret ingredient in ______'s award-winning chili is adding ______.
The Game Without Decency,The top-selling item on Etsy is ______ made to look like ______.
The Game Without Decency,There's currently an online auction to buy the world's largest collection of ______.
The Game Without Decency,They finally released the long-lost book "Harry Potter and the Tomb of ______"
The Game Without Decency,This year I decided to give up ______ for Lent.
The Game Without Decency,We eased tensions with Russia by sending them ______.
The Game Without Decency,Weird Al parodied ______ by singing about ______.
The Game Without Decency,Wes Anderson's new movie is a whimsical look at ______ starring ______.
The Game Without Decency,What a weak of vacation! All I did was relax at the beach with a big pile of _______.
The Game Without Decency,When did sharing ______ become a Thanksgiving tradition?
The Game Without Decency,Who knew that ______ was really just a collection of ______?
The Game Without Decency,Who knew there'd be so much ______ in the movie about the life of ______.
The Game Without Decency,Why does ______ keep telling kids ______ is a basic food group?
The Game Without Decency,You should never expect to use ______ until at least the third date.
The Game Without Decency,Your cousin was just arrested for trying to smuggle ______ into the country inside her genitalia.
The Game Without Decency,Your dad was extremely embarrassed to be caught with ______.
