Label,response
The Worst Card Game: 2016 National Edition,A bathtub full of Jared from Subway's lost fat that he used as lube with underage girls. (I'm sorry.)
The Worst Card Game: 2016 National Edition,A cat named Magic beating feline AIDS.
The Worst Card Game: 2016 National Edition,A concetration camp counsellor.
The Worst Card Game: 2016 National Edition,A dick made out of hot sauce.
The Worst Card Game: 2016 National Edition,A dick so old it cums dust.
The Worst Card Game: 2016 National Edition,A flask that doubles as a dildo so your alcoholism can finally finish fucking you.
The Worst Card Game: 2016 National Edition,A fun-filled suicide pact.
The Worst Card Game: 2016 National Edition,A lady in a wheelchair racing a Slinky® down a staircase.
The Worst Card Game: 2016 National Edition,A lubed up butthole that sings like James Taylor instead of farting.
The Worst Card Game: 2016 National Edition,A magical horse with a horn that you fuck called a Screwnicorn.
The Worst Card Game: 2016 National Edition,A mommy blogger seconds away from drowning her children in the bathtub.
The Worst Card Game: 2016 National Edition,A mouth full of soft dick.
The Worst Card Game: 2016 National Edition,A new assault rifle called the JFK-47.
The Worst Card Game: 2016 National Edition,A tanning bed that makes you racist.
The Worst Card Game: 2016 National Edition,A wilderness survivalist who sucks his own dick for protein.
The Worst Card Game: 2016 National Edition,Adding a landing strip to your ass.
The Worst Card Game: 2016 National Edition,Aggressively maintaining eye contact with my gynocologist.
The Worst Card Game: 2016 National Edition,Airbnb but for people who need to shit.
The Worst Card Game: 2016 National Edition,American't.
The Worst Card Game: 2016 National Edition,An abused circus elephant named Donald Trunk.
The Worst Card Game: 2016 National Edition,An awkward father daughter dance boner.
The Worst Card Game: 2016 National Edition,An NRA member blowing a gun through a glory hole.
The Worst Card Game: 2016 National Edition,Being racist only towards those pesky Native Americans.
The Worst Card Game: 2016 National Edition,Bigfoot's underwhelming penis.
The Worst Card Game: 2016 National Edition,Breast implants made from crumpled newspaper.
The Worst Card Game: 2016 National Edition,Captain Sandy Hook (a bunch of dead children dressed in a trench coat trying to pass as a sea captain).
The Worst Card Game: 2016 National Edition,Clearing Eric Clapton's son off of the sidewalk.
The Worst Card Game: 2016 National Edition,Clitoral paper cuts.
The Worst Card Game: 2016 National Edition,Colonic chronic: Poo that gets you high.
The Worst Card Game: 2016 National Edition,Covering up the tattoo of a past lover with a c-setion scar.
The Worst Card Game: 2016 National Edition,Dick tears.
