Label,response
The Worst Card Game: Colorado Edition,A forest fire that finally destroys that finally destroys Colorado Springs.
The Worst Card Game: Colorado Edition,A group of nuns on Ecstasy finger blasting themselves outside of The Church.
The Worst Card Game: Colorado Edition,A redneck finding out the hard way The Wrangler isn't a jeans store.
The Worst Card Game: Colorado Edition,A vagina that tastes like the bathroom floors at Tom's Diner.
The Worst Card Game: Colorado Edition,Accidentally showing your homemade porno at Film on the Rocks.
The Worst Card Game: Colorado Edition,American Furniture Whorehouse.
The Worst Card Game: Colorado Edition,An asshole with dreadlocks.
The Worst Card Game: Colorado Edition,An atheist going to Garden of the Gods.
The Worst Card Game: Colorado Edition,Assuming anything with "Rocky Mountain" in the name is made with bull balls.
The Worst Card Game: Colorado Edition,Blucifer? I barely know'cifer!
The Worst Card Game: Colorado Edition,Breaking out your winter mirkin.
The Worst Card Game: Colorado Edition,Cheesman Park: where you can bury a bone AND uncover one.
The Worst Card Game: Colorado Edition,Confusing Denver Health with a dispensary.
The Worst Card Game: Colorado Edition,Denver turning down the Olympics so that it could focus on its band.
The Worst Card Game: Colorado Edition,Drunk Frank Azar trying to show you his "Strong Arm" again.
The Worst Card Game: Colorado Edition,Electing Snoop Dogg as District Comptroller of the Cannabis Cup.
The Worst Card Game: Colorado Edition,Farting on the MallRide.
The Worst Card Game: Colorado Edition,Getting fisted at First Friday.
The Worst Card Game: Colorado Edition,Getting in trouble for referring to your wife as "Kegs and Eggs."
The Worst Card Game: Colorado Edition,Getting the first bloody diarrhea at the first Chipotle®.
The Worst Card Game: Colorado Edition,Getting your period in the hallway at The Stanley Hotel aftr drinking too much rum.
The Worst Card Game: Colorado Edition,Giving your kid a B-Cycle™ for Christmas.
The Worst Card Game: Colorado Edition,Going to the Bluebird to see indie rock band Nippless Cage.
The Worst Card Game: Colorado Edition,Hate fucking a Subaru™.
The Worst Card Game: Colorado Edition,Having your favorite chilldhood memory replaced by a mixed-use condo.
The Worst Card Game: Colorado Edition,Hotboxing the Balloon Boy.
The Worst Card Game: Colorado Edition,Jenga® made with breakfast burritos.
The Worst Card Game: Colorado Edition,Jizz in the Park.
The Worst Card Game: Colorado Edition,John Elway and Peyton Manning's huge headed love child.
The Worst Card Game: Colorado Edition,John Elway's football shaped cock.
The Worst Card Game: Colorado Edition,Leaving a trail of crushed Dale's Pale Ale cans when hiking to find your way back home.
The Worst Card Game: Colorado Edition,Letting Patrick Roy hit your wife because you're SUCH A HUGE FAN.
The Worst Card Game: Colorado Edition,Mistaking the Zombie Crawl for a homeless uprising.
The Worst Card Game: Colorado Edition,North Commerce City After Dark.
The Worst Card Game: Colorado Edition,Ordering the 7lb Jack-n-Grill burrito because you miss your dead baby.
The Worst Card Game: Colorado Edition,Organizing a pedal bar event for the handicapped.
The Worst Card Game: Colorado Edition,Panning for gold in Aurora (robbing your neighbor's house).
The Worst Card Game: Colorado Edition,Playing the pianos on the 16th St Mall with your genitals.
The Worst Card Game: Colorado Edition,Pueblo: Colorado's grundle.
The Worst Card Game: Colorado Edition,Punch Bowl Social®: where Tinder comes to life.
The Worst Card Game: Colorado Edition,Realizing Colorado natives were actually the Native Americans.
The Worst Card Game: Colorado Edition,Remembering Chubby's when it was flaccid.
The Worst Card Game: Colorado Edition,Serving jail time for making eight-year-olds reenact THAT South Park episode.
The Worst Card Game: Colorado Edition,Shannon Shart Adult Diapers™.
The Worst Card Game: Colorado Edition,Stringing piano wire across a street right before the Denver Cruisers turn the corner.
The Worst Card Game: Colorado Edition,Taking dick pics at Tiny Town so it looks HUGE.
The Worst Card Game: Colorado Edition,Taking the kids to Lakeside because you don't love them anymore.
The Worst Card Game: Colorado Edition,That unmistakable Colfax itch.
The Worst Card Game: Colorado Edition,The 3 Jamaicans at Reggae on the Rocks.
The Worst Card Game: Colorado Edition,The Brown Palace: A place and a rich guy sex move!
The Worst Card Game: Colorado Edition,The Denver Satanic Gardens.
The Worst Card Game: Colorado Edition,The DIA Devil Horse having a field day with your butt.
The Worst Card Game: Colorado Edition,The only black guy in Aspen.
The Worst Card Game: Colorado Edition,The Ryan Gosling of Commerce City.
The Worst Card Game: Colorado Edition,The Underground Railroad.
The Worst Card Game: Colorado Edition,The unshaved undercarriage of a Boulder Trustafarian.
The Worst Card Game: Colorado Edition,The XXX Games.
The Worst Card Game: Colorado Edition,Tim Tebow's Reign of Christian Terror.
The Worst Card Game: Colorado Edition,Tour de Fat bottom girls.
The Worst Card Game: Colorado Edition,Water World's Thunder Bay Wave Pool filled with jizz and tears.
The Worst Card Game: Colorado Edition,Whispering "Green chile is people!"
