Label,prompt
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Affordable healthcare's not the answer.  Only _____ can end America's opioid epidemic.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,No populist uprising is complete until a 60-year-old waitress has to start a GoFundMe.com campaign every time she needs _____.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,President Trump says the U.S. needs "a good 'shutdown' in September to fix mess."  Your survival kit should include: _____.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,President Trump's most strenuous form of exercise?  _____.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,What helped Japanese Prime Minister Shinzo Abe recover from the Mother of All Handshakes?
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Affordable healthcare's not the answer.  Only _____ can end America's opioid epidemic.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,No populist uprising is complete until a 60-year-old waitress has to start a GoFundMe.com campaign every time she needs _____.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,President Trump says the U.S. needs "a good 'shutdown' in September to fix mess."  Your survival kit should include: _____.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,President Trump's most strenuous form of exercise?  _____.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,What helped Japanese Prime Minister Shinzo Abe recover from the Mother of All Handshakes?
