Label,response
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A "Get Well Soon!" balloon from Paul Ryan.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A "Trump Teens Pedicure Sundae."
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A firm but caring spanking from Ben Carson.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A great relationship with the whites.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A larger-than-average Quarter Pounder.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A Learning Annex class on reversing the aging process.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A map of Trump's electoral victory.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A mini-Bible with only the best Psalms.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A Mylar emergency blanket that isn't so comfortable it kills your initiative.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A photograph of Jared Kushner in a lab coat.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A scented candle that smells like Sean Spicer in a bunny suit.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A second opinion on General Michael Flynn.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A vision board filled with Eric Trump's wisest quotes on hotel management and killing leopards.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,A YouTube clip of Sean Hannity explaining how good he is at karate.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Affordable heroin.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Airport screenings for pre-existing Muslims.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,An extra scoop of ice cream.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Beating Melania down the steps of Air Force 1.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Bill O'Reilly's children's book.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Butt-plumping cream.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Coal wheat bread.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Dawn immigration raids.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Deporting moms.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Fluffy Air Force 1 hand towels.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,For-profit mass incarceration.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Fried Big Bird.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Golfing in high heels.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Grabbing Angela Merkel by the hand.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Heavily regulated vaginas.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Inadvertent eye contact with Rex Tillerson.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Relaxed-fit golf pants.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Replacing healthy school lunches with a well-done steak and ketchup.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Sean Spicer's thoughts on Hitler.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Sitting in a big-boy truck!
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Snapchat dog face filters.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Surplus Russian vodka.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,The hair-trap in Steve Bannon's bathtub.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,The Pentagon's massive stockpile of Viagra.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,The spare keys to Kanye West's bomb shelter.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,The West Wing Glory Hole.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Unprotected lunch with Mike Pence.
Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Untreated urinary tract infections.
