Label,response
Trumped UpCards: Many Sides  Expansion Pack,A 15-yard penalty for excessive sue of the First Amendment.
Trumped UpCards: Many Sides  Expansion Pack,A fancy as fuck military parade.
Trumped UpCards: Many Sides  Expansion Pack,A giant inflatable chicken.
Trumped UpCards: Many Sides  Expansion Pack,A horse named Sassy.
Trumped UpCards: Many Sides  Expansion Pack,A hurricane with much bigger crowds than Obama's hurricanes.
Trumped UpCards: Many Sides  Expansion Pack,A little bit of tongue.
Trumped UpCards: Many Sides  Expansion Pack,A massive FEMA program to rebuild Sean Spicer's dignity.
Trumped UpCards: Many Sides  Expansion Pack,A nothingburger with a fair amount of fuzz on it.
Trumped UpCards: Many Sides  Expansion Pack,A secret backchannel to Chuck and Nancy.
Trumped UpCards: Many Sides  Expansion Pack,A strong and focused response to the NFL kneeling crisis.
Trumped UpCards: Many Sides  Expansion Pack,Anonymous leaks.
Trumped UpCards: Many Sides  Expansion Pack,Awkward disaster hugs.
Trumped UpCards: Many Sides  Expansion Pack,Beautiful soft paper towels.
Trumped UpCards: Many Sides  Expansion Pack,Category 5 bullshit.
Trumped UpCards: Many Sides  Expansion Pack,Chris Christie's beach chair.
Trumped UpCards: Many Sides  Expansion Pack,Crying Nazis.
Trumped UpCards: Many Sides  Expansion Pack,Deep State moles.
Trumped UpCards: Many Sides  Expansion Pack,Fair-trade covfefe from Nambia.
Trumped UpCards: Many Sides  Expansion Pack,Forcing Kathy Griffin to bend the knee.
Trumped UpCards: Many Sides  Expansion Pack,Golfing the shit out of ISIS.
Trumped UpCards: Many Sides  Expansion Pack,Hurricane Mooch.
Trumped UpCards: Many Sides  Expansion Pack,John McCain's thumb.
Trumped UpCards: Many Sides  Expansion Pack,Laughing at Jeff Sessions without a permit.
Trumped UpCards: Many Sides  Expansion Pack,Low-energy torches.
Trumped UpCards: Many Sides  Expansion Pack,Mitch McConnell's weak and ineffective chin.
Trumped UpCards: Many Sides  Expansion Pack,Moving on the eclipse like a bitch.
Trumped UpCards: Many Sides  Expansion Pack,Other men's hands.
Trumped UpCards: Many Sides  Expansion Pack,Our brave transgender troops who must be fired.
Trumped UpCards: Many Sides  Expansion Pack,Secretly taped neckties.
Trumped UpCards: Many Sides  Expansion Pack,Shitty-ass grape juice.
Trumped UpCards: Many Sides  Expansion Pack,Sick Twitter burns.
Trumped UpCards: Many Sides  Expansion Pack,Ted Cruz's favorite Internet porn.
Trumped UpCards: Many Sides  Expansion Pack,The 2016 Election.
Trumped UpCards: Many Sides  Expansion Pack,The Emmy-sized hole in Trump's heart.
Trumped UpCards: Many Sides  Expansion Pack,The new Sheriff Joe Arpaio $20 bill.
Trumped UpCards: Many Sides  Expansion Pack,The Swamp.
Trumped UpCards: Many Sides  Expansion Pack,Very fine hombres.
