Label,prompt
Trumped UpCards: The World's Biggest Deck*,After President Trump gets done beheading top-bracket tax rates? Say goodbye to ______.
Trumped UpCards: The World's Biggest Deck*,Failed startup GoTrump.com was supposed to help people get better deals on ______.
Trumped UpCards: The World's Biggest Deck*,How does Trump plan to restore "a sense of dignity to the White House"?
Trumped UpCards: The World's Biggest Deck*,How will Trump help America start winning against Mother Nature again?
Trumped UpCards: The World's Biggest Deck*,Step 1: ______. Step 2: ______. Step 3: Caucus!
Trumped UpCards: The World's Biggest Deck*,Step 1: Fit all your ideas onto a baseball cap. Step 2: _______.
Trumped UpCards: The World's Biggest Deck*,The Pentagon? That's a very low-energy building. Our fabulous new Department of Ass-Kicking is going to have ______.
Trumped UpCards: The World's Biggest Deck*,The Presidental line of succession under Trump: Gary Busey. Omarosa. ______.
Trumped UpCards: The World's Biggest Deck*,Those "thousands and thousands" of U.S. Muslims Trump says he saw celebrating 9/11? Turns out it was just ______.
Trumped UpCards: The World's Biggest Deck*,True or false? Trump's wives are subject to term limits and ______.
Trumped UpCards: The World's Biggest Deck*,Trump and ______: Best Frenemies Forever!
Trumped UpCards: The World's Biggest Deck*,Trump deported Univision anchor Jorge Ramos from a 2015 press conference for asking about ______.
Trumped UpCards: The World's Biggest Deck*,Trump graduated from the Wharton School in 1968 with a B.S. degree in ______.
Trumped UpCards: The World's Biggest Deck*,Trump's cure for income inequality? ______.
Trumped UpCards: The World's Biggest Deck*,Trump's favorite book: The Bible. The subject of his favorite Biblical verse: ______.
Trumped UpCards: The World's Biggest Deck*,Trump's first pick to replace Justice Scalia? Ivanka.  His second: ______.
Trumped UpCards: The World's Biggest Deck*,Trump's hair-like stuff is perimeter-hardened to withstand offshore wind farms - but not ______.
Trumped UpCards: The World's Biggest Deck*,Waterboarding is foreplay. The real torture starts when Trump whips out ______.
Trumped UpCards: The World's Biggest Deck*,What else should we ban until our representatives can figure out what is going on?
Trumped UpCards: The World's Biggest Deck*,What is Donald Trump's Twitter password?
Trumped UpCards: The World's Biggest Deck*,What is the heart and soul of the Republican party?
Trumped UpCards: The World's Biggest Deck*,What is the real reason Trump is running for president?
Trumped UpCards: The World's Biggest Deck*,What makes the talking Donald Trump doll so eerily realistic?
Trumped UpCards: The World's Biggest Deck*,What makes Trump so appealing to female Apprentice contestants?
Trumped UpCards: The World's Biggest Deck*,What will Trump use to knock the hell out of ISIS?
Trumped UpCards: The World's Biggest Deck*,What's in the penthouse suite at Trump Tower?
Trumped UpCards: The World's Biggest Deck*,What's the biggest threat facing America?
Trumped UpCards: The World's Biggest Deck*,What's the fastest way to make America gret again?
Trumped UpCards: The World's Biggest Deck*,What's Trump's favorite way to unwind after declaring corporate bankruptcy?
Trumped UpCards: The World's Biggest Deck*,What's Trump's plan to win the Latino vote?
Trumped UpCards: The World's Biggest Deck*,Why does Gitmo get better TripAdvisor ratings than Trump Hotel Panama?
Trumped UpCards: The World's Biggest Deck*,Why is the Statue of Liberty crying?
Trumped UpCards: The World's Biggest Deck*,You're damn right Mexico's going to pay for a wall. With ______.
