Label,response
Trumped UpCards: The World's Biggest Deck*,A 45 percent tariff on free speech.
Trumped UpCards: The World's Biggest Deck*,A batshit racist butler.
Trumped UpCards: The World's Biggest Deck*,A beautifully enlarged prostate.
Trumped UpCards: The World's Biggest Deck*,A bronze-tinted silver spoon.
Trumped UpCards: The World's Biggest Deck*,A cease-and-desist letter from Trump's lawyers.
Trumped UpCards: The World's Biggest Deck*,A copy of Bedside Hitler.
Trumped UpCards: The World's Biggest Deck*,A D-Minus rating from the Better Business Bureau.
Trumped UpCards: The World's Biggest Deck*,A dainty pistol.
Trumped UpCards: The World's Biggest Deck*,A de-extincted wooly mammoth that looks like Justice Scalia.
Trumped UpCards: The World's Biggest Deck*,A dog whistle even 80-year-olds can hear.
Trumped UpCards: The World's Biggest Deck*,A fired up and aggressive Bobby Knight.
Trumped UpCards: The World's Biggest Deck*,A great relationship with the blacks.
Trumped UpCards: The World's Biggest Deck*,A great relationship with the poorly educated.
Trumped UpCards: The World's Biggest Deck*,A hot tub filled with hand santizer.
Trumped UpCards: The World's Biggest Deck*,A lawsuit over the size of Trump's flagpole.
Trumped UpCards: The World's Biggest Deck*,A luxury eight-bedroom bathroom.
Trumped UpCards: The World's Biggest Deck*,A machine gun that fires a thousand rounds of freedom per minute.
Trumped UpCards: The World's Biggest Deck*,A mahogany Squatty Potty.
Trumped UpCards: The World's Biggest Deck*,A means-tested tramp stamp program.
Trumped UpCards: The World's Biggest Deck*,A miniature therapy horse with the kindly eyes of Sean Hannity.
Trumped UpCards: The World's Biggest Deck*,A new TV show called "So You Think You Can Mass Deport?"
Trumped UpCards: The World's Biggest Deck*,A pet pony trimmed in mink.
Trumped UpCards: The World's Biggest Deck*,A pile of chopped-off Christian heads.
Trumped UpCards: The World's Biggest Deck*,A pink marble football on a bronze tee.
Trumped UpCards: The World's Biggest Deck*,A pre-emptive nuclear strike of justice.
Trumped UpCards: The World's Biggest Deck*,A Purple Heart transplant.
Trumped UpCards: The World's Biggest Deck*,A romantic evening of shrewdly negotiated love-making.
Trumped UpCards: The World's Biggest Deck*,A small mound of racist bones that have been surgically removed from Trump's body.
Trumped UpCards: The World's Biggest Deck*,A smaller-than-average putter.
Trumped UpCards: The World's Biggest Deck*,A so-so relationship with the GOP donor class.
Trumped UpCards: The World's Biggest Deck*,A solid gold golf course.
Trumped UpCards: The World's Biggest Deck*,A solid platinum trophy wife with diamond-encrusted accents.
Trumped UpCards: The World's Biggest Deck*,A stubby finger on the nuclear trigger.
Trumped UpCards: The World's Biggest Deck*,A sunburnt Oompa Loompa.
Trumped UpCards: The World's Biggest Deck*,A talking Donald Trump doll.
Trumped UpCards: The World's Biggest Deck*,A tasteful goatskin putting green.
Trumped UpCards: The World's Biggest Deck*,A telenovela called "Ugly Donald."
Trumped UpCards: The World's Biggest Deck*,A temporary ban on free and open elections.
Trumped UpCards: The World's Biggest Deck*,A temporary ban on heavy accents.
Trumped UpCards: The World's Biggest Deck*,A temporary ban on undocumented mosquitos.
Trumped UpCards: The World's Biggest Deck*,A Tesla that runs on Eric Trump's hair trimmings.
Trumped UpCards: The World's Biggest Deck*,A total and complete shutdown of Ford Fiestas entering the U.S.
Trumped UpCards: The World's Biggest Deck*,A Toyota Corolla with a "Bring Our Jobs Back" Trumper sticker.
Trumped UpCards: The World's Biggest Deck*,A tremendously well-hung bank account.
Trumped UpCards: The World's Biggest Deck*,A Trump Collection accent sconce powered by the low-energy charisma of Jeb Bush.
Trumped UpCards: The World's Biggest Deck*,A Trump Ice enema.
Trumped UpCards: The World's Biggest Deck*,A vibrant 19th century economy.
Trumped UpCards: The World's Biggest Deck*,A wad of bills from the TRUMP board game.
Trumped UpCards: The World's Biggest Deck*,A wax statue of John Wayne.
Trumped UpCards: The World's Biggest Deck*,A worn copy of The Art of the Deal.
Trumped UpCards: The World's Biggest Deck*,Adding crown moldings to the $100 bill.
Trumped UpCards: The World's Biggest Deck*,Adding more pain to the death penalty.
Trumped UpCards: The World's Biggest Deck*,Adult coloring books.
Trumped UpCards: The World's Biggest Deck*,Airdropping copies of "Think Big and Kick Ass" on Syrian orphans.
Trumped UpCards: The World's Biggest Deck*,Alpha male flatulence.
Trumped UpCards: The World's Biggest Deck*,America's wounded trade warriors.
Trumped UpCards: The World's Biggest Deck*,An 80-minute slide show about Trump Tower.
Trumped UpCards: The World's Biggest Deck*,An angry herd of Palins.
Trumped UpCards: The World's Biggest Deck*,An architecturally spectacular line of bed linens.
Trumped UpCards: The World's Biggest Deck*,An explosive threesome.
Trumped UpCards: The World's Biggest Deck*,An honorary doctorate from Trump University.
Trumped UpCards: The World's Biggest Deck*,An unsecured personal line of bullshit.
Trumped UpCards: The World's Biggest Deck*,Astonishingly excellent blood pressure.
Trumped UpCards: The World's Biggest Deck*,Attack tweets.
Trumped UpCards: The World's Biggest Deck*,Average-looking immigrants.
Trumped UpCards: The World's Biggest Deck*,Baby Hitler's micropenis.
Trumped UpCards: The World's Biggest Deck*,Back-alley Planned Parenthood donations.
Trumped UpCards: The World's Biggest Deck*,Bad dudes.
Trumped UpCards: The World's Biggest Deck*,Bank-ordered audits.
Trumped UpCards: The World's Biggest Deck*,Barack Obama's birth certificate.
Trumped UpCards: The World's Biggest Deck*,Benching Ruth Bader Ginsburg.
Trumped UpCards: The World's Biggest Deck*,Big beautiful man-hands.
Trumped UpCards: The World's Biggest Deck*,Big swinging dictators.
Trumped UpCards: The World's Biggest Deck*,Bipartisan plagiarism.
Trumped UpCards: The World's Biggest Deck*,Blond offspring.
Trumped UpCards: The World's Biggest Deck*,Body mud infucions.
Trumped UpCards: The World's Biggest Deck*,Bombing the shit out of the 1st Amendment.
Trumped UpCards: The World's Biggest Deck*,Bragging that Melania's chest is firmer than Bill's.
Trumped UpCards: The World's Biggest Deck*,Brain sharting on Twitter.
Trumped UpCards: The World's Biggest Deck*,Brass balls.
Trumped UpCards: The World's Biggest Deck*,Bronze-leafed despair.
Trumped UpCards: The World's Biggest Deck*,Business-casual breast-pumping.
Trumped UpCards: The World's Biggest Deck*,Business-related favors from Nancy Pelosi.
Trumped UpCards: The World's Biggest Deck*,Buying the naming rights to Narcissistic Personality Disorder.
Trumped UpCards: The World's Biggest Deck*,Can-do knockers.
Trumped UpCards: The World's Biggest Deck*,Care Bear stares.
Trumped UpCards: The World's Biggest Deck*,Carpet-tweeting Nutty ISIS.
Trumped UpCards: The World's Biggest Deck*,Caviar-infused cleansing balm.
Trumped UpCards: The World's Biggest Deck*,Cheatin' China.
Trumped UpCards: The World's Biggest Deck*,Cheeto Jesus.
Trumped UpCards: The World's Biggest Deck*,Chris Christie doing the twist.
Trumped UpCards: The World's Biggest Deck*,Chris Christie piñatas.
Trumped UpCards: The World's Biggest Deck*,Classing up the West Wing shitter.
Trumped UpCards: The World's Biggest Deck*,Closing up the Internet.
Trumped UpCards: The World's Biggest Deck*,Coke Million.
Trumped UpCards: The World's Biggest Deck*,Cold-pressed nectar of Trump.
Trumped UpCards: The World's Biggest Deck*,Comforting the comfortable.
Trumped UpCards: The World's Biggest Deck*,Compulsively clean coal.
Trumped UpCards: The World's Biggest Deck*,Convincing Congress to officially declare war on crying babies.
Trumped UpCards: The World's Biggest Deck*,Copping a feel from Old Glory.
Trumped UpCards: The World's Biggest Deck*,Court-ordered winning.
Trumped UpCards: The World's Biggest Deck*,Crippling status anxiety.
Trumped UpCards: The World's Biggest Deck*,Crying babies.
Trumped UpCards: The World's Biggest Deck*,Curbing White House gas emissions.
Trumped UpCards: The World's Biggest Deck*,David Duke.
Trumped UpCards: The World's Biggest Deck*,Day 293 of the Trump presidency.
Trumped UpCards: The World's Biggest Deck*,Declare White Card Bankruptcy!
Trumped UpCards: The World's Biggest Deck*,Declare White Card Bankruptcy!
Trumped UpCards: The World's Biggest Deck*,Declare White Card Bankruptcy!
Trumped UpCards: The World's Biggest Deck*,Declare White Card Bankruptcy!
