Label,response
Voter's Choice: The First Expansion,A career ending blowjob.
Voter's Choice: The First Expansion,A pregnant lady with feet hanging from her vagina.
Voter's Choice: The First Expansion,A Shirley Temple made from the remains of the actual Shirley Temple.
Voter's Choice: The First Expansion,Accidentally committing rape by not yelling surprise.
Voter's Choice: The First Expansion,Adolf Hitler's gas bill.
Voter's Choice: The First Expansion,An Asian Invasion.
Voter's Choice: The First Expansion,Apologizing for having a boner.
Voter's Choice: The First Expansion,Dating Advice from Taylor Swift
Voter's Choice: The First Expansion,Disastrously misunderstanding the purpose of a whales blowhole.
Voter's Choice: The First Expansion,Feigning death to avoid awkward social situations.
Voter's Choice: The First Expansion,Harvesting the organs of the homeless
Voter's Choice: The First Expansion,I have shit cards and am putting this down in hopeless desperation.
Voter's Choice: The First Expansion,Licking the flavor off of Doritos so you can reuse them as tortilla chips for your salsa.
Voter's Choice: The First Expansion,Playing Jenga on 9/11
Voter's Choice: The First Expansion,Reading erotic braille with your penis.
Voter's Choice: The First Expansion,Slapping the dick right out of someones mouth
Voter's Choice: The First Expansion,The countless times the Toy Story toys were forced to watch Andy masturbate.
