Label,response
Voter's Choice: The Fourth Expansion,A drink called The Bill Cosby; I could tell you what's in it but you won't remember in the morning.
Voter's Choice: The Fourth Expansion,A gang-bang with angry smurfs.
Voter's Choice: The Fourth Expansion,A gluten-free pizza that tastes like the cardboard box it came in.
Voter's Choice: The Fourth Expansion,A puppet show of the holocaust.
Voter's Choice: The Fourth Expansion,A sexually active Toyota Prius.
Voter's Choice: The Fourth Expansion,A skankosaurus.
Voter's Choice: The Fourth Expansion,Being friend zoned by a blow-up sex doll.
Voter's Choice: The Fourth Expansion,Darth Vader ass fucking Leia while yelling "Who's Your Daddy"?
Voter's Choice: The Fourth Expansion,Finding a socially acceptable outlet for your nymphomania.
Voter's Choice: The Fourth Expansion,Generic grape soda so awful you swear it's Barney cum.
Voter's Choice: The Fourth Expansion,Hobbit porn starring Dildo backends.
Voter's Choice: The Fourth Expansion,Muslim with a backpack.
Voter's Choice: The Fourth Expansion,Scouting for porn stars at a high school graduation.
Voter's Choice: The Fourth Expansion,Surprise Funeral.
Voter's Choice: The Fourth Expansion,The blood crusted slime of a used anal bead.
Voter's Choice: The Fourth Expansion,The chunky blue water in an airplane toilet.
Voter's Choice: The Fourth Expansion,The leftover cocaine from the time Charlie Sheen partied with those Asian hookers.
Voter's Choice: The Fourth Expansion,White supremacists who refuse to eat brown M&Ms.
Voter's Choice: The Fourth Expansion,Yoda's weird little green penis.
