Label,prompt
Voter's Choice: The Second Expansion,Hello! Do you have a moment to talk about our lord and savior ______.
Voter's Choice: The Second Expansion,Hypothesis: ______ Experiment: ______ Conclusion: ______
Voter's Choice: The Second Expansion,I get to pick a porn name? Then I want to be called ______.
Voter's Choice: The Second Expansion,I was caught naked eating ______.
Voter's Choice: The Second Expansion,I'm too rich and famous for ______.
Voter's Choice: The Second Expansion,My strangest date ever involved ______.
Voter's Choice: The Second Expansion,Nobody seems to understand my religious philosophy at all. Especially the part about ______.
Voter's Choice: The Second Expansion,Sometimes I think about having sex with ______.
Voter's Choice: The Second Expansion,Using ______ is my secret beauty tip.
Voter's Choice: The Second Expansion,What does Obama like on his chips?
