Label,response
Voter's Choice: The Third Expansion,A flock of seagulls that mistakes your penis for a french fry.
Voter's Choice: The Third Expansion,A naked gay Mexican guy.
Voter's Choice: The Third Expansion,A shockingly realistic reenactment of the Games of Thrones.
Voter's Choice: The Third Expansion,Accidentally sexting your mother.
Voter's Choice: The Third Expansion,Becoming a superhero by killing your parents.
Voter's Choice: The Third Expansion,Being a two-timing whore.
Voter's Choice: The Third Expansion,Buying a windowless van and candy to improve your sex life.
Voter's Choice: The Third Expansion,Deeply inhaling your own farts.
Voter's Choice: The Third Expansion,I ate those fancy soaps you bought for the bathroom.
Voter's Choice: The Third Expansion,Making tea with the blood of our enemies.
Voter's Choice: The Third Expansion,Masturbating to Law and Order: Special Victims Unit.
Voter's Choice: The Third Expansion,Princess Leia in a threesome with Ewoks.
Voter's Choice: The Third Expansion,Pulling the plug on Grandma.
Voter's Choice: The Third Expansion,Searching for African Slaves on Amazon Prime.
Voter's Choice: The Third Expansion,The Dark Side.
Voter's Choice: The Third Expansion,The people who jumped on 9/11.
Voter's Choice: The Third Expansion,Titty fucking Susan G. Komen.
Voter's Choice: The Third Expansion,Tongue punching your fart box.
Voter's Choice: The Third Expansion,Yabba Dabba Doin It!: The Bedrocking Memoirs of Fred Flintstone.
Voter's Choice: The Third Expansion,Your mom's armpit hair.
