Label,response
Weed Pack,A bong rip so massive it restores justice to the kingdom.
Weed Pack,A sandwich with Cheetos in it!
Weed Pack,A whole cheese pizza just for me.
Weed Pack,An eight-foot man smoking a six-foot bong.
Weed Pack,Ancient aliens.
Weed Pack,Being too high for airplane.
Weed Pack,Cheese crunchies.
Weed Pack,Dank ass cancer weed.
Weed Pack,Dicking around on the guitar for an hour.
Weed Pack,Dropping stuff and knocking everything over.
Weed Pack,Eating all the skin off a rotisserie chicken.
Weed Pack,Forgetting to breathe and then dying.
Weed Pack,Getting high and watching Planet Earth.
Weed Pack,Grinning like an idiot.
Weed Pack,Hot tub.
Weed Pack,How bright the sun is.
Weed Pack,Huge popcorn nugs of hairy alien weed.
Weed Pack,My own fingers.
Weed Pack,Smoking a blunt butt-ass naked.
Weed Pack,Smoking a joint with former President Barack Obama.
Weed Pack,Snoop Dogg.
Weed Pack,Too much edibles.
Weed Pack,Unbelievably soft carpet.
Weed Pack,Whatever the fuck I was just talking about.
