Label,prompt
Words Against Morality: Volume 1,A bottle of tequila + ______ = A Night to Remember.
Words Against Morality: Volume 1,Charlie Sheen holds the record for ______ the fastest.
Words Against Morality: Volume 1,Don't you dare fuck with ______.
Words Against Morality: Volume 1,I got a pop-up book entitled “______” for my 9-year-old nephew's birthday.
Words Against Morality: Volume 1,No sleep til' ______.
Words Against Morality: Volume 1,Now this is a story all about ______.
Words Against Morality: Volume 1,Only you can prevent ______.
Words Against Morality: Volume 1,Ronda Rousey gets thoroughly arouse by ______.
Words Against Morality: Volume 1,WHAT ARE THOSE?!?!?!
Words Against Morality: Volume 1,What did I used to sell to people door-to-door?
Words Against Morality: Volume 1,What do you feel when bae friend-zones you?
Words Against Morality: Volume 1,What does Hulk Hogan scream whilst ejaculating?
Words Against Morality: Volume 1,What is my most treasured memory?
Words Against Morality: Volume 1,What makes me moist.
Words Against Morality: Volume 1,What touched me in a new way?
Words Against Morality: Volume 1,What was Mother Teresa's favorite memory whilst on her pilgrimage to Ireland?
Words Against Morality: Volume 1,What was the theme of Rob Ross's most cherished painting?
Words Against Morality: Volume 1,What's the most annoying thing I need to do once or twice a week?
