Label,response
World Wide Web Pack,A complete inability to understand anyone else's perspective.
World Wide Web Pack,A man from Craigslist.
World Wide Web Pack,A night of Taco Bell and anal sex.
World Wide Web Pack,A respectful discussion of race and gender on the Internet.
World Wide Web Pack,Cat massage.
World Wide Web Pack,Destroying Dick Cheney's last horcrux.
World Wide Web Pack,Game of Thrones spoilers.
World Wide Web Pack,Getting teabagged by a fifth grader in Call of Duty.
World Wide Web Pack,Goats screaming like people.
World Wide Web Pack,Googling.
World Wide Web Pack,Internet porn analysis paralysis.
World Wide Web Pack,Matching with Mom on Tinder.
World Wide Web Pack,My browser history.
World Wide Web Pack,My privileged white penis.
World Wide Web Pack,Pretending to be black.
World Wide Web Pack,Smash Mouth.
World Wide Web Pack,Taking a shit while running at full speed.
World Wide Web Pack,That thing on the Internet everyone's talking about.
World Wide Web Pack,Three years of semen in a shoebox.
World Wide Web Pack,Youtube comments.
