Label,prompt
WTF Did You Say?!?,A celebrity can get away with ______ but when I do it it's a federal offense.
WTF Did You Say?!?,And that's the last time I buy ______ off Craigslist®.
WTF Did You Say?!?,Ask your doctor if ______ is right for you. Side affects may include: ______.
WTF Did You Say?!?,CAUTION: ______ can be hazardous to your health.
WTF Did You Say?!?,Children these days don't appreciate ______.
WTF Did You Say?!?,Don't talk to me before I've had my morning ______.
WTF Did You Say?!?,Dora the Explorer® found herself in over her head when she discovered ______.
WTF Did You Say?!?,Everynight before bed I always ______.
WTF Did You Say?!?,Everyone I know is talking about ______ but I'm pretty sure it's bullshit.
WTF Did You Say?!?,Florida man tragically dies when ______.
WTF Did You Say?!?,God created ______ as a means of population control.
WTF Did You Say?!?,I always keep ______ in my trunk.
WTF Did You Say?!?,I claimed ______ as a deduction on my taxes last year.
WTF Did You Say?!?,I find your lack of ______ disturbing.
WTF Did You Say?!?,I got my degree in ______ from ______.
WTF Did You Say?!?,I have a secret weakness for ______.
WTF Did You Say?!?,I have an irrational fear of ______.
WTF Did You Say?!?,I hope the TSA doesn't find ______ in my luggage.
WTF Did You Say?!?,I just can't stop watching ______ videos on the internet.
WTF Did You Say?!?,I liked ______ before it was cool.
WTF Did You Say?!?,I once paid $100 for ______.
WTF Did You Say?!?,I saw ______ on the interenet today. It turned me on a little.
WTF Did You Say?!?,I use ______ to assert my dominance in uncomfortable social situations.
WTF Did You Say?!?,I waited in line for 8 hour when they released the new ______.
WTF Did You Say?!?,I wish someone would make ______ flavored ice cream.
WTF Did You Say?!?,I'd do anything for love but I won't do ______.
WTF Did You Say?!?,I'd rather find my child ______ than playing Pokemon GO®.
WTF Did You Say?!?,I'd sell my body for ______.
WTF Did You Say?!?,I'm definitely going to hell for ______.
WTF Did You Say?!?,I'm seeking legal representation after being arrested for ______.
WTF Did You Say?!?,I'm worried the NSA will find ______ in my computer search history.
WTF Did You Say?!?,I've used ______ as an excuse to get out of sex.
WTF Did You Say?!?,If ______ were a sport I would be a star athlete.
WTF Did You Say?!?,If I saw Justin Beiber in the streets I would ______.
WTF Did You Say?!?,If I were a superhero my super power would be ______.
WTF Did You Say?!?,If I won the lottery the first thing I would buy is _______.
WTF Did You Say?!?,If it weren't for modern medicine I would have died of ______ a long time ago.
WTF Did You Say?!?,In a fight to the death against ______ I would use ______.
WTF Did You Say?!?,In my will I'm leaving my children ______.
WTF Did You Say?!?,Inappropriate names for video games.
WTF Did You Say?!?,Is ______ the illegitimate love child of Seth Rogen and James Franco?
WTF Did You Say?!?,Isn't it about time we legalized ______.
WTF Did You Say?!?,Jesus turned water into wine. I can turn potato salad into ______.
WTF Did You Say?!?,Last night I had a weird sex dream about ______.
WTF Did You Say?!?,Legend has it upon catching a leprechaun you receive ______.
WTF Did You Say?!?,LIFE PRO TIP: Try ______ instead of ______.
WTF Did You Say?!?,My addiction to ______ is starting to negatively affect my life.
WTF Did You Say?!?,My highschool nickname was ______.
WTF Did You Say?!?,My house was destroyed in a freak accident by ______.
WTF Did You Say?!?,My job description is basically ______.
WTF Did You Say?!?,My significant other loves it when I try ______.
WTF Did You Say?!?,My significant other named their genitals ______.
WTF Did You Say?!?,Our son was sent home from school today for drawing a picture of ______ in art class.
WTF Did You Say?!?,Sometimes I fantasize about ______.
WTF Did You Say?!?,Straight Outta _______.
WTF Did You Say?!?,Success is 10% inspiration and 90% ______.
WTF Did You Say?!?,Thank to the internet I was able to _______.
WTF Did You Say?!?,The best revenge is ______.
WTF Did You Say?!?,The little known 11th commandment is "thou shalt not ______".
WTF Did You Say?!?,The only thing my father got in the divorce was ______.
WTF Did You Say?!?,The producers of ______ bring you a heartwarming story about ______.
WTF Did You Say?!?,The secret ingredient in my casserole surprise is ______.
WTF Did You Say?!?,The smell of _______ reminds me of Christmas.
WTF Did You Say?!?,The title of my obituary will read "______."
WTF Did You Say?!?,The World Health Organization has issued a warning about ______.
WTF Did You Say?!?,There's nothing more romantic than ________.
WTF Did You Say?!?,This Thanksgiving I'm going to start a dinner conversation about ______.
WTF Did You Say?!?,To last longer in bed I think about ______.
WTF Did You Say?!?,We came home from church to find my dad ______.
WTF Did You Say?!?,We need more ______ and fewer ______.
WTF Did You Say?!?,Wearing a fedora is a sure sign someone is ______.
WTF Did You Say?!?,What do we want? ______. When do we want it? NOW!
WTF Did You Say?!?,What is Daddy doing with the maid?
WTF Did You Say?!?,What is in your closet that you do not talk about?
WTF Did You Say?!?,What's in the box?
WTF Did You Say?!?,When fixing my parents' computer I found a folder full of ______.
WTF Did You Say?!?,When I arrive to my hotel room I expect ______ left on the pillows.
WTF Did You Say?!?,When I was in school all the 'cool kids' were into ______.
WTF Did You Say?!?,When I was younger I thought ______ actually meant ______.
WTF Did You Say?!?,When talking to a Police Officer be sure to ______.
WTF Did You Say?!?,When vacationing in North Korea I was detained by state police for ______.
WTF Did You Say?!?,You can use ______ as a flotation device in the event of an emergency.
