Label,response
WTF Did You Say?!?,A BBW woman wearing the Confederate Flag as a dress.
WTF Did You Say?!?,A blind kid throwing hand grenades.
WTF Did You Say?!?,A bowl of candy.
WTF Did You Say?!?,A care bear riding a dildo shaped rocket over a rainbow.
WTF Did You Say?!?,A country song.
WTF Did You Say?!?,A documentary about the sex lives of blue butt monkeys.
WTF Did You Say?!?,A dog.
WTF Did You Say?!?,A dramatic reading of a social media comments fight.
WTF Did You Say?!?,A family of raccoons hell bent on destruction.
WTF Did You Say?!?,A firm grip and soft hands.
WTF Did You Say?!?,A firmly pressed pair of whitey tighties for formal occasions.
WTF Did You Say?!?,A flaccid penis limper than wet cabbage.
WTF Did You Say?!?,A fresh shave.
WTF Did You Say?!?,A fudge packing chocolatier.
WTF Did You Say?!?,A giant meteor to collide with Earth.
WTF Did You Say?!?,A giant penis.
WTF Did You Say?!?,A group hug in a nudist colony.
WTF Did You Say?!?,A Klondike Bar®.
WTF Did You Say?!?,A lifetime supply of Cheerios®.
WTF Did You Say?!?,A Lightsaber® shaped dildo.
WTF Did You Say?!?,A male nipple I thought was a female nipple.
WTF Did You Say?!?,A mariachi band covering Metallica.
WTF Did You Say?!?,A might with Bill Cosby… so good you can't remember.
WTF Did You Say?!?,A militant group of Girl Scouts®.
WTF Did You Say?!?,A mixture of wine and prescription pain killers.
WTF Did You Say?!?,A new pair of shoes.
WTF Did You Say?!?,A personally engraved crack spoon.
WTF Did You Say?!?,A pimp slap from your uncle.
WTF Did You Say?!?,A political debate moderated by Elmo®.
WTF Did You Say?!?,A rainbow lightsaber.
WTF Did You Say?!?,A rim job and a snowcone.
WTF Did You Say?!?,A row of penises down your back like a stegasouras.
WTF Did You Say?!?,A serious mental disability.
WTF Did You Say?!?,A sexually frustrated stuffed animal.
WTF Did You Say?!?,A small child's eery laughter.
WTF Did You Say?!?,A small country house with enough land to bury the evidence.
WTF Did You Say?!?,A sober Irishman.
WTF Did You Say?!?,A sriracha filled doughnut.
WTF Did You Say?!?,A successful black man.
WTF Did You Say?!?,A Tea Party Orgy hosted by Sarah Palin.
WTF Did You Say?!?,A Tinder® date who makes conversation by asking about your show size.
WTF Did You Say?!?,A vascectomy my wife doesn't know about.
WTF Did You Say?!?,A woman telling a man how to do it correctly.
WTF Did You Say?!?,Absolutely fucking nothing.
WTF Did You Say?!?,Accidentally sexting your parents.
WTF Did You Say?!?,Accidentally walking into a locker room full of horny WNBA® players.
WTF Did You Say?!?,Aggressive slam poetry.
WTF Did You Say?!?,Akwardly finishing your story.
WTF Did You Say?!?,Alcohol.
WTF Did You Say?!?,An AR-15 under the pillow and a grenade launcher behind the toilet.
WTF Did You Say?!?,An emotional break down in front of your co-workers.
WTF Did You Say?!?,An erotic drink order.
WTF Did You Say?!?,An honest politician.
WTF Did You Say?!?,An ounce of class and a pound of assholery.
WTF Did You Say?!?,An overly aggressive Canadian.
WTF Did You Say?!?,An STD and a child support settlement.
WTF Did You Say?!?,Anal.
WTF Did You Say?!?,Any Adam Sandler Movie after 2005.
WTF Did You Say?!?,Appearing to work hard while not actually doing anything.
WTF Did You Say?!?,Arizona State University®.
WTF Did You Say?!?,Asking for her age and she tells you she's only 16.
WTF Did You Say?!?,Assuring women's rights are never equal to men's.
WTF Did You Say?!?,Back hair so thick a pigeon made a nest in it.
WTF Did You Say?!?,Balls deep in the local priest.
WTF Did You Say?!?,Barging in like the Kool-Aid® man.
WTF Did You Say?!?,Basic bitches.
WTF Did You Say?!?,Bear mace as taco seasoning.
WTF Did You Say?!?,Beastiality.
WTF Did You Say?!?,Being a white female.
WTF Did You Say?!?,Being an emotional whore while being a real whore.
WTF Did You Say?!?,Being black in the United States.
WTF Did You Say?!?,Being blamed for things I didn't do.
WTF Did You Say?!?,Being eskimo brothers with your father-in-law.
WTF Did You Say?!?,Being more inbred than a turkey sandwich.
WTF Did You Say?!?,Bending her over her mom's reading chair.
WTF Did You Say?!?,Better late than never.
WTF Did You Say?!?,Bitching about nothing.
WTF Did You Say?!?,Blind hairdressers.
WTF Did You Say?!?,Blowing out your birthday candles with a queef.
WTF Did You Say?!?,Booty.
WTF Did You Say?!?,Breakfast.
WTF Did You Say?!?,Breaking into a house to steal a cute puppy.
WTF Did You Say?!?,Bringing chip dip to the party.
WTF Did You Say?!?,Brock Turner "helping" a passed out girl at the party.
WTF Did You Say?!?,Bruises I can't explain.
WTF Did You Say?!?,Bullshitting my ass off.
WTF Did You Say?!?,Burning the house down to kill a spider.
WTF Did You Say?!?,Buying a hooker for your friend's birthday but deciding to take her home yourself.
WTF Did You Say?!?,Buying drugs from the chemistry teacher.
WTF Did You Say?!?,C-cups. On a man.
WTF Did You Say?!?,Calf implants on an infant.
WTF Did You Say?!?,Calling off the wedding because the best man got caught fucking the groom.
WTF Did You Say?!?,Cargo pants.
WTF Did You Say?!?,Carrying all the groceries from the car in one load.
WTF Did You Say?!?,Catch all this shit rolling down hill.
WTF Did You Say?!?,Certified pre-owned underwear.
WTF Did You Say?!?,Chapstick®.
WTF Did You Say?!?,Charlie Sheen.
WTF Did You Say?!?,Childrens toys rescued from Chernobyl.
WTF Did You Say?!?,Chocolate covered wasabi peas.
WTF Did You Say?!?,Chris Brown's Fight Night.
WTF Did You Say?!?,Christmas decorations on November 1st.
WTF Did You Say?!?,Chronic erectile dysfunction.
WTF Did You Say?!?,Clearing your search history.
WTF Did You Say?!?,CNN's 24 hour news coverage of the end of the world.
WTF Did You Say?!?,Co-ed locker room showers.
WTF Did You Say?!?,Cocaine infused K-Cups®.
WTF Did You Say?!?,Cock rings and free bank lollipops.
WTF Did You Say?!?,Coming home with dirty hooker stench.
WTF Did You Say?!?,Communion waffers.
WTF Did You Say?!?,Complicated math equations.
WTF Did You Say?!?,Confused construction workers.
WTF Did You Say?!?,Constipation with so much pressure the poop turns to diamonds.
WTF Did You Say?!?,Consuming an edible before work.
WTF Did You Say?!?,Continuing to party despite a potentially serious injury.
WTF Did You Say?!?,Cornhole 101: just drop it in the hole.
WTF Did You Say?!?,Covering your ears and screaming.
WTF Did You Say?!?,Crack baby basketball.
WTF Did You Say?!?,Cropdusting a group of quadriplegics.
WTF Did You Say?!?,Crystal Meth.
WTF Did You Say?!?,Cum dumpster.
WTF Did You Say?!?,Dallas Cowboy Cheerleaders®.
WTF Did You Say?!?,David Cameron's penis in a pig's mouth.
WTF Did You Say?!?,Daycare services at the workplace.
WTF Did You Say?!?,Dead legs from sitting on the toilet for too long.
WTF Did You Say?!?,Dead puppies.
WTF Did You Say?!?,Deciphering a web captcha.
WTF Did You Say?!?,Deep colon cleaning.
WTF Did You Say?!?,Denying sex to play video games.
WTF Did You Say?!?,Dial-up internet.
WTF Did You Say?!?,Dickbutt.
WTF Did You Say?!?,Dickforce.
WTF Did You Say?!?,Disciplining your roomba in front of your dogs.
WTF Did You Say?!?,Discount liquor stores.
WTF Did You Say?!?,Divorce lawyer's contact information.
WTF Did You Say?!?,Donkey punch.
WTF Did You Say?!?,Dr. Zoidberg.
WTF Did You Say?!?,Drug fueled orgies.
WTF Did You Say?!?,Drunk texting your ex.
WTF Did You Say?!?,Duck hunt with Oscar Pistorius.
WTF Did You Say?!?,Dutch oven my significant other.
WTF Did You Say?!?,Dwayne "The Rock" Johnson.
WTF Did You Say?!?,Eating ice cream with a fork.
WTF Did You Say?!?,Eating junk food but not gaining weight.
WTF Did You Say?!?,Eating peanut butter from the jar with a spoon.
WTF Did You Say?!?,Eating warm yellow snow.
WTF Did You Say?!?,Eight consecutive days of vacation.
WTF Did You Say?!?,Embarrassing profile pictures from my teens.
WTF Did You Say?!?,Emoji card 1
WTF Did You Say?!?,Emoji card 2
WTF Did You Say?!?,Enjoying a good ol' 69 after a workout.
