Prompt Cards,Set
"___ ? there is medication for that, you know.",Hilarious!
___ is a slippery slope that leads to ___.,Cards Against/For South Africa
___ is a slippery slope that leads to ___.,Hilarious!
___ It's a trap!,Hilarious!
___ really helped my dad through his midlife crises.,Hilarious!
___ will finally put an end to racism.,Hilarious!
____ - thats how I want to die.,Hilarious!
____ (ing) That's how I want to climax!,Dirty Nasty Filthy
____ + ____ = ____.,Dirty Nasty Filthy
____ always makes me cry.,Dirty Nasty Filthy
____ always makes me throw up.,Dirty Nasty Filthy
____ is my guilty sexual pleasure.,Dirty Nasty Filthy
____ is on the agenda after we finish this fuckin' game.,Dirty Nasty Filthy
____ me on my ____ with ____.,Dirty Nasty Filthy
____ me with ____.,Dirty Nasty Filthy
____ will always put me in the mood.,Dirty Nasty Filthy
____ will intensify my orgasm.,Dirty Nasty Filthy
____ will make you sweaty and stinky.,Dirty Nasty Filthy
_____ 2: Electric Boogaloo,"Clams Attempt Harmonica, Volume 1"
_____ happens because I touch myself at night.,Cows Against Hamburgers - Patty Pack #1
_____ happens because I touch myself at night.,Cows Grilling Hamburgers - Patty Pack #1
"_____ is many things to many people, as you will see and learn.",Crazy & Horrible Rabbit - Vol. 1
"_____ IS NOT A WEDDING THEME, CHAD!","Clams Attempt Harmonica, Volume 1"
_____ is the one thing I can't live without.,Clones Attack Hilarity #2
_____ is way better in virtual reality.,Clones Attack Hilarity #2
_____ Spice was one of the lesser-known Spice Girls.,Crazy & Horrible Rabbit - Vol. 1
______ ______ go away. Come back another day.,Kids Against Maturity
______ + ______ = ______.,Babies vs. Parents
______ + ______ = ______.,CAH Base Set
______ + ______ = Hipsters,The Worst Card Game: Colorado Edition
______ + ______ = Hot new knitting trend.,Knitters Against Swatches Second Edition
______ a day keeps the ______ away.,Babies vs. Parents
______ a day keeps the doctor away.,Cards and Punishment Vol. One
"______ always help(s) ""Insert Name"" relax.",Personally Incorrect
"______ always helps ""Insert Name"" prepare for a big exam.",Personally Incorrect - Expansion [Red Box]
"______ always make(s) ""Insert Name"" cry for hours.",Personally Incorrect
"______ always reminds ""Insert Name"" of fun times with his/her grandma.",Personally Incorrect - Expansion 2 [Yellow Box]
"______ always starts out fun until ""Insert Name"" gets involved.",Personally Incorrect - Expansion [Red Box]
______ and ______ = heaven on Earth,Rotten Apples: The Tasteless Adult Party Game
______ and ______ are a love story for the ages!,The Game Without Decency
"______ and ______ inevitably lead to the phrase ""Happiness is secured.""",Disgruntled Decks: Navy Edition
______ and ______ make for the best family vacations.,KinderPerfect (Commercial Set)
______ and ______ make the USMC the most homophobic AND homoerotic service branch.,Disgruntled Decks: Marine Corps/Jarhead Edition
______ and _______ make an unbeatable romantic combination.,The Game Without Decency
______ and ______: may they never meet.,Rotten Apples: The Tasteless Adult Party Game
______ and loneliness are a dangerous combination.,Rotten Apples: The Tasteless Adult Party Game
______ are out to get me.,Conspiracy Theory
______ be all like ______.,CAH: Green Box Expansion
______ bought 100 million rounds of ammunition last year because of ______.,Conspiracy Theory
______ brings all the boys to the yard.,Cards and Punishment Vol. One
______ brings all the boys to the yard.,Words Against Morality: Volume 3
______ broke six of my ribs.,Words Against Morality: Volume 3
______ builds trust between friends.,Not Parent Approved Expansion Pack #1
______ burns 360 calories per hour.,Cards for the Masses
______ can be too much of a good thing.,Rotten Apples: The Tasteless Adult Party Game
______ can help any relationship,Words Against Morality: Volume 4
______ can help any relationship.,Cards for the Masses
______ can save you 15% or more on car insurance.,Cards for the Masses
______ clearly places this cluster fuck of a mission in the red.,Disgruntled Decks: Coast Guard/Coastie Edition
______ created a new sexual position that involves liberal use of _______,The Game Without Decency
"______ don’t want none unless you got buns, hon.",Dick
______ fixed the Church after the mess that was the 1970's.,The Catholic Card Game: Generations Expansion Pack
______ For Dummies is actually the best-selling book in the series.,"Crows Adopt Vulgarity, Vol. 4"
______ fun for the whole family!,Clones Attack Hilarity #1
______ gave me a really bad reputation in middle school.,Evil Apples
______ gave me AIDS.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
______ gave me my very first orgasm.,Evil Apples
______ gets me all hot and bothered.,Words Against Morality: Volume 1
______ gets me the most likes on Instagram.,The Catholic Card Game: Generations Expansion Pack
______ gives Dad bad gas.,Kids Against Maturity
______ got kicked out of the local Stitch and Bitch group for ______.,Knitters Against Swatches Second Edition
______ got me banned from the Liberty Lounge for life.,Disgruntled Decks: Coast Guard/Coastie Edition
______ had me bedridden for months.,Evil Apples
______ has become part of my daily routine.,"Crows Adopt Vulgarity, Vol. 1"
______ has been scientifically proven to cause cancer.,Words Against Morality: Volume 2
______ has lasted longer than a Married at First Sight Relationship,Kiwis Versus Morality
______ has me questioning my life choices.,KinderPerfect: More Expansion Pack
______ has taken more lives than Hitler and smoking combined.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
______ has taken over _____ in the service of Great Cthulu.,Conspiracy Theory - Kickstarter Bonus Cards Pack
______ helps Parish priests relax.,The Catholic Card Game: Base Deck
______ in your car triples your chance of being pulled over.,Words Against Morality: Volume 3
______ invented time travel.,Kids Against Maturity
______ is a bad idea. The More You Know …,Words Against Morality: Volume 1
______ is a dying art form.,Not Parent Approved Expansion Pack #1
______ is a f**king nihgtmare!,KinderPerfect: More Expansion Pack
______ is a great way to look and feel younger.,The Game Without Decency
"______ is a healthy meal, right?",KinderPerfect: A Timeout For Parents (Kickstarter Set)
______ is a relationship deal-breaker for me.,WTF Did You Say?!?
______ is a slippery slope that leads to ______.,CAH Base Set
______ is a slippery slope that leads to ______.,KinderPerfect: Naughty Expansion Pack
______ is a sure sign of mankind's decline.,KinderPerfect: Naughty Expansion Pack
______ is a surprisingly tasty pizza topping.,Not Parent Approved Expansion Pack #1
______ is a timeless symbol of parenthood.,KinderPerfect (Commercial Set)
